time_step,avg_return_0,avg_return_1,avg_return_2,avg_return_3,avg_return_4,avg_of_avg_returns
0,-1217.049,-1172.418,-1041.611,-1059.792,-906.77,-1079.5279999999998
50,-400.063,-320.137,-466.408,-284.218,-337.396,-361.6444
100,-473.116,-379.59,-393.497,-411.726,-311.663,-393.9184
150,-396.741,-361.865,-439.173,-518.772,-525.404,-448.39099999999996
200,-700.122,-446.785,-810.573,-378.498,-737.456,-614.6868000000001
250,-475.207,-304.277,-834.184,-317.927,-518.886,-490.09619999999995
300,-465.627,-477.68,-810.134,-329.071,-699.685,-556.4394
350,-429.926,-437.769,-759.213,-457.51,-532.688,-523.4212
400,-723.39,-436.114,-864.295,-362.007,-1103.538,-697.8688
450,-601.183,-377.347,-649.866,-555.458,-1113.852,-659.5412
500,-414.047,-284.827,-801.461,-416.92,-433.898,-470.23060000000004
550,-381.804,-461.709,-591.589,-358.483,-740.105,-506.73799999999994
600,-404.321,-490.456,-764.544,-468.181,-916.62,-608.8244
650,-491.872,-316.548,-724.139,-439.23,-695.448,-533.4474
700,-407.912,-420.731,-860.94,-376.834,-500.06,-513.2954
750,-295.277,-376.424,-719.188,-411.622,-537.507,-468.0036
800,-639.51,-266.554,-721.217,-582.832,-475.058,-537.0341999999999
850,-407.688,-325.109,-336.574,-306.026,-463.085,-367.69640000000004
900,-475.108,-376.393,-680.925,-579.742,-540.637,-530.5609999999999
950,-335.674,-266.006,-577.649,-321.179,-610.704,-422.2423999999999
1000,-368.935,-280.257,-540.704,-333.624,-476.23,-399.95
1050,-515.035,-422.221,-286.355,-447.214,-462.664,-426.6977999999999
1100,-476.286,-673.756,-317.107,-316.85,-353.71,-427.54179999999997
1150,-525.946,-330.098,-438.052,-219.776,-454.967,-393.76779999999997
1200,-474.239,-405.875,-319.752,-459.298,-403.935,-412.61980000000005
1250,-536.882,-390.777,-284.395,-408.629,-347.056,-393.5478
1300,-227.819,-362.882,-355.838,-328.376,-216.74,-298.331
1350,-398.473,-331.151,-652.084,-395.003,-524.105,-460.16319999999996
1400,-442.988,-287.319,-496.398,-356.698,-313.951,-379.47079999999994
1450,-472.975,-255.726,-623.343,-343.105,-391.031,-417.236
1500,-363.61,-217.784,-589.529,-460.946,-412.586,-408.891
1550,-342.55,-330.682,-271.125,-448.531,-443.374,-367.25239999999997
1600,-770.582,-841.707,-1025.368,-362.033,-340.001,-667.9381999999999
1650,-422.033,-278.54,-336.707,-296.057,-954.076,-457.4826000000001
1700,-562.159,-339.099,-878.667,-364.478,-514.545,-531.7896000000001
1750,-248.043,-257.897,-436.864,-218.306,-269.418,-286.1056
1800,-423.245,-335.343,-294.322,-347.559,-387.961,-357.686
1850,-510.574,-472.013,-342.659,-366.422,-334.6,-405.2536
1900,-306.245,-307.506,-387.323,-1102.569,-425.157,-505.76000000000005
1950,-344.529,-319.558,-841.373,-1130.065,-304.838,-588.0726000000001
