time_step,avg_return_0,avg_return_1,avg_return_2,avg_return_3,avg_return_4,avg_of_avg_returns
0,-1143.21,-1409.107,-1322.759,-1440.314,-1503.927,-1363.8634
500,-995.455,-1211.569,-1257.364,-1172.262,-1100.782,-1147.4864
1000,-1260.333,-1367.365,-1110.353,-1111.459,-1284.107,-1226.7234
1500,-1046.451,-1060.804,-1104.15,-1042.973,-1061.102,-1063.096
2000,-1048.678,-1010.732,-889.558,-919.693,-1078.615,-989.4552
2500,-770.85,-935.032,-717.621,-707.034,-813.455,-788.7984
3000,-590.412,-606.568,-816.711,-418.207,-981.415,-682.6626
3500,-384.145,-606.515,-403.087,-287.695,-298.648,-396.0179999999999
4000,-616.89,-610.291,-278.395,-454.23,-370.232,-466.0076
4500,-254.122,-163.171,-242.038,-279.142,-329.746,-253.6438
5000,-303.945,-215.531,-270.094,-240.098,-150.844,-236.1024
5500,-270.681,-167.923,-229.248,-276.862,-285.91,-246.1248
6000,-296.849,-236.824,-206.256,-283.101,-232.828,-251.17159999999998
6500,-209.602,-173.322,-221.476,-173.203,-224.252,-200.371
7000,-106.428,-150.175,-201.582,-189.303,-185.583,-166.6142
7500,-148.852,-160.558,-181.365,-161.879,-216.818,-173.8944
8000,-191.736,-110.858,-151.333,-135.338,-139.757,-145.8044
8500,-146.451,-147.757,-139.124,-147.76,-158.206,-147.8596
9000,-136.644,-147.644,-195.76,-135.399,-159.277,-154.9448
9500,-167.925,-134.469,-166.584,-169.927,-164.754,-160.7318
