time_step,avg_return_0,avg_return_1,avg_return_2,avg_return_3,avg_return_4,avg_of_avg_returns
0,-1203.912,-1470.267,-1331.254,-1122.414,-1344.61,-1294.4913999999999
500,-1520.379,-1484.511,-1294.283,-1552.549,-1532.536,-1476.8516
1000,-1501.894,-1687.566,-1373.916,-1529.801,-1632.337,-1545.1028
1500,-1243.767,-1393.707,-1204.755,-1380.286,-1004.577,-1245.4184
2000,-708.402,-1188.115,-1065.545,-978.413,-1008.878,-989.8706
2500,-965.451,-1023.831,-905.159,-864.984,-1027.968,-957.4786
3000,-1074.053,-1249.524,-1175.753,-634.046,-1007.958,-1028.2667999999999
3500,-1304.048,-1044.585,-1269.766,-954.637,-1191.778,-1152.9628
4000,-980.773,-1082.245,-453.987,-993.132,-761.533,-854.3340000000001
4500,-1179.293,-638.936,-856.15,-732.632,-716.26,-824.6542
5000,-502.504,-884.234,-557.056,-802.547,-464.387,-642.1456000000001
5500,-824.79,-737.225,-739.009,-696.323,-466.632,-692.7958
6000,-338.777,-461.59,-632.864,-862.278,-802.175,-619.5368000000001
6500,-529.466,-684.395,-240.669,-1071.58,-405.957,-586.4133999999999
7000,-426.811,-423.345,-846.203,-975.254,-509.0,-636.1225999999999
7500,-387.868,-549.773,-804.394,-1020.878,-455.667,-643.716
8000,-311.995,-319.765,-911.057,-443.903,-1091.571,-615.6582000000001
8500,-1181.554,-555.632,-567.267,-667.405,-632.427,-720.8570000000001
9000,-419.037,-488.196,-663.196,-410.273,-552.845,-506.7094000000001
9500,-416.172,-678.787,-565.083,-409.658,-610.034,-535.9467999999999
