time_step,avg_return_0,avg_return_1,avg_return_2,avg_return_3,avg_return_4,avg_of_avg_returns
0,-120.931,-205.048,-145.063,-146.429,-203.322,-164.1586
100,-155.723,-98.124,-163.486,-121.966,-134.181,-134.696
200,-157.856,-148.842,-182.401,-172.185,-158.814,-164.0196
300,-172.152,-107.273,-98.31,-135.465,-102.688,-123.17759999999998
400,-135.618,-131.13,-134.98,-168.761,-199.417,-153.9812
500,-181.387,-191.708,-199.362,-163.386,-193.624,-185.89339999999999
600,-129.739,-170.686,-111.164,-205.399,-112.055,-145.8086
700,-171.598,-169.745,-125.153,-135.763,-150.248,-150.50140000000002
800,-120.299,-171.821,-159.461,-143.268,-156.558,-150.28140000000002
900,-224.699,-158.098,-169.72,-171.541,-123.576,-169.5268
