train_step,avg_return_0,avg_return_1,avg_return_2,avg_return_3,avg_return_4,avg_of_avg_returns
200,-1177.851,-1252.625,-1492.215,-1352.36,-1401.309,-1335.272
400,-1658.698,-1579.321,-1627.362,-1594.297,-1501.848,-1592.3052
600,-1438.188,-1491.486,-1695.913,-1411.281,-1235.342,-1454.4419999999998
800,-1494.049,-1559.49,-1457.217,-1582.881,-1471.105,-1512.9484
1000,-1664.988,-1586.566,-1542.867,-1723.86,-1253.231,-1554.3024
1200,-1601.123,-1563.318,-1532.513,-1448.232,-1464.482,-1521.9335999999998
1400,-1596.736,-1342.864,-1727.685,-1213.56,-1230.582,-1422.2854
1600,-1332.868,-1334.005,-831.807,-1297.645,-1127.878,-1184.8406
1800,-1309.853,-1148.336,-1016.101,-1151.493,-1254.246,-1176.0058000000001
2000,-1184.962,-1098.433,-915.822,-1040.082,-989.132,-1045.6861999999999
2200,-1072.419,-777.984,-965.249,-912.445,-1043.273,-954.274
2400,-1274.321,-967.627,-972.302,-969.388,-1213.441,-1079.4158
2600,-1195.405,-805.617,-1114.098,-1210.407,-1187.058,-1102.517
2800,-1277.164,-676.579,-758.745,-1366.922,-1393.535,-1094.589
3000,-1471.442,-680.403,-923.81,-1278.217,-1368.233,-1144.421
3200,-1349.157,-716.597,-863.61,-1185.468,-995.957,-1022.1578000000002
3400,-1397.257,-962.408,-1227.603,-1337.358,-965.477,-1178.0206
3600,-1310.59,-629.931,-584.79,-930.311,-1240.829,-939.2902
3800,-1297.565,-1082.389,-739.128,-710.796,-771.119,-920.1993999999999
4000,-1197.46,-685.554,-754.112,-1006.771,-421.795,-813.1384
4200,-569.937,-754.591,-712.188,-570.229,-485.183,-618.4255999999999
4400,-471.365,-665.13,-548.148,-537.497,-491.252,-542.6784
4600,-837.493,-756.27,-854.342,-511.243,-770.639,-745.9974
4800,-962.307,-917.628,-472.552,-780.242,-497.145,-725.9748000000001
5000,-712.835,-713.659,-687.695,-427.912,-404.907,-589.4016
5200,-651.103,-859.688,-500.772,-438.992,-341.992,-558.5094
5400,-743.227,-391.915,-804.529,-512.078,-554.646,-601.2789999999999
5600,-509.102,-549.219,-534.153,-425.755,-427.963,-489.2384
5800,-865.573,-872.085,-609.402,-444.527,-338.856,-626.0886
6000,-839.404,-596.492,-593.748,-584.659,-223.856,-567.6317999999999
6200,-545.998,-721.55,-319.302,-448.592,-822.397,-571.5678
6400,-542.306,-555.083,-610.703,-473.114,-403.884,-517.018
6600,-647.19,-647.235,-451.41,-341.958,-930.616,-603.6818000000001
6800,-660.786,-547.635,-481.524,-292.196,-407.158,-477.8597999999999
7000,-492.797,-841.939,-838.621,-426.124,-369.494,-593.795
7200,-1039.314,-886.305,-556.951,-490.728,-421.233,-678.9062000000001
7400,-557.983,-1156.219,-539.539,-347.054,-694.797,-659.1184000000001
7600,-877.52,-477.303,-355.427,-928.225,-558.063,-639.3076
7800,-942.237,-523.628,-392.961,-517.546,-470.063,-569.287
8000,-425.108,-439.489,-517.062,-375.366,-246.448,-400.69460000000004
8200,-406.167,-404.931,-315.933,-728.289,-396.062,-450.2764
8400,-657.211,-423.995,-751.304,-409.837,-260.757,-500.62080000000003
8600,-474.287,-823.305,-652.577,-384.046,-797.699,-626.3828
8800,-384.0,-387.534,-674.877,-626.868,-401.622,-494.98019999999997
9000,-432.022,-376.772,-1054.447,-476.782,-522.692,-572.543
9200,-318.298,-224.287,-448.895,-476.792,-466.727,-386.99979999999994
9400,-461.454,-396.871,-745.187,-849.314,-374.617,-565.4886
9600,-477.992,-609.299,-433.093,-748.452,-538.257,-561.4186000000001
9800,-567.52,-937.976,-602.313,-505.34,-423.971,-607.4240000000001
10000,-1090.782,-441.389,-354.413,-789.847,-490.611,-633.4083999999999
