train_step,avg_return_0,avg_return_1,avg_return_2,avg_return_3,avg_return_4,avg_of_avg_returns
400,-1536.546,-1305.704,-1476.345,-1441.55,-1336.427,-1419.3144
800,-1560.859,-1658.253,-1680.021,-1331.663,-1626.41,-1571.4412
1200,-1653.454,-1362.974,-1662.171,-1348.167,-1346.539,-1474.6609999999998
1600,-1215.383,-1042.946,-1338.218,-1195.445,-1456.149,-1249.6281999999999
2000,-1125.405,-1049.354,-1151.105,-1026.077,-875.481,-1045.4843999999998
2400,-734.33,-1113.56,-991.23,-1101.61,-858.081,-959.7621999999999
2800,-831.554,-1252.022,-824.355,-949.867,-702.84,-912.1276
3200,-891.122,-1335.385,-981.574,-1218.142,-991.675,-1083.5796
3600,-1083.727,-995.506,-1038.708,-694.585,-771.558,-916.8168000000002
4000,-1129.413,-1004.401,-805.294,-876.8,-996.89,-962.5595999999999
4400,-841.356,-1172.15,-1017.112,-769.665,-1273.726,-1014.8018
4800,-628.882,-599.0,-593.569,-434.438,-699.712,-591.1202000000001
5200,-887.445,-352.686,-730.917,-392.073,-422.363,-557.0968
5600,-292.76,-453.912,-858.29,-556.763,-633.833,-559.1116
6000,-612.472,-616.308,-631.51,-779.242,-690.682,-666.0427999999999
6400,-627.566,-415.492,-1189.445,-687.168,-515.853,-687.1048
6800,-514.104,-431.155,-757.1,-629.288,-977.118,-661.7529999999999
7200,-783.674,-299.942,-469.809,-620.469,-509.61,-536.7008000000001
7600,-602.182,-595.474,-693.429,-515.977,-476.609,-576.7342
8000,-290.898,-365.552,-1047.676,-499.29,-1016.08,-643.8992000000001
8400,-398.836,-527.181,-480.874,-1140.566,-600.651,-629.6216000000001
8800,-316.408,-241.752,-476.265,-809.901,-618.939,-492.65299999999996
9200,-942.466,-500.683,-866.76,-404.596,-430.406,-628.9821999999999
9600,-339.638,-461.614,-410.022,-930.17,-385.246,-505.338
10000,-358.206,-641.958,-417.227,-1081.177,-569.493,-613.6122
10400,-364.764,-445.412,-339.43,-416.452,-795.431,-472.2978
10800,-571.759,-495.092,-273.96,-429.673,-462.827,-446.66220000000004
11200,-256.463,-642.945,-328.28,-325.885,-469.037,-404.52200000000005
11600,-509.414,-393.315,-550.077,-393.104,-547.047,-478.5914000000001
12000,-551.128,-549.547,-306.693,-495.259,-839.138,-548.3530000000001
12400,-388.364,-342.995,-390.86,-359.107,-363.943,-369.0538
12800,-824.906,-492.349,-484.413,-433.748,-363.457,-519.7746
13200,-352.137,-394.179,-416.689,-515.14,-473.48,-430.325
13600,-303.326,-392.873,-595.431,-457.652,-491.982,-448.25280000000004
14000,-767.466,-282.465,-636.801,-587.784,-475.797,-550.0626
14400,-996.299,-414.127,-435.051,-1101.29,-744.556,-738.2646
14800,-377.545,-229.54,-519.858,-642.665,-400.029,-433.9273999999999
15200,-485.868,-353.978,-457.344,-529.392,-520.021,-469.3206
15600,-262.092,-429.074,-509.16,-553.875,-644.499,-479.73999999999995
16000,-804.986,-367.555,-339.375,-474.21,-543.899,-506.005
16400,-382.199,-258.946,-320.602,-566.346,-406.961,-387.01079999999996
16800,-246.197,-287.315,-405.641,-517.826,-323.451,-356.086
17200,-310.131,-334.443,-243.816,-315.345,-465.995,-333.946
17600,-814.113,-228.358,-313.381,-311.232,-511.988,-435.8143999999999
18000,-300.844,-335.959,-347.821,-343.369,-391.979,-343.9944
18400,-685.055,-329.856,-418.825,-373.833,-310.548,-423.62340000000006
18800,-307.895,-299.06,-480.512,-323.141,-516.662,-385.454
19200,-375.858,-384.252,-402.772,-405.549,-305.855,-374.85720000000003
19600,-334.307,-361.675,-387.105,-636.079,-302.23,-404.2792
20000,-303.166,-247.965,-301.607,-694.373,-253.755,-360.1732
