train_step,avg_return_0,avg_return_1,avg_return_2,avg_return_3,avg_return_4,avg_of_avg_returns
200,-328.705,-836.858,-594.233,-555.6,-348.333,-532.7457999999999
400,-580.365,-328.454,-409.895,-385.475,-480.236,-436.88499999999993
600,-435.084,-377.439,-347.855,-411.701,-514.429,-417.30160000000006
800,-386.182,-402.568,-390.701,-366.635,-566.87,-422.5912
1000,-507.443,-275.072,-463.75,-424.764,-355.687,-405.34319999999997
1200,-262.465,-450.422,-421.485,-561.507,-430.756,-425.32699999999994
1400,-286.553,-390.406,-494.587,-522.279,-313.375,-401.44
1600,-400.733,-282.621,-359.056,-527.924,-338.94,-381.8548
1800,-239.749,-496.916,-337.154,-540.577,-424.315,-407.7422
2000,-544.174,-459.668,-336.947,-474.037,-387.846,-440.5344
2200,-341.378,-567.483,-606.766,-510.069,-366.482,-478.43559999999997
2400,-555.27,-418.454,-438.892,-893.89,-402.527,-541.8066
2600,-390.914,-847.402,-264.922,-761.635,-275.705,-508.1156
2800,-355.029,-441.573,-483.115,-411.569,-399.266,-418.1104
3000,-417.949,-501.522,-400.199,-408.408,-257.276,-397.0708
3200,-470.312,-346.09,-413.024,-454.255,-427.944,-422.325
3400,-369.72,-395.926,-456.162,-623.15,-557.083,-480.4082
3600,-321.572,-306.643,-494.592,-499.853,-469.385,-418.409
3800,-518.19,-325.461,-506.733,-409.941,-298.807,-411.82640000000004
4000,-382.99,-394.45,-502.532,-1020.238,-412.127,-542.4674
4200,-355.243,-402.546,-344.433,-411.509,-262.348,-355.2158
4400,-376.648,-871.17,-437.679,-343.944,-342.795,-474.44719999999995
4600,-318.391,-320.05,-491.083,-455.226,-358.799,-388.7098
4800,-304.831,-270.308,-583.505,-404.297,-224.113,-357.4108
5000,-392.334,-947.227,-472.53,-678.025,-411.84,-580.3912
5200,-350.069,-689.028,-464.573,-330.746,-359.847,-438.8526
5400,-268.609,-914.111,-1057.479,-445.354,-398.977,-616.906
5600,-331.881,-299.472,-318.953,-286.619,-446.479,-336.6808
5800,-333.851,-502.877,-287.713,-423.552,-503.241,-410.2468
6000,-372.28,-572.486,-481.226,-434.08,-275.463,-427.10699999999997
6200,-440.834,-719.44,-897.391,-411.877,-361.778,-566.2639999999999
6400,-432.517,-456.429,-382.2,-339.448,-336.063,-389.33140000000003
6600,-295.896,-627.311,-224.138,-420.003,-251.1,-363.6896
6800,-396.421,-757.458,-374.733,-311.658,-600.793,-488.2126
7000,-294.082,-328.49,-373.185,-440.045,-354.166,-357.9936
7200,-406.878,-309.422,-336.289,-321.111,-379.717,-350.6834
7400,-379.372,-349.202,-280.304,-750.945,-441.947,-440.354
7600,-340.113,-254.648,-371.191,-458.738,-324.74,-349.886
7800,-462.201,-419.2,-358.123,-350.651,-432.211,-404.47720000000004
8000,-287.011,-320.41,-468.361,-382.663,-296.063,-350.90160000000003
8200,-367.553,-462.423,-439.322,-336.439,-564.015,-433.9504
8400,-506.032,-344.564,-421.83,-421.502,-319.043,-402.5942
8600,-352.088,-252.257,-482.899,-270.48,-302.778,-332.10040000000004
8800,-352.729,-323.374,-340.798,-450.017,-330.918,-359.56720000000007
9000,-364.256,-457.872,-337.386,-448.34,-270.495,-375.66979999999995
9200,-592.483,-622.056,-350.122,-1211.738,-419.766,-639.2330000000001
9400,-330.628,-440.924,-382.815,-444.856,-333.559,-386.5564
9600,-454.549,-334.071,-447.831,-510.446,-416.038,-432.587
9800,-374.646,-570.539,-392.714,-327.646,-404.578,-414.0245999999999
10000,-364.784,-515.18,-356.774,-955.066,-292.542,-496.8692
