train_step,avg_return_0,avg_return_1,avg_return_2,avg_return_3,avg_return_4,avg_of_avg_returns
1000,-965.705,-1328.651,-1522.087,-1398.061,-1282.92,-1299.4848
2000,-1419.916,-801.237,-1462.839,-499.859,-1579.627,-1152.6955999999998
3000,-1441.989,-1057.82,-1545.73,-598.862,-1367.47,-1202.3742
4000,-850.006,-233.932,-1432.279,-173.606,-348.607,-607.6859999999999
5000,-1288.018,-174.966,-1343.793,-134.395,-255.318,-639.298
6000,-1009.17,-267.99,-1364.592,-228.775,-434.831,-661.0716
7000,-633.265,-193.831,-1529.181,-228.098,-168.892,-550.6533999999999
8000,-1245.035,-125.297,-634.162,-166.318,-177.215,-469.6054000000001
9000,-186.732,-188.573,-499.463,-214.658,-158.247,-249.5346
10000,-166.578,-195.049,-233.751,-169.814,-110.368,-175.112
11000,-158.552,-143.833,-341.387,-203.392,-109.401,-191.313
12000,-199.867,-100.45,-193.496,-142.019,-183.761,-163.9186
13000,-108.428,-184.497,-188.539,-112.161,-166.279,-151.9808
14000,-130.351,-134.302,-153.615,-144.934,-133.138,-139.268
15000,-133.957,-175.82,-98.118,-114.417,-168.767,-138.2158
16000,-122.723,-188.274,-126.127,-121.165,-168.741,-145.406
17000,-111.474,-162.783,-151.05,-167.112,-169.201,-152.324
18000,-169.427,-153.675,-111.57,-161.762,-150.101,-149.307
19000,-143.714,-144.277,-143.124,-193.002,-153.367,-155.49679999999998
20000,-123.231,-129.662,-182.257,-145.578,-158.173,-147.78019999999998
21000,-119.386,-158.152,-151.181,-121.601,-111.965,-132.45700000000002
22000,-111.973,-161.946,-120.982,-143.128,-124.509,-132.5076
23000,-142.327,-161.358,-191.002,-129.611,-129.711,-150.80180000000001
24000,-193.747,-139.331,-183.871,-180.893,-182.748,-176.118
25000,-193.553,-206.098,-116.613,-215.601,-151.15,-176.603
26000,-127.406,-170.018,-200.99,-173.757,-205.643,-175.5628
27000,-172.458,-162.586,-155.781,-231.239,-176.991,-179.81099999999998
28000,-112.538,-189.351,-164.635,-136.514,-99.449,-140.4974
29000,-217.331,-134.3,-355.866,-168.465,-155.86,-206.36440000000002
30000,-165.609,-136.336,-182.006,-128.325,-170.759,-156.60700000000003
31000,-176.355,-149.609,-134.942,-126.043,-98.616,-137.113
32000,-183.848,-196.15,-133.406,-170.58,-165.232,-169.8432
33000,-159.015,-173.074,-187.873,-149.872,-149.349,-163.8366
34000,-195.538,-144.735,-104.451,-146.622,-223.659,-163.001
35000,-135.083,-124.042,-182.497,-131.999,-125.025,-139.7292
36000,-136.617,-128.095,-135.657,-184.51,-168.674,-150.7106
37000,-152.156,-127.461,-149.243,-131.657,-159.863,-144.07600000000002
38000,-169.01,-108.883,-134.156,-165.079,-189.885,-153.40259999999998
39000,-155.493,-119.062,-204.035,-107.041,-92.179,-135.562
40000,-151.476,-102.884,-102.253,-179.893,-160.03,-139.3072
41000,-146.931,-131.125,-136.285,-142.038,-153.114,-141.89860000000002
42000,-143.842,-176.101,-123.196,-150.58,-193.083,-157.3604
43000,-127.124,-166.67,-177.815,-174.499,-138.956,-157.0128
44000,-152.102,-218.093,-129.565,-118.458,-136.329,-150.9094
45000,-122.315,-203.067,-109.507,-176.058,-172.313,-156.652
46000,-146.22,-169.718,-123.471,-205.845,-156.24,-160.2988
47000,-138.846,-168.01,-194.174,-115.529,-141.251,-151.56199999999998
48000,-181.712,-174.591,-174.888,-136.791,-87.497,-151.0958
49000,-197.895,-180.894,-146.202,-166.257,-135.439,-165.3374
50000,-124.683,-86.2,-187.522,-184.277,-169.599,-150.4562
