train_step,avg_return_0,avg_return_1,avg_return_2,avg_return_3,avg_return_4,avg_of_avg_returns
200,-10.777,-12.24,-10.308,-13.404,-12.203,-11.7864
400,-12.585,-14.654,-10.156,-10.44,-8.915,-11.35
600,-11.792,-10.282,-12.998,-11.417,-10.86,-11.4698
800,-10.506,-9.869,-10.552,-12.246,-8.782,-10.391
1000,-8.746,-9.795,-11.321,-9.094,-10.185,-9.8282
1200,-9.456,-11.58,-9.438,-11.681,-11.873,-10.8056
1400,-10.697,-8.494,-10.443,-11.471,-10.42,-10.305000000000001
1600,-13.4,-8.506,-10.879,-10.346,-11.744,-10.975
1800,-11.07,-11.793,-12.514,-10.586,-12.278,-11.6482
2000,-9.625,-8.651,-11.377,-11.753,-13.29,-10.9392
2200,-11.903,-7.581,-10.528,-11.061,-14.305,-11.0756
2400,-12.402,-7.714,-11.702,-11.819,-14.39,-11.6054
2600,-9.619,-8.302,-12.399,-11.806,-10.884,-10.602
2800,-11.733,-8.856,-8.137,-10.789,-12.602,-10.4234
3000,-11.144,-8.439,-10.195,-12.039,-11.028,-10.568999999999999
3200,-9.698,-8.837,-9.953,-9.207,-11.599,-9.858799999999999
3400,-9.194,-7.363,-8.68,-8.647,-11.152,-9.007200000000001
3600,-9.919,-8.288,-10.796,-10.842,-10.456,-10.0602
3800,-8.207,-9.301,-9.327,-9.775,-12.598,-9.8416
4000,-8.119,-8.691,-9.88,-11.438,-8.362,-9.298000000000002
4200,-9.819,-8.116,-7.805,-10.056,-7.323,-8.6238
4400,-7.846,-7.171,-8.566,-11.741,-9.568,-8.978399999999999
4600,-8.791,-6.661,-9.02,-9.617,-8.712,-8.5602
4800,-8.359,-9.242,-6.868,-8.316,-11.169,-8.7908
5000,-9.119,-8.054,-8.403,-8.804,-9.929,-8.8618
5200,-10.434,-6.141,-7.891,-9.598,-10.141,-8.841
5400,-9.057,-7.65,-6.573,-8.027,-10.16,-8.2934
5600,-8.673,-7.291,-7.8,-8.379,-8.485,-8.1256
5800,-7.634,-7.351,-6.937,-7.142,-10.632,-7.9392
6000,-7.403,-6.753,-8.648,-6.667,-10.082,-7.9106
6200,-10.017,-5.92,-8.482,-11.172,-6.909,-8.499999999999998
6400,-8.656,-6.981,-7.071,-9.4,-7.727,-7.966999999999999
6600,-6.225,-7.829,-7.4,-8.22,-7.248,-7.384399999999999
6800,-7.882,-8.586,-8.148,-9.485,-9.932,-8.8066
7000,-8.702,-8.263,-7.543,-6.07,-8.257,-7.767
7200,-7.663,-5.829,-7.696,-6.761,-7.829,-7.1556
7400,-8.93,-8.067,-6.879,-7.065,-7.432,-7.6746
7600,-8.151,-10.195,-6.798,-7.898,-7.866,-8.1816
7800,-8.649,-9.67,-10.701,-7.098,-7.562,-8.736
8000,-8.25,-9.18,-8.611,-7.595,-9.01,-8.5292
8200,-8.028,-9.393,-5.778,-8.715,-8.799,-8.142599999999998
8400,-7.716,-8.753,-6.487,-8.328,-7.951,-7.8469999999999995
8600,-6.821,-6.325,-9.145,-6.562,-7.322,-7.235000000000001
8800,-9.023,-8.491,-6.369,-7.869,-7.288,-7.808
9000,-6.928,-11.05,-6.263,-7.25,-6.844,-7.667
9200,-7.758,-9.252,-6.685,-6.162,-7.061,-7.3835999999999995
9400,-6.507,-10.383,-8.224,-8.019,-6.722,-7.971000000000001
9600,-8.384,-8.449,-6.758,-8.196,-7.37,-7.8313999999999995
9800,-8.48,-5.207,-6.45,-6.106,-6.893,-6.6272
10000,-7.434,-6.508,-7.803,-7.228,-7.864,-7.367399999999999
