train_step,avg_return_0,avg_return_1,avg_return_2,avg_return_3,avg_return_4,avg_of_avg_returns
200,-47.691,-45.295,-43.445,-48.96,-45.899,-46.258
400,-41.509,-43.384,-42.015,-41.561,-46.529,-42.9996
600,-42.598,-40.573,-37.12,-39.625,-41.122,-40.2076
800,-36.635,-32.388,-37.706,-35.3,-37.799,-35.9656
1000,-36.38,-37.972,-36.566,-36.346,-36.696,-36.792
1200,-35.856,-34.451,-33.698,-33.893,-33.21,-34.2216
1400,-34.685,-32.73,-33.101,-34.434,-33.045,-33.599000000000004
1600,-32.019,-35.478,-34.127,-32.673,-35.736,-34.0066
1800,-29.981,-32.744,-32.101,-30.821,-31.124,-31.3542
2000,-30.736,-31.207,-30.48,-32.892,-32.201,-31.5032
2200,-30.333,-31.128,-29.511,-30.327,-30.084,-30.276599999999995
2400,-28.776,-29.291,-31.046,-28.897,-28.359,-29.2738
2600,-29.147,-29.913,-29.549,-29.051,-28.468,-29.225600000000004
2800,-27.599,-26.778,-32.133,-27.033,-28.378,-28.3842
3000,-27.614,-25.526,-26.684,-28.272,-25.004,-26.619999999999997
3200,-24.912,-26.605,-27.973,-25.115,-26.789,-26.2788
3400,-27.287,-25.879,-26.524,-24.733,-24.944,-25.873399999999997
3600,-24.261,-27.016,-24.159,-25.529,-23.162,-24.825400000000002
3800,-24.21,-25.558,-23.713,-23.509,-22.937,-23.9854
4000,-23.758,-22.691,-22.988,-22.899,-22.665,-23.0002
4200,-21.683,-22.249,-20.869,-22.632,-21.122,-21.711000000000002
4400,-21.499,-21.205,-21.586,-19.859,-21.528,-21.135399999999997
4600,-21.222,-22.064,-21.601,-19.719,-20.425,-21.0062
4800,-19.248,-20.82,-20.967,-20.742,-20.62,-20.479400000000002
5000,-19.736,-18.739,-20.27,-17.096,-21.378,-19.443800000000003
5200,-18.28,-20.798,-18.435,-19.878,-19.9,-19.458199999999998
5400,-17.587,-17.951,-18.519,-18.351,-18.0,-18.081599999999998
5600,-20.401,-19.905,-18.138,-18.301,-18.131,-18.9752
5800,-18.366,-16.621,-16.043,-18.664,-16.37,-17.212799999999998
6000,-17.492,-15.575,-16.667,-17.092,-15.666,-16.498399999999997
6200,-15.459,-15.712,-18.273,-15.006,-18.315,-16.553
6400,-17.43,-14.792,-17.016,-17.995,-14.865,-16.4196
6600,-16.01,-17.187,-16.449,-15.747,-16.623,-16.403200000000002
6800,-16.724,-14.257,-17.579,-16.08,-15.763,-16.0806
7000,-15.098,-15.149,-16.371,-15.639,-14.154,-15.282199999999998
7200,-13.177,-13.753,-16.367,-14.16,-14.887,-14.468799999999998
7400,-15.392,-12.4,-15.489,-15.236,-16.695,-15.042400000000004
7600,-17.929,-15.262,-17.917,-14.212,-15.527,-16.169400000000003
7800,-15.277,-11.765,-15.336,-15.063,-13.214,-14.131
8000,-15.866,-13.631,-13.382,-14.655,-14.855,-14.477799999999998
8200,-14.426,-12.017,-11.968,-15.887,-12.126,-13.2848
8400,-15.901,-13.16,-12.787,-13.013,-11.827,-13.3376
8600,-14.951,-13.641,-13.538,-13.768,-13.987,-13.976999999999999
8800,-12.885,-12.771,-15.53,-11.939,-15.757,-13.7764
9000,-13.574,-13.983,-13.684,-11.313,-12.089,-12.9286
9200,-13.521,-13.319,-14.663,-12.193,-11.634,-13.065999999999999
9400,-12.951,-14.362,-14.808,-12.104,-14.152,-13.6754
9600,-13.483,-12.481,-14.801,-13.685,-13.363,-13.5626
9800,-14.886,-12.688,-11.201,-12.268,-12.514,-12.711400000000001
10000,-12.836,-12.465,-10.83,-10.883,-13.677,-12.1382
