train_step,avg_return_0,avg_return_1,avg_return_2,avg_return_3,avg_return_4,avg_of_avg_returns
1000,-34.242,-33.639,-33.865,-36.588,-31.917,-34.050200000000004
2000,-29.251,-29.112,-30.931,-30.09,-29.969,-29.870600000000003
3000,-27.894,-27.92,-27.399,-25.672,-27.881,-27.353199999999998
4000,-24.003,-22.3,-21.95,-24.635,-26.367,-23.851000000000003
5000,-19.21,-20.994,-20.242,-21.31,-18.235,-19.9982
6000,-19.436,-17.187,-18.381,-19.006,-16.021,-18.0062
7000,-16.464,-14.925,-16.235,-14.418,-14.753,-15.358999999999998
8000,-12.637,-14.965,-15.061,-12.541,-13.14,-13.6688
9000,-13.305,-12.63,-13.589,-11.484,-12.792,-12.760000000000002
10000,-13.823,-12.329,-12.731,-10.897,-12.406,-12.4372
11000,-12.914,-10.112,-11.475,-10.226,-11.763,-11.297999999999998
12000,-10.369,-12.058,-10.599,-13.333,-11.077,-11.487199999999998
13000,-13.965,-9.761,-13.256,-10.966,-11.94,-11.977599999999999
14000,-13.833,-11.167,-12.423,-11.237,-10.656,-11.8632
15000,-12.98,-12.164,-13.979,-11.803,-13.243,-12.8338
16000,-10.514,-13.693,-11.814,-11.889,-12.043,-11.990599999999999
17000,-12.58,-13.257,-12.012,-11.451,-12.611,-12.382200000000001
18000,-11.226,-11.104,-12.65,-12.858,-12.54,-12.075599999999998
19000,-11.12,-14.092,-14.19,-13.557,-12.686,-13.129000000000001
20000,-10.965,-11.278,-12.905,-13.038,-12.064,-12.05
21000,-11.256,-12.761,-13.341,-13.655,-12.37,-12.676599999999999
22000,-13.338,-12.381,-10.983,-12.907,-10.309,-11.9836
23000,-14.87,-14.616,-12.915,-11.365,-11.451,-13.0434
24000,-14.483,-15.068,-12.555,-12.325,-13.045,-13.4952
25000,-14.431,-13.185,-12.667,-11.585,-13.504,-13.0744
26000,-14.066,-13.233,-12.848,-11.452,-13.104,-12.9406
27000,-14.19,-13.359,-11.782,-12.386,-15.797,-13.502799999999999
28000,-15.288,-13.873,-14.559,-10.868,-12.802,-13.478
29000,-13.827,-12.701,-15.521,-13.614,-12.748,-13.6822
30000,-13.825,-12.161,-14.922,-12.401,-11.926,-13.047
31000,-13.473,-13.713,-15.282,-16.133,-16.112,-14.942599999999999
32000,-11.59,-13.412,-14.47,-12.891,-15.711,-13.614799999999999
33000,-12.503,-12.724,-12.492,-13.537,-13.646,-12.9804
34000,-13.311,-10.886,-12.707,-13.145,-12.442,-12.498199999999999
35000,-11.798,-12.0,-13.185,-13.849,-13.532,-12.872800000000002
36000,-12.554,-13.351,-13.086,-12.87,-14.283,-13.228799999999998
37000,-12.487,-12.661,-13.461,-13.414,-14.427,-13.290000000000001
38000,-13.163,-13.544,-12.073,-12.774,-12.363,-12.7834
39000,-15.728,-13.551,-12.704,-16.271,-15.205,-14.6918
40000,-14.498,-15.069,-13.804,-16.452,-12.359,-14.4364
41000,-12.675,-12.114,-15.883,-17.501,-12.33,-14.1006
42000,-13.752,-14.489,-13.461,-14.108,-13.482,-13.8584
43000,-13.945,-14.061,-13.867,-13.312,-12.759,-13.5888
44000,-16.252,-11.955,-15.726,-14.387,-15.294,-14.722800000000001
45000,-15.541,-15.88,-14.719,-12.968,-12.259,-14.2734
46000,-14.151,-14.861,-14.052,-16.036,-14.432,-14.706399999999999
47000,-16.271,-15.198,-16.284,-14.631,-11.646,-14.806000000000001
48000,-13.79,-15.072,-15.415,-14.733,-14.295,-14.661000000000001
49000,-14.646,-12.228,-14.815,-19.989,-13.916,-15.118799999999998
50000,-12.824,-11.747,-13.798,-15.02,-14.238,-13.5254
