train_step,avg_return_0,avg_return_1,avg_return_2,avg_return_3,avg_return_4,avg_of_avg_returns
200,-44.237,-42.996,-45.055,-44.653,-46.674,-44.723
400,-44.655,-41.941,-41.404,-43.785,-42.197,-42.7964
600,-43.212,-40.631,-43.975,-40.227,-41.228,-41.854600000000005
800,-37.015,-36.523,-37.95,-37.886,-37.829,-37.4406
1000,-37.225,-36.763,-33.044,-37.927,-37.418,-36.4754
1200,-35.496,-32.316,-34.173,-33.756,-35.873,-34.3228
1400,-34.047,-34.539,-33.957,-32.665,-33.361,-33.7138
1600,-30.909,-31.625,-31.595,-31.646,-32.835,-31.721999999999998
1800,-31.546,-31.219,-29.896,-31.977,-31.641,-31.2558
2000,-29.65,-32.314,-30.701,-30.63,-31.5,-30.958999999999996
2200,-30.526,-28.271,-30.231,-29.972,-26.841,-29.168200000000002
2400,-28.388,-31.038,-28.658,-27.763,-30.269,-29.223200000000002
2600,-29.774,-29.471,-26.557,-29.178,-32.642,-29.524400000000004
2800,-27.383,-29.315,-26.736,-27.396,-29.04,-27.974
3000,-27.085,-27.84,-23.759,-25.923,-26.214,-26.1642
3200,-25.706,-24.629,-25.482,-25.241,-25.643,-25.340200000000003
3400,-24.323,-24.535,-25.336,-24.703,-24.11,-24.6014
3600,-24.906,-24.539,-26.807,-22.65,-24.195,-24.619399999999995
3800,-23.43,-24.455,-23.553,-26.236,-23.63,-24.2608
4000,-24.083,-23.943,-23.551,-23.68,-23.129,-23.677200000000003
4200,-22.157,-23.778,-21.599,-21.192,-22.734,-22.292
4400,-20.255,-21.055,-21.502,-21.853,-21.924,-21.3178
4600,-22.989,-23.809,-19.658,-19.875,-20.789,-21.424
4800,-22.532,-21.708,-21.211,-20.159,-21.611,-21.4442
5000,-18.134,-19.696,-19.609,-17.804,-18.822,-18.813
5200,-20.349,-20.604,-18.283,-18.282,-17.442,-18.992
5400,-20.527,-18.289,-18.295,-19.43,-19.021,-19.1124
5600,-19.868,-18.918,-16.571,-19.088,-17.274,-18.343799999999998
5800,-18.698,-18.974,-15.692,-17.85,-14.483,-17.139400000000002
6000,-15.697,-16.602,-17.046,-16.046,-17.011,-16.480399999999996
6200,-17.601,-16.599,-16.538,-14.914,-16.466,-16.4236
6400,-15.566,-16.448,-16.286,-16.987,-16.236,-16.3046
6600,-18.13,-16.813,-16.263,-14.174,-15.391,-16.1542
6800,-15.168,-16.352,-14.039,-14.49,-15.725,-15.1548
7000,-15.09,-15.822,-15.448,-15.323,-15.56,-15.448599999999999
7200,-14.907,-14.177,-14.534,-14.123,-15.174,-14.582999999999998
7400,-14.232,-15.168,-13.168,-16.052,-12.468,-14.2176
7600,-13.549,-13.77,-14.011,-14.919,-14.301,-14.11
7800,-15.671,-12.89,-13.386,-13.755,-13.365,-13.813400000000001
8000,-15.679,-14.374,-14.874,-14.755,-14.285,-14.7934
8200,-15.052,-12.588,-12.879,-11.784,-12.778,-13.016200000000001
8400,-14.645,-13.008,-16.324,-11.893,-12.799,-13.733800000000002
8600,-14.021,-12.859,-14.11,-13.922,-13.603,-13.703
8800,-13.639,-12.75,-14.124,-14.914,-12.785,-13.6424
9000,-12.994,-12.702,-13.202,-11.485,-12.152,-12.507
9200,-11.253,-13.414,-13.929,-11.895,-13.265,-12.7512
9400,-13.103,-12.702,-12.041,-12.462,-12.827,-12.627
9600,-12.788,-14.059,-12.541,-12.07,-12.286,-12.748800000000001
9800,-10.285,-11.036,-11.791,-10.136,-12.031,-11.055799999999998
10000,-10.274,-12.61,-9.657,-11.443,-11.481,-11.093
