train_step,avg_return_0,avg_return_1,avg_return_2,avg_return_3,avg_return_4,avg_of_avg_returns
200,-23.283,-46.383,-12.254,-26.069,-8.981,-23.394
400,-63.885,-14.142,-42.967,-8.103,-38.339,-33.4872
600,-57.554,-16.436,-22.667,-32.827,-11.104,-28.117600000000003
800,-26.015,-15.961,-54.138,-10.991,-23.443,-26.1096
1000,-47.502,-41.671,-19.804,-39.658,-32.537,-36.2344
1200,-26.519,-45.756,-16.579,-8.934,-38.8,-27.317600000000006
1400,-74.992,-19.414,-18.304,-22.416,-19.866,-30.998400000000004
1600,-87.565,-22.566,-14.985,-21.197,-10.789,-31.420399999999994
1800,-48.422,-13.791,-24.541,-16.3,-32.887,-27.188199999999995
2000,-37.374,-14.33,-17.305,-27.002,-31.609,-25.524
2200,-32.926,-19.243,-40.609,-25.503,-54.582,-34.5726
2400,-40.239,-21.609,-33.368,-10.707,-16.755,-24.5356
2600,-11.055,-21.117,-28.912,-30.79,-11.946,-20.764
2800,-32.669,-9.302,-17.914,-28.53,-37.979,-25.278799999999997
3000,-46.712,-21.617,-17.981,-37.364,-19.353,-28.605400000000003
3200,-33.024,-17.276,-24.154,-19.006,-33.784,-25.4488
3400,-44.661,-18.955,-18.649,-21.717,-18.28,-24.4524
3600,-21.183,-24.877,-39.661,-12.908,-29.204,-25.5666
3800,-19.451,-21.253,-34.579,-20.39,-13.122,-21.759
4000,-17.015,-15.661,-38.009,-12.997,-13.103,-19.357
4200,-11.647,-21.72,-17.299,-35.312,-41.717,-25.538999999999998
4400,-22.859,-14.582,-18.181,-28.884,-16.329,-20.167
4600,-17.385,-19.563,-14.242,-13.579,-25.042,-17.962200000000003
4800,-11.767,-41.297,-15.873,-16.631,-11.551,-19.4238
5000,-26.037,-19.234,-17.59,-13.402,-7.936,-16.839800000000004
5200,-61.671,-21.206,-24.155,-14.858,-67.03,-37.784000000000006
5400,-35.003,-26.258,-37.733,-25.127,-16.952,-28.2146
5600,-23.653,-16.636,-27.32,-11.942,-26.263,-21.162800000000004
5800,-13.325,-13.329,-27.933,-16.618,-20.005,-18.241999999999997
6000,-9.38,-10.653,-17.635,-21.146,-11.196,-14.002
6200,-24.504,-12.765,-25.409,-8.326,-11.078,-16.416400000000003
6400,-12.447,-9.837,-12.88,-13.233,-26.366,-14.9526
6600,-22.588,-22.944,-30.896,-13.438,-19.52,-21.8772
6800,-15.342,-8.942,-16.336,-22.197,-18.18,-16.199399999999997
7000,-16.963,-12.285,-31.178,-16.463,-11.187,-17.6152
7200,-25.828,-14.762,-20.57,-16.359,-24.733,-20.450400000000002
7400,-9.985,-28.815,-18.687,-8.965,-14.726,-16.235599999999998
7600,-14.348,-11.558,-25.487,-18.823,-18.348,-17.7128
7800,-17.333,-26.075,-16.82,-18.089,-20.104,-19.6842
8000,-10.431,-34.09,-21.53,-13.01,-20.956,-20.003400000000003
8200,-19.695,-21.563,-17.166,-20.088,-11.537,-18.009800000000002
8400,-20.581,-14.8,-16.869,-22.062,-20.325,-18.9274
8600,-11.423,-22.313,-26.247,-14.296,-10.276,-16.910999999999998
8800,-17.978,-9.912,-14.729,-24.926,-17.505,-17.009999999999998
9000,-26.258,-23.35,-18.818,-27.444,-11.783,-21.5306
9200,-13.979,-25.869,-20.669,-16.443,-11.969,-17.7858
9400,-20.337,-12.903,-14.985,-13.346,-10.103,-14.334799999999998
9600,-21.443,-24.763,-21.267,-23.452,-17.195,-21.624000000000002
9800,-13.861,-18.478,-21.46,-12.344,-15.627,-16.354
10000,-20.593,-27.473,-16.037,-9.416,-16.935,-18.0908
