train_step,avg_return_0,avg_return_1,avg_return_2,avg_return_3,avg_return_4,avg_of_avg_returns
2,-65.376,-31.122,-11.68,-10.451,-11.087,-25.943199999999997
4,-69.942,-12.948,-11.183,-33.045,-9.148,-27.2532
6,-70.206,-11.539,-13.064,-71.307,-17.119,-36.647
8,-36.374,-9.874,-10.031,-44.478,-13.272,-22.8058
10,-31.825,-11.968,-12.602,-39.901,-13.208,-21.900799999999997
12,-43.525,-8.421,-11.186,-16.269,-9.077,-17.6956
14,-46.768,-11.339,-13.859,-12.373,-10.92,-19.0518
16,-29.319,-10.528,-14.575,-9.592,-11.672,-15.137199999999998
18,-15.865,-11.705,-12.539,-10.607,-13.078,-12.758799999999999
20,-11.639,-9.882,-12.579,-13.261,-11.557,-11.783600000000002
22,-12.65,-10.092,-13.435,-12.535,-12.12,-12.1664
24,-12.078,-9.87,-14.457,-9.195,-11.24,-11.368
26,-12.266,-10.665,-14.433,-10.992,-12.484,-12.168
28,-12.857,-10.112,-13.923,-13.133,-11.699,-12.344800000000001
30,-13.65,-10.548,-11.401,-11.026,-9.043,-11.1336
32,-24.319,-10.376,-11.666,-12.278,-12.984,-14.3246
34,-13.139,-11.224,-10.319,-8.808,-11.706,-11.0392
36,-12.504,-10.585,-10.579,-11.443,-11.385,-11.299199999999999
38,-11.868,-12.17,-10.911,-9.36,-12.722,-11.4062
40,-11.709,-14.481,-11.07,-12.132,-10.708,-12.02
42,-9.454,-10.305,-12.507,-11.726,-10.719,-10.9422
44,-9.908,-11.765,-12.691,-11.01,-12.977,-11.6702
46,-10.759,-10.713,-14.447,-11.8,-12.995,-12.142799999999998
48,-10.192,-12.983,-12.363,-10.47,-12.498,-11.701199999999998
50,-9.502,-11.707,-11.016,-10.305,-12.854,-11.0768
52,-13.521,-14.229,-12.736,-14.278,-12.848,-13.522400000000001
54,-11.885,-11.88,-11.059,-11.025,-12.879,-11.7456
56,-11.658,-9.157,-12.681,-12.459,-13.449,-11.880799999999999
58,-10.055,-11.551,-12.287,-11.34,-13.102,-11.667000000000002
60,-10.206,-13.229,-10.691,-10.15,-13.372,-11.529599999999999
62,-13.066,-13.79,-10.806,-9.977,-10.723,-11.6724
64,-10.388,-12.618,-12.004,-10.453,-12.501,-11.592799999999999
66,-12.615,-12.074,-12.692,-11.369,-10.877,-11.9254
68,-12.829,-10.983,-12.128,-12.406,-13.242,-12.317599999999999
70,-16.424,-11.123,-11.721,-8.13,-10.893,-11.6582
72,-13.355,-10.53,-12.394,-10.546,-13.541,-12.0732
74,-10.76,-10.864,-27.574,-11.497,-10.742,-14.287400000000002
76,-11.738,-12.0,-53.03,-12.448,-12.764,-20.396
78,-8.003,-10.612,-58.641,-9.428,-12.121,-19.761
80,-9.298,-10.302,-64.536,-9.298,-10.682,-20.8232
82,-8.211,-11.937,-63.643,-11.719,-11.441,-21.3902
84,-10.855,-10.339,-61.802,-12.707,-10.475,-21.235599999999998
86,-8.992,-13.134,-61.02,-13.133,-11.207,-21.4972
88,-12.08,-13.073,-59.838,-11.148,-11.962,-21.6202
90,-12.653,-10.324,-63.562,-11.822,-10.882,-21.8486
92,-10.737,-12.155,-64.886,-11.638,-13.093,-22.5018
94,-8.476,-11.113,-49.161,-11.579,-11.349,-18.335600000000003
96,-10.788,-11.84,-13.184,-9.03,-11.535,-11.2754
98,-10.836,-12.624,-12.353,-8.827,-10.681,-11.0642
100,-12.202,-12.117,-14.054,-12.868,-12.978,-12.843800000000002
