train_step,avg_return_0,avg_return_1,avg_return_2,avg_return_3,avg_return_4,avg_of_avg_returns
20,-21.534,-11.296,-10.225,-11.371,-8.862,-12.6576
40,-11.097,-12.43,-12.602,-10.958,-13.494,-12.116200000000001
60,-12.68,-10.427,-12.029,-13.343,-8.527,-11.4012
80,-11.86,-10.624,-12.855,-13.536,-11.836,-12.142199999999999
100,-14.51,-10.493,-12.535,-13.955,-12.082,-12.715
120,-13.987,-60.648,-11.746,-13.361,-9.451,-21.838600000000003
140,-11.789,-42.658,-11.31,-13.42,-11.544,-18.1442
160,-12.361,-11.293,-10.46,-11.162,-11.646,-11.384400000000001
180,-13.215,-14.707,-10.558,-10.412,-12.391,-12.2566
200,-12.169,-12.98,-11.73,-10.43,-10.988,-11.659400000000002
220,-9.914,-10.657,-12.152,-12.662,-48.314,-18.7398
240,-12.604,-9.795,-11.247,-12.755,-11.007,-11.4816
260,-13.016,-10.966,-8.21,-11.433,-11.229,-10.9708
280,-11.548,-9.152,-12.417,-9.139,-13.285,-11.1082
300,-11.182,-19.446,-10.282,-14.75,-10.996,-13.331199999999999
320,-9.348,-13.189,-11.088,-11.487,-24.082,-13.8388
340,-12.736,-10.047,-12.236,-10.198,-12.8,-11.603400000000002
360,-11.307,-8.663,-13.075,-10.384,-12.45,-11.1758
380,-9.607,-10.32,-13.034,-9.482,-15.642,-11.616999999999999
400,-10.713,-23.318,-12.34,-18.821,-22.071,-17.452599999999997
420,-10.831,-11.805,-11.486,-10.963,-13.635,-11.744
440,-11.951,-10.633,-10.889,-13.598,-14.79,-12.3722
460,-11.043,-10.388,-11.764,-13.477,-11.251,-11.584599999999998
480,-13.478,-10.427,-11.342,-14.598,-14.728,-12.914599999999998
500,-10.593,-10.455,-12.891,-10.391,-10.857,-11.0374
520,-13.588,-12.661,-11.866,-10.696,-11.643,-12.090799999999998
540,-10.018,-17.862,-11.7,-15.629,-13.846,-13.810999999999998
560,-14.609,-11.774,-11.761,-16.711,-12.592,-13.4894
580,-9.034,-15.589,-11.586,-13.739,-10.702,-12.13
600,-13.868,-13.014,-11.384,-12.854,-57.024,-21.628800000000002
620,-11.685,-11.063,-9.47,-23.56,-12.952,-13.746
640,-39.807,-39.745,-8.194,-14.111,-11.855,-22.7424
660,-16.151,-12.089,-13.752,-17.482,-40.879,-20.070600000000002
680,-11.154,-11.544,-12.839,-13.348,-11.06,-11.989
700,-13.216,-11.424,-13.54,-11.679,-13.621,-12.696000000000002
720,-9.134,-11.732,-9.201,-12.85,-10.553,-10.693999999999999
740,-13.039,-13.274,-13.511,-13.553,-21.061,-14.887599999999997
760,-14.418,-21.285,-12.887,-10.14,-11.049,-13.9558
780,-13.635,-29.013,-13.264,-12.363,-12.277,-16.110400000000002
800,-13.061,-11.199,-11.812,-11.587,-12.527,-12.037199999999999
820,-11.004,-10.44,-10.85,-13.605,-10.92,-11.363800000000001
840,-15.099,-11.174,-11.227,-12.623,-11.826,-12.3898
860,-10.651,-13.559,-10.466,-11.883,-13.936,-12.099
880,-17.463,-12.544,-12.654,-9.447,-11.702,-12.762
900,-12.429,-11.86,-13.089,-12.659,-8.105,-11.6284
920,-10.884,-13.543,-11.891,-11.408,-14.321,-12.4094
940,-9.734,-11.684,-12.225,-14.151,-10.638,-11.686399999999999
960,-16.381,-17.349,-13.875,-17.624,-10.999,-15.2456
980,-15.709,-12.612,-20.709,-15.826,-11.266,-15.2244
1000,-11.458,-13.163,-11.407,-10.773,-10.047,-11.3696
