train_step,avg_return_0,avg_return_1,avg_return_2,avg_return_3,avg_return_4,avg_of_avg_returns
200,-23.013,-11.329,-13.701,-28.613,-60.218,-27.374800000000004
400,-59.12,-19.706,-11.105,-14.227,-14.921,-23.815800000000003
600,-27.807,-48.904,-11.232,-19.565,-29.236,-27.3488
800,-56.857,-35.168,-11.387,-37.705,-17.903,-31.804000000000002
1000,-75.315,-37.044,-15.483,-68.843,-22.358,-43.8086
1200,-24.933,-23.418,-11.122,-52.042,-25.46,-27.395
1400,-10.987,-20.702,-17.043,-10.817,-11.632,-14.2362
1600,-52.085,-12.641,-11.074,-12.578,-14.449,-20.5654
1800,-50.373,-24.03,-86.736,-12.743,-9.157,-36.607800000000005
2000,-20.576,-27.706,-10.13,-32.073,-15.334,-21.163800000000002
2200,-14.027,-21.613,-23.85,-14.111,-23.981,-19.516399999999997
2400,-15.997,-61.389,-42.747,-11.948,-20.033,-30.422799999999995
2600,-16.824,-99.742,-44.582,-22.535,-36.062,-43.949
2800,-24.274,-44.833,-35.155,-30.701,-14.018,-29.7962
3000,-20.692,-61.145,-17.339,-19.03,-13.781,-26.397399999999998
3200,-11.251,-11.857,-15.032,-13.079,-31.38,-16.5198
3400,-23.157,-37.86,-29.671,-12.125,-14.117,-23.386
3600,-26.765,-12.021,-12.283,-12.655,-19.869,-16.718600000000002
3800,-21.193,-15.894,-15.508,-12.309,-25.701,-18.121
4000,-14.615,-14.002,-13.881,-13.149,-16.488,-14.427000000000001
4200,-16.024,-13.503,-30.035,-15.249,-15.461,-18.054399999999998
4400,-21.484,-16.513,-12.646,-24.29,-14.965,-17.979599999999998
4600,-28.606,-13.415,-18.699,-11.368,-11.848,-16.7872
4800,-22.661,-28.307,-15.696,-12.143,-12.299,-18.2212
5000,-24.173,-12.182,-15.189,-10.654,-10.593,-14.5582
5200,-25.658,-23.121,-12.271,-10.454,-12.06,-16.712799999999998
5400,-22.457,-12.607,-16.312,-11.617,-13.658,-15.330200000000001
5600,-14.257,-17.608,-24.09,-12.079,-16.16,-16.8388
5800,-18.324,-19.777,-10.346,-12.711,-12.428,-14.7172
6000,-12.47,-32.398,-17.844,-12.349,-12.995,-17.611200000000004
6200,-19.64,-30.19,-26.837,-12.917,-13.688,-20.654400000000003
6400,-19.739,-23.046,-9.906,-9.678,-10.778,-14.6294
6600,-11.378,-24.16,-13.677,-16.054,-16.27,-16.307799999999997
6800,-12.389,-16.742,-12.153,-25.524,-12.462,-15.854
7000,-12.915,-35.242,-22.156,-21.5,-19.065,-22.175599999999996
7200,-11.193,-15.062,-13.795,-12.766,-23.623,-15.287799999999999
7400,-13.288,-13.111,-11.597,-12.072,-22.69,-14.551599999999999
7600,-13.858,-20.009,-11.219,-13.884,-9.984,-13.7908
7800,-9.318,-9.364,-13.752,-12.567,-28.718,-14.743800000000002
8000,-14.34,-17.127,-10.366,-12.341,-11.238,-13.082400000000002
8200,-13.811,-9.828,-11.041,-12.928,-18.147,-13.151
8400,-13.756,-19.734,-12.24,-13.86,-11.977,-14.313400000000001
8600,-12.178,-12.014,-27.242,-14.221,-12.152,-15.5614
8800,-15.261,-9.16,-12.479,-12.674,-12.81,-12.4768
9000,-14.503,-13.554,-22.057,-22.11,-7.696,-15.984
9200,-14.333,-11.21,-18.859,-10.259,-18.088,-14.5498
9400,-15.523,-10.673,-12.084,-13.976,-29.084,-16.268
9600,-13.621,-21.818,-15.897,-20.828,-18.646,-18.162
9800,-10.811,-14.984,-16.195,-12.784,-25.252,-16.0052
10000,-22.532,-13.327,-15.655,-12.624,-10.097,-14.847
