train_step,avg_return_0,avg_return_1,avg_return_2,avg_return_3,avg_return_4,avg_of_avg_returns
2,-49.435,-48.759,-61.349,-37.426,-78.502,-55.0942
4,-20.835,-42.211,-32.56,-35.18,-66.319,-39.42100000000001
6,-50.337,-34.87,-9.937,-22.103,-37.692,-30.9878
8,-19.86,-19.17,-11.117,-14.931,-21.44,-17.3036
10,-10.331,-12.075,-11.897,-10.449,-16.432,-12.236799999999999
12,-11.499,-11.399,-10.498,-9.912,-16.363,-11.9342
14,-15.382,-11.62,-12.027,-14.494,-12.27,-13.158599999999998
16,-17.141,-10.783,-9.875,-12.303,-12.859,-12.592200000000002
18,-11.63,-11.807,-13.355,-11.153,-11.806,-11.950199999999999
20,-16.42,-10.198,-11.037,-12.409,-13.656,-12.744
22,-32.464,-11.366,-30.761,-11.995,-12.668,-19.8508
24,-35.815,-11.203,-38.6,-14.361,-13.649,-22.7256
26,-10.568,-10.522,-28.908,-11.896,-12.615,-14.9018
28,-11.015,-10.464,-76.315,-12.06,-12.867,-24.5442
30,-18.904,-11.993,-62.447,-13.608,-12.294,-23.8492
32,-21.538,-10.613,-35.694,-62.283,-9.991,-28.023799999999994
34,-45.127,-8.821,-13.999,-62.44,-9.503,-27.977999999999998
36,-67.682,-9.271,-11.574,-62.703,-10.609,-32.3678
38,-72.37,-45.24,-14.938,-59.468,-11.973,-40.79780000000001
40,-26.624,-55.744,-10.49,-62.263,-9.086,-32.8414
42,-12.273,-55.071,-56.711,-61.575,-9.159,-38.9578
44,-16.099,-52.489,-58.205,-60.208,-10.589,-39.517999999999994
46,-44.254,-48.807,-64.036,-63.453,-26.599,-49.4298
48,-75.517,-13.458,-75.796,-12.075,-27.379,-40.845
50,-109.869,-13.509,-109.165,-12.388,-11.258,-51.23780000000001
52,-111.623,-9.18,-109.257,-11.626,-13.343,-51.0058
54,-111.514,-12.98,-97.639,-13.992,-15.699,-50.364799999999995
56,-98.838,-13.553,-57.389,-10.908,-17.655,-39.6686
58,-51.74,-11.251,-16.724,-11.059,-13.303,-20.8154
60,-63.582,-11.604,-12.533,-10.963,-12.972,-22.3308
62,-94.868,-11.628,-14.732,-11.627,-18.432,-30.257399999999997
64,-80.496,-14.1,-12.331,-13.376,-22.758,-28.6122
66,-109.741,-13.758,-12.495,-11.713,-22.228,-33.987
68,-78.584,-10.842,-9.759,-12.269,-33.351,-28.961000000000002
70,-11.263,-11.287,-11.381,-16.327,-38.201,-17.6918
72,-13.276,-11.852,-12.187,-49.063,-38.383,-24.952199999999998
74,-12.364,-13.656,-12.705,-62.303,-41.537,-28.512999999999998
76,-11.781,-12.93,-10.016,-56.29,-42.727,-26.7488
78,-9.7,-11.286,-10.34,-62.649,-44.049,-27.6048
80,-11.084,-10.905,-12.423,-62.533,-44.703,-28.3296
82,-11.995,-10.362,-12.101,-62.056,-30.939,-25.4906
84,-10.274,-10.829,-10.291,-60.967,-25.091,-23.4904
86,-12.437,-12.887,-10.885,-56.959,-19.784,-22.5904
88,-11.893,-12.07,-12.198,-53.554,-25.453,-23.0336
90,-8.933,-12.664,-13.455,-51.061,-34.837,-24.19
92,-8.491,-10.49,-12.844,-49.255,-35.261,-23.2682
94,-10.537,-10.702,-12.758,-25.752,-36.381,-19.226
96,-15.51,-9.492,-27.726,-39.211,-35.12,-25.4118
98,-15.83,-12.616,-10.85,-85.105,-35.694,-32.019000000000005
100,-52.587,-11.885,-13.108,-103.917,-34.54,-43.2074
