train_step,avg_return_0,avg_return_1,avg_return_2,avg_return_3,avg_return_4,avg_of_avg_returns
0,-25.688,-104.896,-53.958,-31.908,-94.514,-62.1928
200,-10.579,-13.133,-30.859,-25.292,-13.35,-18.642599999999998
400,-12.093,-11.01,-47.28,-10.561,-12.008,-18.590400000000002
600,-26.677,-73.241,-30.666,-27.121,-25.613,-36.6636
800,-14.427,-11.319,-16.727,-29.659,-18.99,-18.2244
1000,-19.539,-56.293,-20.835,-27.766,-20.259,-28.9384
1200,-32.141,-21.43,-16.504,-63.619,-19.311,-30.601000000000006
1400,-10.215,-11.867,-9.695,-26.628,-12.306,-14.142199999999999
1600,-10.361,-12.116,-11.864,-58.789,-13.098,-21.2456
1800,-12.955,-12.659,-11.408,-51.161,-11.356,-19.907799999999998
2000,-10.447,-12.876,-12.932,-29.238,-13.2,-15.7386
2200,-12.971,-18.696,-11.634,-17.334,-10.866,-14.3002
2400,-14.918,-11.605,-10.146,-10.134,-10.904,-11.5414
2600,-12.413,-10.724,-12.464,-12.663,-11.838,-12.020399999999999
2800,-13.243,-14.88,-11.097,-13.783,-11.614,-12.9234
3000,-11.795,-27.022,-9.054,-12.243,-9.819,-13.986600000000001
3200,-11.14,-19.81,-9.677,-12.594,-10.978,-12.8398
3400,-11.256,-21.35,-9.624,-14.113,-10.787,-13.426000000000002
3600,-11.559,-24.808,-10.608,-26.649,-10.945,-16.9138
3800,-10.779,-25.657,-11.292,-9.468,-12.11,-13.8612
4000,-11.963,-20.939,-11.909,-12.369,-11.506,-13.737200000000001
4200,-12.796,-10.647,-9.769,-11.964,-9.529,-10.940999999999999
4400,-11.315,-17.16,-12.59,-15.894,-12.812,-13.9542
4600,-13.418,-19.95,-8.527,-12.925,-11.453,-13.2546
4800,-13.13,-14.635,-11.04,-10.41,-10.383,-11.919599999999999
5000,-10.368,-16.168,-11.864,-12.768,-9.547,-12.143
5200,-12.211,-10.833,-12.254,-9.467,-12.057,-11.3644
5400,-9.944,-15.687,-11.494,-11.4,-10.637,-11.8324
5600,-12.83,-14.36,-10.857,-19.447,-9.95,-13.488800000000001
5800,-9.407,-26.042,-12.07,-13.966,-16.045,-15.506
6000,-10.113,-11.16,-13.239,-20.716,-10.185,-13.0826
6200,-13.15,-16.398,-9.45,-11.793,-10.101,-12.1784
6400,-11.771,-13.991,-10.745,-9.523,-11.012,-11.4084
6600,-12.907,-24.077,-9.712,-13.627,-11.637,-14.392000000000001
6800,-10.701,-13.098,-11.804,-11.162,-11.461,-11.645199999999999
7000,-13.422,-20.086,-11.813,-13.222,-11.996,-14.107800000000001
7200,-10.357,-9.531,-12.819,-11.991,-10.005,-10.9406
7400,-12.704,-12.958,-9.831,-11.704,-9.531,-11.3456
7600,-11.08,-12.803,-14.833,-12.149,-12.21,-12.615
7800,-15.664,-8.941,-12.885,-11.327,-13.052,-12.3738
8000,-12.479,-25.399,-13.731,-12.72,-8.306,-14.527000000000001
8200,-11.845,-13.368,-12.287,-15.249,-13.847,-13.3192
8400,-14.071,-14.736,-10.706,-12.086,-14.883,-13.2964
8600,-18.957,-12.336,-9.863,-11.618,-10.425,-12.6398
8800,-12.377,-11.316,-9.471,-13.73,-11.305,-11.639800000000001
9000,-10.789,-13.879,-12.97,-13.179,-10.381,-12.2396
9200,-13.693,-10.163,-11.612,-15.504,-10.542,-12.302800000000001
9400,-13.55,-14.993,-13.424,-13.042,-10.279,-13.057599999999999
9600,-10.084,-12.804,-13.063,-16.593,-9.855,-12.479800000000001
9800,-11.567,-11.434,-9.075,-10.7,-11.451,-10.8454
