train_step,avg_return_0,avg_return_1,avg_return_2,avg_return_3,avg_return_4,avg_of_avg_returns
100,-12.607,-8.523,-13.862,-12.453,-12.255,-11.94
200,-12.714,-12.792,-34.713,-12.667,-11.233,-16.8238
300,-9.242,-11.447,-34.197,-12.476,-9.706,-15.413600000000002
400,-10.833,-11.5,-13.9,-12.425,-14.271,-12.5858
500,-10.825,-13.538,-18.889,-19.459,-13.114,-15.165000000000001
600,-9.31,-11.697,-32.056,-11.508,-10.425,-14.999199999999998
700,-10.927,-13.309,-12.735,-28.646,-11.667,-15.456799999999998
800,-9.334,-11.203,-13.507,-8.877,-11.477,-10.8796
900,-9.977,-12.592,-13.479,-10.499,-10.002,-11.309800000000001
1000,-9.479,-11.913,-14.238,-19.132,-10.518,-13.056000000000001
1100,-10.535,-11.287,-15.163,-12.09,-11.351,-12.0852
1200,-10.226,-11.047,-38.297,-9.066,-9.228,-15.572799999999997
1300,-8.367,-10.538,-14.532,-9.832,-21.149,-12.883600000000001
1400,-10.888,-9.684,-13.292,-8.664,-16.177,-11.741
1500,-9.476,-11.477,-17.118,-10.036,-20.012,-13.6238
1600,-9.521,-11.795,-16.772,-10.237,-16.467,-12.958400000000001
1700,-11.833,-9.42,-15.34,-11.571,-11.843,-12.0014
1800,-10.938,-12.636,-28.025,-9.013,-18.189,-15.760199999999998
1900,-11.511,-12.641,-16.505,-11.409,-13.848,-13.1828
2000,-11.981,-11.215,-12.963,-11.145,-15.329,-12.5266
2100,-14.888,-11.416,-12.44,-10.949,-12.29,-12.3966
2200,-10.059,-9.621,-13.67,-9.935,-15.537,-11.7644
2300,-9.678,-12.245,-14.61,-7.328,-14.24,-11.6202
2400,-11.874,-10.965,-11.439,-10.933,-15.419,-12.126
2500,-10.691,-14.684,-11.93,-11.205,-14.106,-12.5232
2600,-8.885,-11.332,-17.705,-14.489,-13.357,-13.1536
2700,-14.281,-10.753,-13.107,-9.456,-12.623,-12.043999999999999
2800,-18.447,-19.941,-13.716,-8.994,-11.903,-14.600200000000001
2900,-11.364,-12.329,-14.857,-10.923,-10.775,-12.0496
3000,-11.329,-10.985,-21.312,-10.773,-22.181,-15.315999999999999
3100,-11.521,-36.14,-12.731,-10.503,-12.151,-16.6092
3200,-12.431,-10.402,-13.54,-11.058,-11.812,-11.8486
3300,-10.628,-12.635,-9.841,-9.371,-13.29,-11.153
3400,-10.252,-11.965,-14.665,-11.276,-22.971,-14.225800000000001
3500,-8.621,-7.754,-13.551,-10.367,-10.331,-10.124800000000002
3600,-10.477,-10.813,-9.775,-9.098,-11.397,-10.312
3700,-8.452,-8.503,-12.283,-10.38,-12.063,-10.336200000000002
3800,-10.165,-9.512,-11.753,-10.731,-19.205,-12.2732
3900,-10.681,-9.229,-12.088,-13.105,-21.928,-13.406199999999998
4000,-9.446,-10.21,-10.863,-13.563,-12.246,-11.265600000000001
4100,-10.064,-12.207,-44.529,-22.734,-22.422,-22.391200000000005
4200,-13.039,-10.749,-30.821,-12.103,-11.595,-15.6614
4300,-17.98,-10.779,-24.442,-10.853,-9.193,-14.6494
4400,-11.586,-17.163,-12.133,-10.432,-8.661,-11.995000000000001
4500,-9.685,-12.228,-11.792,-10.221,-6.782,-10.1416
4600,-8.247,-11.054,-9.492,-9.719,-10.869,-9.8762
4700,-12.572,-19.189,-12.628,-33.649,-10.346,-17.6768
4800,-8.409,-16.035,-11.372,-10.816,-7.51,-10.8284
4900,-11.082,-15.176,-14.678,-8.262,-10.451,-11.929800000000002
5000,-11.806,-9.879,-14.627,-10.587,-10.318,-11.4434
