train_step,avg_return_0,avg_return_1,avg_return_2,avg_return_3,avg_return_4,avg_of_avg_returns
0,-61.73,-58.566,-9.62,-59.375,-95.981,-57.0544
100,-11.454,-14.048,-12.997,-11.8,-61.562,-22.3722
200,-12.795,-13.559,-12.786,-11.461,-11.978,-12.5158
300,-12.42,-13.994,-9.122,-12.691,-62.091,-22.0636
400,-10.487,-10.977,-10.856,-13.873,-61.034,-21.4454
500,-13.089,-12.473,-15.001,-12.902,-57.349,-22.162799999999997
600,-12.863,-12.261,-13.376,-11.803,-10.66,-12.192599999999999
700,-11.21,-10.887,-13.352,-14.008,-11.001,-12.091599999999998
800,-12.075,-11.75,-14.204,-12.036,-13.126,-12.6382
900,-11.948,-12.642,-10.693,-8.654,-14.478,-11.683
1000,-11.865,-12.878,-10.471,-9.596,-12.641,-11.4902
1100,-11.906,-12.17,-8.479,-13.183,-12.417,-11.631
1200,-12.803,-9.859,-11.575,-11.311,-12.707,-11.651
1300,-13.348,-10.377,-15.511,-10.768,-12.637,-12.528200000000002
1400,-11.848,-12.757,-11.983,-12.412,-11.918,-12.1836
1500,-12.419,-8.828,-10.344,-12.055,-11.36,-11.0012
1600,-11.094,-9.46,-10.71,-11.873,-12.341,-11.095600000000001
1700,-13.049,-9.885,-11.171,-13.458,-13.021,-12.1168
1800,-12.739,-12.403,-12.119,-10.268,-9.914,-11.488600000000002
1900,-13.389,-11.771,-11.445,-12.176,-11.81,-12.118200000000002
2000,-10.051,-9.95,-10.994,-12.705,-10.668,-10.8736
2100,-13.236,-10.542,-11.848,-8.789,-12.66,-11.415000000000001
2200,-10.642,-10.866,-11.861,-10.484,-10.672,-10.905000000000001
2300,-11.096,-12.79,-14.141,-12.508,-13.792,-12.8654
2400,-11.566,-12.45,-10.68,-11.663,-10.304,-11.3326
2500,-10.645,-13.556,-13.055,-11.998,-9.559,-11.762599999999999
2600,-10.82,-11.643,-11.234,-11.722,-11.553,-11.394400000000001
2700,-12.156,-10.682,-11.019,-12.221,-13.393,-11.894200000000001
2800,-10.455,-11.192,-12.306,-14.589,-12.44,-12.196399999999999
2900,-11.637,-11.135,-12.827,-14.382,-11.784,-12.352999999999998
3000,-13.64,-13.24,-12.078,-11.835,-13.737,-12.906
3100,-12.697,-9.239,-61.699,-11.898,-8.788,-20.864199999999997
3200,-10.141,-12.731,-11.929,-12.692,-10.329,-11.564400000000001
3300,-9.152,-12.821,-10.37,-12.308,-12.431,-11.4164
3400,-11.163,-9.505,-13.426,-12.012,-11.489,-11.519
3500,-11.723,-11.36,-11.238,-10.646,-10.385,-11.0704
3600,-11.403,-10.974,-10.52,-11.854,-10.503,-11.0508
3700,-11.763,-11.294,-11.026,-12.324,-11.174,-11.5162
3800,-13.831,-11.498,-12.43,-12.034,-11.498,-12.258199999999999
3900,-11.436,-12.909,-12.417,-11.048,-14.432,-12.448400000000001
4000,-13.225,-10.859,-8.62,-11.32,-11.785,-11.1618
4100,-9.553,-11.742,-12.376,-13.624,-13.157,-12.090399999999999
4200,-11.64,-12.984,-13.425,-11.63,-11.459,-12.2276
4300,-11.284,-12.455,-12.122,-10.482,-12.973,-11.8632
4400,-14.204,-12.82,-11.856,-10.059,-57.495,-21.2868
4500,-13.232,-13.372,-10.644,-12.366,-13.026,-12.528
4600,-13.322,-11.797,-13.965,-12.908,-11.192,-12.636800000000001
4700,-9.269,-9.611,-11.032,-10.412,-11.808,-10.426400000000001
4800,-10.151,-11.36,-10.894,-14.441,-13.118,-11.9928
4900,-10.48,-12.333,-10.488,-12.508,-12.722,-11.706199999999999
