train_step,avg_return_0,avg_return_1,avg_return_2,avg_return_3,avg_return_4,avg_of_avg_returns
2,-52.963,-65.298,-77.872,-65.714,-93.112,-70.99179999999998
4,-79.749,-60.804,-12.284,-67.82,-17.878,-47.706999999999994
6,-18.138,-21.105,-13.911,-51.895,-14.354,-23.8806
8,-19.995,-13.809,-10.15,-48.124,-12.625,-20.9406
10,-17.816,-14.283,-10.406,-23.677,-7.81,-14.798399999999997
12,-19.053,-12.764,-12.572,-13.754,-11.192,-13.866999999999999
14,-12.977,-11.879,-13.404,-10.72,-11.239,-12.043800000000001
16,-12.707,-15.226,-14.096,-11.222,-12.228,-13.0958
18,-13.01,-10.309,-11.015,-13.233,-15.407,-12.594800000000001
20,-18.315,-11.384,-14.057,-12.153,-13.346,-13.850999999999999
22,-28.726,-12.179,-9.725,-10.023,-9.017,-13.934000000000001
24,-22.636,-9.665,-9.652,-9.586,-12.265,-12.7608
26,-33.307,-12.679,-13.244,-10.221,-11.376,-16.1654
28,-36.944,-12.518,-10.079,-12.141,-12.585,-16.8534
30,-41.532,-13.242,-12.714,-13.549,-12.759,-18.7592
32,-31.585,-11.784,-12.878,-11.348,-11.763,-15.8716
34,-15.096,-10.992,-9.978,-12.179,-15.123,-12.6736
36,-19.517,-9.303,-13.671,-8.932,-11.027,-12.49
38,-12.057,-11.085,-11.031,-9.338,-9.177,-10.537600000000001
40,-13.964,-13.101,-12.134,-10.625,-10.321,-12.029
42,-11.022,-12.721,-8.87,-10.097,-12.273,-10.9966
44,-11.667,-13.969,-12.886,-8.411,-12.107,-11.808
46,-13.521,-11.908,-10.694,-12.201,-10.498,-11.7644
48,-8.364,-13.28,-11.658,-13.001,-10.447,-11.35
50,-10.243,-9.065,-9.424,-12.263,-13.81,-10.961
52,-12.414,-15.157,-11.408,-13.239,-11.898,-12.8232
54,-9.809,-11.538,-12.692,-13.592,-11.462,-11.8186
56,-13.2,-13.965,-13.439,-10.819,-11.694,-12.6234
58,-11.122,-9.906,-12.669,-9.533,-11.028,-10.851600000000001
60,-11.411,-8.656,-11.986,-11.555,-11.768,-11.075199999999999
62,-9.944,-10.908,-10.816,-14.989,-12.805,-11.892399999999999
64,-11.502,-9.611,-12.124,-11.5,-14.763,-11.9
66,-10.26,-10.339,-11.928,-12.119,-11.396,-11.208400000000001
68,-12.105,-13.344,-9.103,-10.564,-11.447,-11.3126
70,-12.426,-11.316,-13.122,-9.104,-12.088,-11.6112
72,-9.162,-11.359,-11.099,-11.836,-10.548,-10.8008
74,-12.43,-9.3,-11.069,-10.491,-13.182,-11.2944
76,-12.613,-11.954,-11.45,-9.181,-11.917,-11.422999999999998
78,-9.382,-11.304,-14.69,-13.087,-14.009,-12.494399999999999
80,-11.693,-12.74,-11.807,-14.87,-17.171,-13.656200000000002
82,-13.448,-13.206,-9.822,-17.151,-49.014,-20.5282
84,-11.847,-12.606,-12.314,-18.149,-55.646,-22.1124
86,-9.588,-11.468,-13.235,-18.852,-59.829,-22.5944
88,-13.578,-11.262,-12.319,-21.436,-57.882,-23.2954
90,-14.76,-10.714,-10.277,-23.189,-36.858,-19.1596
92,-13.044,-11.995,-10.543,-16.428,-33.931,-17.188200000000002
94,-13.334,-11.236,-13.645,-10.159,-35.421,-16.759
96,-12.039,-11.759,-10.219,-11.928,-33.858,-15.9606
98,-10.466,-14.007,-11.697,-8.347,-31.356,-15.174600000000002
100,-9.711,-12.73,-13.183,-9.67,-30.173,-15.093399999999999
