train_step,avg_return_0,avg_return_1,avg_return_2,avg_return_3,avg_return_4,avg_of_avg_returns
2,-11.695,-33.311,-108.192,-107.69,-106.54,-73.4856
4,-11.987,-27.435,-64.344,-88.482,-103.235,-59.0966
6,-10.703,-15.903,-17.691,-45.441,-26.973,-23.3422
8,-11.134,-12.019,-11.605,-35.266,-13.752,-16.7552
10,-14.033,-9.373,-14.069,-41.712,-13.853,-18.608
12,-13.982,-11.914,-10.48,-36.455,-13.615,-17.2892
14,-11.593,-11.067,-12.562,-35.411,-12.169,-16.5604
16,-10.02,-11.276,-9.718,-42.96,-23.262,-19.447200000000002
18,-11.443,-10.718,-23.872,-38.537,-44.725,-25.858999999999998
20,-10.746,-14.477,-28.879,-42.501,-41.265,-27.5736
22,-10.225,-11.303,-27.757,-51.939,-54.746,-31.194
24,-13.492,-12.094,-32.973,-61.293,-25.84,-29.1384
26,-8.756,-13.113,-31.169,-63.235,-11.451,-25.5448
28,-12.303,-27.757,-20.491,-45.033,-10.409,-23.198600000000003
30,-12.549,-11.968,-15.109,-25.09,-9.873,-14.9178
32,-11.1,-42.198,-12.778,-15.034,-60.392,-28.300400000000003
34,-12.396,-60.895,-15.473,-60.846,-60.61,-42.044
36,-9.749,-18.055,-62.403,-59.091,-61.506,-42.1608
38,-13.713,-13.467,-58.729,-59.796,-62.024,-41.5458
40,-13.894,-26.843,-12.686,-59.781,-64.144,-35.4696
42,-11.602,-47.652,-13.068,-55.944,-44.565,-34.5662
44,-12.374,-73.493,-11.846,-76.792,-28.67,-40.635000000000005
46,-13.325,-90.612,-11.956,-81.639,-15.688,-42.64399999999999
48,-10.701,-64.134,-61.074,-107.677,-21.05,-52.927200000000006
50,-9.338,-43.345,-62.265,-86.089,-12.324,-42.672200000000004
52,-11.922,-10.937,-15.711,-74.915,-12.879,-25.272800000000004
54,-10.931,-14.536,-12.195,-69.574,-13.766,-24.2004
56,-12.479,-12.064,-11.508,-53.005,-11.016,-20.014400000000002
58,-11.546,-13.993,-12.57,-81.403,-16.401,-27.1826
60,-11.336,-13.667,-28.758,-61.349,-18.366,-26.6952
62,-13.805,-12.216,-56.652,-53.131,-33.045,-33.7698
64,-11.642,-12.419,-61.371,-73.026,-51.64,-42.019600000000004
66,-13.598,-11.104,-30.555,-73.999,-62.724,-38.396
68,-13.963,-12.351,-27.802,-91.177,-50.637,-39.186
70,-13.689,-11.635,-30.95,-87.837,-19.508,-32.7238
72,-7.857,-51.24,-11.216,-89.644,-57.392,-43.4698
74,-11.053,-47.771,-10.963,-72.509,-61.034,-40.666
76,-12.893,-38.706,-10.628,-65.319,-47.469,-35.003
78,-13.61,-40.36,-12.446,-57.727,-13.504,-27.5294
80,-12.682,-47.483,-10.441,-58.782,-10.824,-28.042399999999997
82,-12.018,-54.953,-11.877,-59.318,-10.317,-29.6966
84,-10.645,-10.941,-11.503,-60.451,-11.371,-20.9822
86,-13.562,-12.467,-12.414,-57.852,-11.989,-21.656799999999997
88,-10.009,-12.287,-14.894,-64.142,-14.066,-23.0796
90,-11.414,-12.811,-12.019,-62.956,-12.966,-22.4332
92,-11.218,-12.163,-13.012,-39.452,-9.71,-17.111
94,-10.733,-10.188,-31.266,-10.91,-11.224,-14.8642
96,-11.638,-11.431,-24.81,-12.927,-12.1,-14.581199999999999
98,-9.48,-12.604,-53.276,-14.005,-9.073,-19.687599999999996
100,-13.266,-12.001,-18.881,-14.106,-13.532,-14.3572
