train_step,avg_return_0,avg_return_1,avg_return_2,avg_return_3,avg_return_4,avg_of_avg_returns
2,-73.351,-58.988,-18.267,-71.028,-11.595,-46.6458
4,-43.176,-20.454,-11.034,-68.163,-9.943,-30.554000000000002
6,-16.029,-10.153,-10.303,-64.704,-10.349,-22.3076
8,-13.3,-11.237,-19.268,-34.164,-12.458,-18.0854
10,-13.249,-12.142,-16.734,-24.24,-11.469,-15.566799999999997
12,-12.233,-13.54,-52.711,-18.776,-11.241,-21.7002
14,-13.329,-10.009,-38.077,-9.731,-8.612,-15.9516
16,-11.341,-9.37,-47.169,-8.721,-11.461,-17.6124
18,-12.679,-11.073,-56.773,-12.554,-12.438,-21.1034
20,-12.59,-12.88,-18.852,-10.89,-9.971,-13.036600000000002
22,-11.245,-12.233,-12.943,-13.363,-13.183,-12.593399999999999
24,-13.83,-12.677,-14.63,-13.181,-8.319,-12.5274
26,-12.427,-13.493,-15.277,-10.163,-13.548,-12.9816
28,-13.948,-12.329,-16.068,-12.271,-10.348,-12.992799999999999
30,-11.863,-11.733,-14.536,-10.515,-13.053,-12.34
32,-11.939,-11.466,-15.13,-13.563,-12.226,-12.864800000000002
34,-12.229,-10.628,-14.897,-12.368,-13.695,-12.7634
36,-12.277,-13.739,-14.197,-10.402,-12.682,-12.6594
38,-12.999,-10.126,-13.553,-9.871,-15.037,-12.3172
40,-11.381,-14.078,-14.913,-9.773,-9.406,-11.9102
42,-13.587,-15.282,-11.03,-9.964,-10.795,-12.1316
44,-12.324,-10.102,-11.924,-10.954,-12.854,-11.6316
46,-10.169,-11.928,-11.532,-12.084,-11.339,-11.410400000000001
48,-11.886,-10.528,-11.729,-10.899,-11.28,-11.2644
50,-11.891,-12.645,-9.931,-13.662,-14.717,-12.569199999999999
52,-8.876,-11.803,-12.224,-6.92,-12.629,-10.490400000000001
54,-10.238,-9.705,-11.546,-14.208,-10.862,-11.3118
56,-11.03,-13.851,-13.467,-13.458,-11.891,-12.7394
58,-8.901,-9.798,-9.229,-10.611,-10.019,-9.7116
60,-10.299,-10.64,-10.955,-9.822,-12.59,-10.8612
62,-9.988,-12.074,-11.228,-13.094,-12.908,-11.8584
64,-13.477,-11.73,-9.934,-11.332,-9.126,-11.1198
66,-12.431,-11.123,-12.956,-11.884,-14.218,-12.5224
68,-12.37,-9.766,-12.187,-13.443,-15.443,-12.6418
70,-10.415,-12.436,-11.982,-12.632,-12.902,-12.0734
72,-10.971,-9.616,-8.86,-10.709,-11.737,-10.3786
74,-12.275,-9.618,-13.787,-9.417,-13.674,-11.7542
76,-8.3,-12.426,-8.204,-10.274,-12.316,-10.304
78,-13.82,-9.614,-13.173,-10.901,-12.886,-12.078799999999998
80,-9.591,-10.93,-10.86,-11.997,-11.318,-10.9392
82,-12.979,-10.277,-12.057,-10.075,-12.418,-11.561200000000001
84,-8.761,-10.809,-9.74,-13.496,-9.474,-10.456
86,-11.697,-12.1,-14.244,-13.27,-12.065,-12.675199999999998
88,-14.337,-9.828,-9.541,-11.932,-10.96,-11.319600000000001
90,-10.541,-10.669,-10.754,-13.577,-13.057,-11.7196
92,-12.642,-9.909,-11.027,-11.208,-13.604,-11.678
94,-14.623,-12.428,-13.99,-13.675,-11.536,-13.250400000000003
96,-14.5,-13.869,-10.917,-11.149,-14.991,-13.0852
98,-10.58,-11.422,-11.773,-12.192,-13.965,-11.9864
100,-13.212,-11.43,-11.208,-13.983,-11.736,-12.3138
