train_step,avg_return_0,avg_return_1,avg_return_2,avg_return_3,avg_return_4,avg_of_avg_returns
200,-44.062,-47.691,-47.867,-45.29,-45.138,-46.0096
400,-44.626,-44.471,-42.309,-40.89,-46.989,-43.857
600,-41.995,-42.934,-41.445,-41.227,-38.142,-41.1486
800,-35.745,-35.525,-36.171,-38.027,-36.204,-36.3344
1000,-34.506,-32.61,-35.971,-34.772,-32.949,-34.1616
1200,-35.147,-33.956,-33.603,-32.729,-34.314,-33.949799999999996
1400,-35.943,-33.638,-31.925,-34.302,-31.395,-33.4406
1600,-31.79,-31.426,-29.132,-31.715,-31.684,-31.149400000000004
1800,-33.595,-32.013,-31.911,-30.169,-31.286,-31.7948
2000,-29.726,-30.903,-31.484,-28.538,-30.51,-30.2322
2200,-29.389,-29.715,-29.553,-29.216,-29.578,-29.490199999999998
2400,-28.618,-27.665,-29.779,-30.341,-27.673,-28.815199999999997
2600,-27.214,-27.344,-28.975,-27.314,-27.298,-27.629
2800,-24.872,-26.993,-26.956,-27.738,-26.473,-26.606399999999997
3000,-26.591,-25.432,-25.309,-25.987,-27.193,-26.1024
3200,-25.351,-26.439,-23.044,-27.283,-26.384,-25.700200000000002
3400,-24.587,-25.293,-25.387,-23.987,-24.0,-24.650799999999997
3600,-21.809,-21.728,-25.471,-22.755,-23.995,-23.151600000000002
3800,-25.353,-22.515,-23.763,-23.396,-24.524,-23.9102
4000,-21.159,-22.002,-23.613,-23.962,-21.006,-22.3484
4200,-18.993,-22.433,-21.476,-21.105,-23.543,-21.51
4400,-20.754,-20.922,-20.722,-21.925,-20.921,-21.0488
4600,-20.697,-21.781,-21.323,-20.897,-22.351,-21.409799999999997
4800,-21.405,-21.319,-21.776,-20.15,-19.641,-20.8582
5000,-18.248,-19.181,-18.37,-17.639,-20.052,-18.698
5200,-20.541,-19.574,-19.009,-20.721,-18.801,-19.7292
5400,-18.412,-19.69,-18.516,-19.032,-18.386,-18.8072
5600,-17.916,-17.841,-19.12,-17.268,-18.976,-18.224200000000003
5800,-18.9,-19.58,-18.037,-18.841,-16.131,-18.297800000000002
6000,-16.748,-16.094,-16.073,-16.315,-16.843,-16.4146
6200,-14.926,-14.489,-18.886,-17.082,-17.699,-16.616400000000002
6400,-17.116,-15.975,-16.713,-15.262,-17.015,-16.4162
6600,-15.304,-15.707,-18.919,-15.811,-15.739,-16.296000000000003
6800,-15.862,-14.855,-14.689,-17.149,-14.916,-15.494200000000001
7000,-14.325,-15.853,-16.678,-16.086,-14.263,-15.440999999999999
7200,-17.069,-14.777,-14.424,-13.807,-15.217,-15.0588
7400,-13.485,-14.664,-12.57,-15.764,-15.624,-14.4214
7600,-12.937,-14.535,-16.378,-15.226,-13.702,-14.555600000000002
7800,-13.583,-13.102,-13.303,-16.031,-14.764,-14.156600000000001
8000,-12.883,-13.743,-13.828,-13.631,-13.2,-13.456999999999999
8200,-13.329,-11.771,-14.546,-12.431,-12.369,-12.889199999999999
8400,-13.426,-13.53,-12.006,-12.813,-12.263,-12.807600000000003
8600,-11.484,-12.429,-12.795,-14.177,-13.569,-12.890799999999999
8800,-10.417,-13.726,-12.654,-13.183,-11.235,-12.242999999999999
9000,-13.151,-12.783,-13.115,-12.749,-12.779,-12.9154
9200,-10.847,-10.445,-14.35,-12.655,-10.295,-11.7184
9400,-11.904,-12.269,-11.909,-12.527,-12.086,-12.139
9600,-10.225,-12.204,-13.488,-12.068,-11.339,-11.864799999999999
9800,-11.556,-10.805,-13.436,-11.511,-11.0,-11.661599999999998
10000,-11.966,-13.688,-12.026,-11.206,-12.475,-12.2722
