train_step,avg_return_0,avg_return_1,avg_return_2,avg_return_3,avg_return_4,avg_of_avg_returns
200,-13.647,-12.031,-39.79,-9.704,-12.532,-17.540799999999997
400,-27.485,-20.18,-11.451,-12.028,-37.651,-21.759000000000004
600,-11.396,-13.187,-10.947,-9.465,-11.882,-11.3754
800,-20.791,-14.133,-10.541,-34.574,-12.384,-18.4846
1000,-9.361,-41.35,-11.919,-24.993,-11.046,-19.733799999999995
1200,-15.503,-16.118,-12.211,-20.501,-10.573,-14.981200000000001
1400,-13.112,-17.73,-14.082,-12.55,-18.301,-15.155000000000001
1600,-15.37,-29.274,-13.245,-17.077,-18.871,-18.7674
1800,-13.202,-11.022,-11.333,-46.235,-11.409,-18.6402
2000,-18.579,-12.601,-13.057,-41.763,-23.31,-21.862000000000002
2200,-9.68,-13.041,-10.337,-27.746,-19.529,-16.0666
2400,-14.304,-16.103,-12.424,-14.113,-11.759,-13.7406
2600,-12.91,-39.957,-11.866,-89.478,-10.144,-32.871
2800,-17.067,-18.161,-15.998,-11.976,-9.492,-14.5388
3000,-12.711,-45.392,-12.56,-12.807,-9.978,-18.6896
3200,-15.153,-10.845,-13.166,-18.327,-12.591,-14.016399999999999
3400,-14.135,-13.522,-10.354,-19.139,-10.929,-13.615799999999998
3600,-16.071,-18.372,-16.417,-17.027,-15.247,-16.6268
3800,-10.555,-40.921,-12.15,-20.791,-14.327,-19.7488
4000,-21.693,-24.476,-22.345,-15.378,-18.335,-20.4454
4200,-14.968,-9.229,-14.184,-10.225,-10.593,-11.8398
4400,-11.797,-17.673,-10.76,-12.765,-12.541,-13.1072
4600,-14.544,-11.58,-20.772,-12.435,-13.838,-14.633799999999999
4800,-11.356,-12.777,-9.699,-13.332,-14.994,-12.4316
5000,-26.524,-12.526,-16.251,-12.219,-13.07,-16.118000000000002
5200,-12.815,-14.732,-12.889,-14.698,-12.521,-13.531
5400,-12.141,-13.383,-16.483,-19.195,-9.498,-14.14
5600,-22.636,-17.69,-18.142,-20.915,-20.422,-19.961000000000002
5800,-16.685,-19.172,-13.333,-15.311,-14.68,-15.836200000000002
6000,-12.786,-11.337,-11.886,-13.074,-11.859,-12.1884
6200,-14.543,-14.932,-15.61,-11.531,-11.661,-13.6554
6400,-7.245,-14.545,-14.778,-13.433,-12.548,-12.5098
6600,-10.983,-14.788,-12.861,-13.928,-10.702,-12.6524
6800,-27.719,-10.108,-22.185,-11.252,-10.781,-16.409
7000,-10.141,-16.113,-10.373,-10.278,-13.039,-11.9888
7200,-9.85,-13.642,-11.575,-13.996,-17.12,-13.2366
7400,-16.405,-23.446,-18.882,-11.664,-14.887,-17.056800000000003
7600,-10.123,-18.1,-17.479,-12.148,-18.894,-15.3488
7800,-14.832,-13.46,-9.634,-10.207,-18.721,-13.3708
8000,-10.382,-13.234,-14.541,-14.859,-9.448,-12.492799999999999
8200,-30.521,-11.234,-12.061,-9.705,-14.704,-15.645
8400,-20.314,-14.071,-16.986,-10.244,-13.42,-15.007
8600,-21.149,-13.724,-13.298,-13.299,-72.218,-26.737600000000004
8800,-18.208,-14.424,-11.638,-12.176,-33.596,-18.0084
9000,-13.41,-12.893,-14.406,-10.297,-10.014,-12.203999999999999
9200,-13.395,-15.146,-9.626,-11.109,-14.963,-12.847800000000001
9400,-12.124,-11.569,-12.282,-12.574,-70.392,-23.7882
9600,-14.109,-8.185,-11.953,-14.582,-17.224,-13.2106
9800,-10.579,-12.127,-10.3,-24.553,-14.58,-14.4278
10000,-14.673,-12.11,-12.975,-14.503,-15.08,-13.868200000000002
