train_step,avg_return_0,avg_return_1,avg_return_2,avg_return_3,avg_return_4,avg_of_avg_returns
200,-368.764,-355.119,-390.45,-263.432,-308.73,-337.29900000000004
400,-327.683,-368.148,-310.454,-330.413,-182.961,-303.9318
600,-441.134,-375.468,-486.088,-316.681,-222.169,-368.30800000000005
800,-186.782,-469.588,-202.636,-441.57,-236.012,-307.31759999999997
1000,-392.718,-424.434,-352.187,-407.309,-266.152,-368.56
1200,-209.889,-419.883,-315.116,-276.753,-180.599,-280.448
1400,-421.662,-536.255,-315.332,-324.024,-248.71,-369.19659999999993
1600,-368.8,-347.585,-481.682,-253.37,-184.838,-327.255
1800,-363.654,-241.427,-395.839,-173.454,-201.697,-275.2142
2000,-520.176,-497.34,-294.067,-486.42,-159.658,-391.5322
2200,-325.639,-451.782,-440.016,-369.631,-118.037,-341.0210000000001
2400,-351.2,-406.842,-440.241,-422.347,-522.237,-428.57339999999994
2600,-522.344,-218.433,-394.377,-390.8,-419.02,-388.9948
2800,-285.407,-425.256,-583.278,-168.276,-330.178,-358.479
3000,-192.139,-281.306,-352.121,-382.707,-233.506,-288.35580000000004
3200,-288.381,-246.152,-505.134,-157.029,-174.83,-274.30519999999996
3400,-166.958,-426.643,-464.699,-177.099,-166.763,-280.4324
3600,-185.34,-251.842,-324.57,-130.553,-348.228,-248.1066
3800,-394.284,-435.215,-333.989,-121.256,-355.238,-327.99640000000005
4000,-384.862,-344.586,-171.019,-124.75,-181.825,-241.40840000000003
4200,-268.943,-419.625,-137.309,-405.846,-479.625,-342.26959999999997
4400,-287.836,-254.814,-305.223,-317.319,-264.11,-285.8604
4600,-312.45,-282.168,-265.622,-168.669,-195.603,-244.90240000000003
4800,-264.404,-307.468,-353.497,-349.03,-203.96,-295.6718
5000,-399.047,-271.005,-329.821,-230.372,-98.701,-265.78920000000005
5200,-372.827,-325.082,-100.205,-404.237,-339.6,-308.3902
5400,-316.527,-370.609,-307.227,-272.643,-364.28,-326.25719999999995
5600,-287.478,-322.302,-146.977,-365.539,-406.113,-305.68179999999995
5800,-240.794,-420.896,-206.165,-476.304,-435.982,-356.0282
6000,-315.998,-214.237,-383.746,-346.808,-305.141,-313.18600000000004
6200,-180.82,-120.146,-229.977,-197.265,-299.019,-205.44539999999998
6400,-223.671,-364.212,-305.615,-325.627,-379.279,-319.6808
6600,-565.986,-430.521,-309.925,-490.744,-437.914,-447.01800000000003
6800,-134.864,-434.37,-306.306,-165.44,-240.384,-256.2728
7000,-247.981,-272.441,-261.623,-283.128,-464.179,-305.87039999999996
7200,-384.866,-311.392,-297.117,-360.061,-474.953,-365.6778
7400,-148.199,-339.337,-427.54,-135.124,-216.677,-253.37539999999998
7600,-320.652,-252.753,-403.973,-372.978,-537.918,-377.65479999999997
7800,-224.632,-409.134,-443.09,-384.371,-179.007,-328.04679999999996
8000,-283.28,-266.389,-340.137,-164.038,-265.349,-263.8386
8200,-303.261,-348.114,-389.478,-270.809,-235.96,-309.5244
8400,-264.629,-187.133,-282.674,-438.63,-167.777,-268.1686
8600,-145.31,-221.226,-207.358,-291.308,-164.374,-205.9152
8800,-431.089,-377.4,-432.467,-170.719,-325.118,-347.3586
9000,-490.13,-293.18,-195.415,-577.867,-570.118,-425.342
9200,-216.778,-219.243,-276.462,-339.964,-526.355,-315.7604
9400,-307.28,-448.033,-422.654,-327.485,-357.24,-372.5384
9600,-303.812,-295.379,-341.421,-267.84,-306.112,-302.9128
9800,-294.622,-282.787,-232.599,-155.341,-422.457,-277.5612
10000,-493.487,-275.103,-160.979,-219.196,-375.924,-304.93780000000004
