train_step,avg_return_0,avg_return_1,avg_return_2,avg_return_3,avg_return_4,avg_of_avg_returns
200,-304.831,-374.328,-398.245,-294.583,-376.556,-349.70860000000005
400,-282.45,-290.806,-364.971,-453.14,-350.984,-348.4702
600,-349.917,-209.697,-307.328,-224.843,-352.252,-288.80740000000003
800,-379.275,-262.199,-355.837,-421.188,-370.048,-357.70939999999996
1000,-537.399,-163.185,-389.029,-223.929,-211.646,-305.0376
1200,-377.117,-413.483,-468.912,-423.722,-354.144,-407.4756
1400,-302.988,-382.218,-445.653,-433.301,-328.443,-378.52059999999994
1600,-334.86,-267.912,-465.366,-182.141,-459.428,-341.9414
1800,-438.629,-456.697,-432.862,-214.687,-144.409,-337.45680000000004
2000,-253.182,-195.463,-422.517,-379.347,-498.497,-349.8012
2200,-317.077,-402.345,-177.052,-448.562,-168.501,-302.7074
2400,-461.054,-310.29,-399.739,-260.31,-194.841,-325.2468
2600,-498.782,-396.478,-155.424,-374.907,-228.367,-330.79159999999996
2800,-392.541,-157.055,-180.001,-555.868,-282.911,-313.6752
3000,-147.698,-359.36,-168.609,-320.563,-419.299,-283.1058
3200,-203.846,-368.109,-359.992,-364.264,-372.586,-333.75939999999997
3400,-453.058,-253.069,-468.053,-329.912,-344.574,-369.7332
3600,-291.345,-518.25,-510.443,-455.07,-456.516,-446.3248
3800,-305.44,-212.246,-367.82,-189.557,-246.57,-264.3266
4000,-288.634,-256.376,-374.604,-212.845,-378.204,-302.1326
4200,-472.81,-383.754,-374.067,-216.148,-279.147,-345.1852
4400,-225.943,-309.0,-545.729,-346.894,-408.958,-367.3048
4600,-272.966,-362.009,-466.334,-443.221,-331.524,-375.2108
4800,-347.549,-411.133,-260.835,-340.41,-361.722,-344.32980000000003
5000,-217.166,-337.339,-157.542,-267.606,-464.887,-288.908
5200,-425.822,-302.159,-401.388,-276.09,-238.168,-328.7254
5400,-483.957,-369.617,-300.156,-349.902,-407.13,-382.15240000000006
5600,-471.984,-471.022,-457.555,-482.3,-510.22,-478.61620000000005
5800,-442.193,-547.308,-240.312,-218.966,-244.226,-338.601
6000,-358.008,-322.384,-447.316,-311.066,-284.01,-344.5568
6200,-233.113,-396.069,-334.296,-340.57,-379.341,-336.67780000000005
6400,-392.818,-272.47,-239.205,-228.385,-336.034,-293.78240000000005
6600,-501.41,-478.164,-348.573,-442.255,-272.994,-408.67920000000004
6800,-119.327,-556.487,-387.96,-337.756,-393.153,-358.93659999999994
7000,-253.402,-204.1,-292.431,-117.325,-111.106,-195.6728
7200,-376.884,-206.059,-361.475,-501.868,-266.611,-342.57939999999996
7400,-253.772,-383.633,-520.911,-271.514,-320.543,-350.07460000000003
7600,-273.916,-352.231,-214.325,-423.064,-323.922,-317.4916
7800,-381.285,-548.714,-227.492,-309.002,-286.07,-350.51259999999996
8000,-409.059,-238.863,-256.1,-456.118,-210.686,-314.1652
8200,-171.459,-120.694,-382.886,-430.837,-437.548,-308.6848
8400,-333.669,-177.046,-335.499,-452.179,-450.079,-349.6944
8600,-293.265,-342.883,-381.131,-180.879,-376.277,-314.887
8800,-436.639,-619.014,-434.559,-480.346,-351.064,-464.32439999999997
9000,-389.058,-475.949,-292.015,-471.198,-494.124,-424.4688
9200,-499.783,-427.703,-137.87,-255.899,-353.654,-334.9818
9400,-236.072,-438.313,-533.73,-377.81,-229.453,-363.0756
9600,-489.402,-199.882,-302.941,-415.356,-485.073,-378.5308
9800,-150.778,-157.86,-366.984,-356.936,-222.077,-250.927
10000,-350.664,-544.407,-374.084,-324.277,-309.516,-380.5896
