train_step,avg_return_0,avg_return_1,avg_return_2,avg_return_3,avg_return_4,avg_of_avg_returns
20,-13.508,-10.967,-14.98,-18.041,-9.612,-13.421599999999998
40,-11.877,-12.182,-13.079,-11.629,-12.613,-12.276
60,-15.047,-9.652,-12.04,-12.806,-11.086,-12.126199999999999
80,-11.795,-11.253,-12.283,-11.266,-10.199,-11.3592
100,-10.641,-12.764,-12.314,-11.343,-13.033,-12.019
120,-13.361,-9.619,-11.236,-11.521,-11.216,-11.390600000000001
140,-10.86,-12.405,-12.308,-9.975,-11.831,-11.475800000000001
160,-9.351,-12.345,-9.662,-26.515,-10.806,-13.735800000000001
180,-10.701,-13.408,-12.498,-13.151,-14.43,-12.837599999999998
200,-14.672,-13.276,-10.964,-19.276,-10.249,-13.6874
220,-10.067,-11.642,-12.442,-13.092,-13.378,-12.124199999999998
240,-9.731,-11.992,-9.004,-11.727,-12.423,-10.975399999999999
260,-11.201,-13.252,-11.574,-15.594,-11.947,-12.7136
280,-13.198,-11.082,-12.651,-9.897,-9.708,-11.307199999999998
300,-11.124,-11.314,-12.012,-13.797,-10.919,-11.8332
320,-11.01,-12.999,-9.791,-9.897,-11.723,-11.084
340,-13.271,-13.001,-19.221,-26.27,-11.214,-16.595399999999998
360,-10.709,-10.592,-14.458,-43.997,-13.393,-18.6298
380,-10.667,-14.017,-11.825,-10.749,-12.415,-11.9346
400,-11.896,-12.005,-11.42,-27.102,-12.259,-14.9364
420,-11.067,-12.071,-13.479,-38.098,-10.962,-17.1354
440,-10.658,-14.354,-11.957,-10.83,-11.573,-11.8744
460,-11.633,-11.785,-10.937,-13.285,-10.682,-11.6644
480,-11.097,-12.986,-12.371,-10.988,-9.511,-11.390600000000001
500,-11.393,-17.036,-13.596,-12.359,-13.236,-13.524000000000001
520,-13.516,-9.881,-8.139,-11.86,-13.289,-11.337
540,-13.507,-11.636,-12.405,-11.463,-9.082,-11.6186
560,-12.893,-11.616,-11.754,-12.889,-10.626,-11.9556
580,-13.357,-13.869,-12.349,-11.523,-19.669,-14.1534
600,-11.309,-14.162,-9.755,-13.454,-14.602,-12.6564
620,-33.53,-14.002,-14.163,-8.853,-10.687,-16.247
640,-11.439,-14.986,-13.134,-9.983,-13.782,-12.6648
660,-12.185,-10.895,-9.858,-9.503,-11.41,-10.770199999999999
680,-12.915,-13.476,-12.202,-14.089,-13.271,-13.1906
700,-10.533,-10.919,-9.218,-26.906,-18.981,-15.311399999999997
720,-9.87,-14.117,-10.244,-10.512,-12.783,-11.5052
740,-13.033,-12.659,-8.002,-32.102,-15.398,-16.238799999999998
760,-12.278,-10.06,-12.258,-14.046,-8.558,-11.440000000000001
780,-16.15,-12.229,-12.835,-33.575,-15.912,-18.1402
800,-12.627,-16.704,-10.563,-20.658,-12.754,-14.661200000000003
820,-11.917,-10.729,-9.878,-34.572,-13.488,-16.1168
840,-10.655,-12.64,-10.584,-12.856,-14.796,-12.3062
860,-14.342,-14.081,-12.929,-13.977,-10.873,-13.240400000000003
880,-11.045,-16.977,-10.844,-26.507,-10.206,-15.115800000000002
900,-7.699,-13.717,-11.236,-15.39,-12.159,-12.0402
920,-12.913,-12.591,-14.114,-16.843,-9.144,-13.121
940,-10.149,-12.508,-10.771,-10.589,-9.096,-10.6226
960,-11.904,-15.088,-10.384,-12.177,-9.952,-11.901
980,-13.013,-13.216,-8.552,-14.082,-13.5,-12.4726
1000,-12.952,-12.425,-11.501,-36.613,-11.444,-16.987000000000002
