train_step,avg_return_0,avg_return_1,avg_return_2,avg_return_3,avg_return_4,avg_of_avg_returns
1,-106.213,-33.278,-13.219,-107.792,-62.109,-64.52219999999998
2,-102.905,-14.346,-14.076,-80.058,-44.401,-51.1572
3,-61.4,-12.075,-12.173,-54.682,-31.313,-34.328599999999994
4,-48.399,-13.423,-14.003,-21.763,-13.828,-22.2832
5,-29.326,-12.138,-11.072,-17.273,-6.601,-15.282
6,-20.61,-10.685,-11.957,-13.498,-10.418,-13.433600000000002
7,-14.689,-10.58,-13.886,-11.345,-9.696,-12.0392
8,-12.95,-8.397,-13.0,-10.442,-11.681,-11.294
9,-11.299,-11.372,-12.27,-12.423,-14.52,-12.3768
10,-11.117,-8.925,-10.907,-11.485,-11.848,-10.856399999999999
11,-13.381,-12.646,-10.625,-13.761,-10.498,-12.182199999999998
12,-13.841,-15.396,-10.594,-11.074,-12.222,-12.6254
13,-10.047,-11.276,-9.97,-13.029,-10.334,-10.9312
14,-12.98,-11.913,-10.758,-11.132,-13.896,-12.1358
15,-11.414,-12.118,-14.259,-14.16,-11.951,-12.780399999999998
16,-12.769,-12.375,-13.494,-11.336,-10.926,-12.18
17,-8.74,-11.961,-11.423,-11.831,-13.167,-11.4244
18,-9.867,-11.042,-9.02,-13.691,-15.216,-11.767199999999999
19,-9.974,-11.972,-9.945,-13.479,-9.3,-10.934000000000001
20,-12.656,-11.556,-9.713,-10.583,-11.31,-11.163599999999999
21,-13.784,-11.614,-13.405,-11.227,-11.692,-12.3444
22,-15.385,-10.912,-11.56,-10.064,-12.12,-12.008199999999999
23,-12.703,-13.633,-10.145,-12.449,-11.41,-12.067999999999998
24,-11.179,-11.552,-12.849,-14.486,-14.358,-12.884800000000002
25,-11.835,-11.371,-13.737,-13.648,-11.093,-12.336800000000002
26,-10.76,-10.382,-12.094,-12.457,-15.929,-12.3244
27,-13.308,-10.168,-12.36,-10.207,-15.092,-12.227
28,-11.801,-8.931,-13.817,-11.774,-16.32,-12.5286
29,-11.977,-10.133,-11.904,-13.602,-31.864,-15.896
30,-9.679,-12.744,-11.977,-12.673,-34.926,-16.399800000000003
31,-13.203,-11.732,-11.872,-10.967,-20.641,-13.682999999999998
32,-8.662,-9.597,-12.585,-11.402,-42.616,-16.9724
33,-12.221,-8.113,-12.199,-13.49,-52.256,-19.6558
34,-14.802,-12.887,-15.786,-10.192,-60.45,-22.8234
35,-11.389,-11.463,-11.728,-10.401,-54.038,-19.8038
36,-11.219,-15.352,-13.803,-9.779,-58.959,-21.8224
37,-10.706,-11.528,-13.613,-12.147,-59.687,-21.5362
38,-11.961,-12.427,-12.955,-12.229,-60.8,-22.074399999999997
39,-12.582,-10.592,-9.935,-10.86,-59.542,-20.702199999999998
40,-14.276,-12.68,-10.937,-23.928,-60.959,-24.556
41,-13.35,-13.256,-10.913,-22.243,-61.965,-24.3454
42,-8.965,-10.888,-12.428,-56.904,-27.848,-23.4066
43,-11.601,-10.471,-13.445,-61.921,-9.749,-21.4374
44,-11.665,-7.925,-13.731,-51.399,-11.282,-19.2004
45,-12.456,-12.135,-9.86,-39.359,-12.961,-17.3542
46,-12.059,-10.934,-12.91,-17.813,-13.428,-13.428799999999999
47,-9.772,-13.289,-10.57,-10.862,-9.993,-10.897200000000002
48,-9.272,-10.592,-9.724,-29.33,-59.683,-23.7202
49,-12.094,-12.419,-10.383,-31.163,-62.066,-25.625
50,-12.399,-10.712,-11.403,-44.021,-61.389,-27.9848
