train_step,avg_return_0,avg_return_1,avg_return_2,avg_return_3,avg_return_4,avg_of_avg_returns
100,-12.987,-9.446,-10.665,-25.474,-13.224,-14.359200000000001
200,-11.376,-13.252,-12.012,-10.882,-11.853,-11.875
300,-13.448,-13.289,-13.374,-11.986,-11.182,-12.655800000000003
400,-11.815,-13.904,-9.014,-11.593,-10.933,-11.451800000000002
500,-33.886,-10.302,-12.93,-11.695,-15.656,-16.893800000000002
600,-10.033,-13.444,-14.703,-11.428,-13.744,-12.6704
700,-13.312,-10.994,-13.475,-12.504,-11.612,-12.3794
800,-11.312,-10.758,-10.084,-13.58,-11.631,-11.472999999999999
900,-9.098,-13.614,-11.364,-13.393,-13.493,-12.192400000000003
1000,-10.085,-8.987,-13.683,-10.221,-12.883,-11.1718
1100,-12.121,-12.82,-10.399,-12.963,-11.291,-11.918800000000001
1200,-10.859,-10.888,-12.529,-14.437,-11.127,-11.968
1300,-14.918,-13.042,-13.693,-12.534,-13.925,-13.622399999999999
1400,-10.472,-11.692,-9.943,-9.802,-9.635,-10.3088
1500,-10.603,-11.082,-14.522,-11.179,-13.071,-12.0914
1600,-8.471,-9.357,-9.699,-12.992,-15.202,-11.144200000000001
1700,-10.372,-12.877,-12.621,-11.58,-12.236,-11.9372
1800,-10.357,-8.798,-12.804,-12.496,-11.605,-11.212
1900,-10.413,-12.102,-9.338,-13.141,-11.625,-11.3238
2000,-10.741,-12.391,-12.969,-12.361,-11.946,-12.0816
2100,-11.141,-12.709,-12.681,-12.365,-14.425,-12.6642
2200,-13.904,-9.366,-11.371,-12.343,-11.809,-11.758599999999998
2300,-12.66,-14.209,-13.262,-10.297,-9.643,-12.014199999999999
2400,-10.567,-10.894,-10.753,-10.96,-12.629,-11.160599999999999
2500,-11.274,-12.598,-14.245,-13.126,-10.54,-12.356599999999998
2600,-11.313,-9.827,-9.502,-11.152,-10.52,-10.462800000000001
2700,-7.695,-10.362,-8.98,-13.822,-13.259,-10.8236
2800,-10.052,-13.055,-8.927,-14.166,-10.725,-11.385000000000002
2900,-9.869,-10.485,-11.584,-10.358,-12.304,-10.92
3000,-12.03,-13.601,-11.329,-11.341,-13.876,-12.4354
3100,-11.438,-10.538,-11.728,-11.786,-13.222,-11.7424
3200,-8.16,-12.379,-10.42,-13.385,-9.797,-10.8282
3300,-9.423,-9.722,-10.845,-12.204,-13.317,-11.1022
3400,-8.917,-10.574,-9.091,-10.635,-9.601,-9.7636
3500,-8.199,-10.966,-12.619,-13.996,-10.304,-11.216800000000001
3600,-9.995,-10.739,-10.823,-12.485,-12.876,-11.3836
3700,-7.214,-13.714,-12.319,-9.206,-10.875,-10.665600000000001
3800,-10.397,-8.564,-10.978,-11.035,-12.585,-10.7118
3900,-10.3,-12.324,-12.285,-13.267,-12.685,-12.1722
4000,-8.621,-8.555,-13.531,-10.858,-12.088,-10.730599999999999
4100,-10.529,-11.433,-11.463,-12.324,-9.747,-11.0992
4200,-11.496,-10.384,-11.718,-9.563,-10.162,-10.6646
4300,-11.297,-9.888,-12.006,-11.791,-9.636,-10.923599999999999
4400,-12.581,-13.1,-12.433,-9.559,-12.139,-11.962399999999999
4500,-7.437,-12.047,-11.436,-14.21,-14.306,-11.8872
4600,-9.27,-12.547,-10.854,-9.402,-10.053,-10.4252
4700,-11.48,-11.739,-12.728,-12.779,-12.319,-12.209
4800,-11.024,-11.851,-13.414,-10.476,-9.06,-11.165000000000001
4900,-11.067,-12.739,-11.423,-9.286,-11.866,-11.2762
5000,-8.027,-9.361,-10.619,-11.309,-9.104,-9.684
