train_step,avg_return_0,avg_return_1,avg_return_2,avg_return_3,avg_return_4,avg_of_avg_returns
200,-246.633,-709.423,-284.022,-618.748,-239.417,-419.6486
400,-226.659,-780.134,-284.711,-211.777,-180.238,-336.7038
600,-212.659,-737.978,-291.436,-210.814,-158.859,-322.3492
800,-218.545,-761.343,-285.456,-211.884,-146.013,-324.6482
1000,-220.989,-661.86,-291.692,-207.14,-144.873,-305.31080000000003
1200,-226.605,-746.415,-277.875,-213.744,-170.428,-327.0134
1400,-223.774,-770.38,-306.904,-214.525,-162.947,-335.706
1600,-223.954,-703.107,-274.031,-201.904,-149.999,-310.599
1800,-208.037,-709.41,-289.749,-221.906,-180.37,-321.89439999999996
2000,-199.278,-731.106,-287.982,-187.826,-105.575,-302.3534
2200,-189.328,-707.22,-287.492,-207.055,-159.229,-310.0648
2400,-210.864,-771.496,-283.844,-210.518,-166.255,-328.5954
2600,-203.648,-728.313,-282.249,-216.187,-89.78,-304.0354
2800,-224.307,-714.131,-282.749,-209.617,-121.667,-310.4942
3000,-191.19,-743.043,-285.245,-196.091,-188.601,-320.834
3200,-225.58,-683.168,-280.506,-179.57,-135.87,-300.9388
3400,-213.309,-742.526,-282.348,-207.427,-171.392,-323.4004
3600,-236.288,-733.162,-281.254,-194.515,-156.875,-320.41880000000003
3800,-225.888,-717.9,-279.688,-180.541,-163.019,-313.4072
4000,-206.747,-738.907,-278.564,-195.319,-158.967,-315.7008
4200,-233.292,-736.08,-285.385,-237.676,-117.204,-321.9274
4400,-205.323,-741.329,-283.778,-216.737,-152.063,-319.846
4600,-219.18,-728.884,-278.21,-221.611,-173.173,-324.21160000000003
4800,-228.742,-744.215,-290.501,-183.527,-141.685,-317.73400000000004
5000,-222.0,-775.275,-280.772,-185.246,-133.409,-319.34040000000005
5200,-236.352,-501.414,-286.898,-183.616,-139.66,-269.588
5400,-235.225,-492.275,-278.205,-183.807,-129.573,-263.817
5600,-224.16,-153.809,-284.524,-168.536,-128.254,-191.85660000000001
5800,-194.198,-146.608,-284.353,-175.755,-112.361,-182.65500000000003
6000,-234.958,-134.823,-287.328,-168.928,-153.781,-195.96359999999999
6200,-225.07,-115.463,-286.413,-191.624,-172.313,-198.1766
6400,-184.747,-151.029,-284.747,-195.911,-105.724,-184.4316
6600,-227.569,-209.614,-293.089,-204.938,-139.883,-215.01859999999996
6800,-215.52,-115.177,-281.552,-190.485,-164.756,-193.498
7000,-208.719,-143.948,-282.141,-168.104,-140.518,-188.686
7200,-213.167,-109.078,-284.846,-179.575,-127.037,-182.7406
7400,-203.29,-103.12,-80.45,-180.287,-123.659,-138.16119999999998
7600,-268.078,-152.328,-130.771,-169.639,-133.661,-170.89539999999997
7800,-211.971,-180.821,-118.563,-191.529,-81.427,-156.8622
8000,-216.576,-160.979,-115.196,-194.573,-92.259,-155.9166
8200,-250.948,-197.675,-144.612,-178.468,-156.043,-185.54919999999998
8400,-231.153,-167.546,-195.271,-195.782,-162.03,-190.35639999999998
8600,-218.205,-150.44,-151.697,-171.243,-189.332,-176.1834
8800,-215.252,-148.309,-136.757,-171.441,-182.647,-170.88119999999998
9000,-205.051,-189.061,-140.861,-193.981,-110.516,-167.89399999999998
9200,-211.389,-120.874,-163.727,-153.365,-153.67,-160.605
9400,-221.56,-96.683,-128.231,-177.899,-135.175,-151.9096
9600,-199.066,-195.803,-78.046,-175.009,-183.52,-166.28879999999998
9800,-250.926,-149.192,-160.555,-190.009,-159.902,-182.1168
10000,-198.982,-149.904,-146.548,-178.628,-194.459,-173.7042
