train_step,avg_return_0,avg_return_1,avg_return_2,avg_return_3,avg_return_4,avg_of_avg_returns
1000,-389.53,-334.229,-389.759,-430.85,-314.398,-371.7532
2000,-297.462,-298.084,-326.654,-361.346,-306.353,-317.9798
3000,-272.535,-231.446,-236.308,-281.659,-288.019,-261.9934
4000,-174.865,-209.489,-202.06,-242.553,-302.846,-226.36260000000001
5000,-145.63,-143.694,-120.062,-136.035,-189.841,-147.05239999999998
6000,-122.439,-103.026,-97.772,-112.45,-124.225,-111.98239999999998
7000,-103.051,-122.697,-141.975,-94.299,-125.547,-117.51379999999999
8000,-112.564,-124.0,-116.037,-95.619,-79.515,-105.547
9000,-66.909,-97.777,-151.599,-92.636,-115.292,-104.84259999999999
10000,-94.814,-130.502,-67.477,-106.577,-115.022,-102.87840000000001
11000,-107.528,-89.284,-87.901,-92.532,-77.938,-91.03659999999999
12000,-105.547,-133.147,-128.834,-103.077,-83.381,-110.7972
13000,-100.221,-104.219,-105.317,-108.821,-104.362,-104.588
14000,-98.155,-95.884,-124.233,-111.156,-104.784,-106.8424
15000,-118.574,-96.337,-112.154,-124.473,-74.866,-105.2808
16000,-98.445,-77.023,-98.933,-89.422,-116.979,-96.1604
17000,-144.213,-168.676,-129.094,-110.338,-124.242,-135.3126
18000,-92.735,-148.46,-148.836,-157.593,-168.562,-143.2372
19000,-79.976,-114.252,-124.913,-181.106,-141.809,-128.4112
20000,-134.877,-121.096,-90.532,-81.113,-144.084,-114.3404
21000,-140.804,-169.614,-68.708,-105.408,-179.634,-132.8336
22000,-92.687,-117.333,-115.833,-139.065,-97.78,-112.5396
23000,-116.335,-78.778,-87.344,-115.961,-120.11,-103.7056
24000,-80.11,-128.475,-142.108,-105.456,-119.453,-115.12039999999999
25000,-97.916,-125.823,-82.882,-109.802,-79.64,-99.2126
26000,-90.274,-146.901,-111.829,-78.12,-124.26,-110.27680000000001
27000,-83.628,-81.443,-101.288,-91.721,-102.797,-92.1754
28000,-114.172,-105.382,-112.159,-102.201,-113.32,-109.44679999999998
29000,-109.663,-97.932,-102.932,-151.463,-84.937,-109.3854
30000,-65.47,-96.847,-81.07,-124.179,-56.078,-84.7288
31000,-161.193,-78.642,-135.75,-94.819,-119.74,-118.0288
32000,-129.745,-99.332,-98.568,-87.804,-66.82,-96.45379999999999
33000,-143.654,-74.566,-125.138,-104.056,-101.001,-109.68299999999999
34000,-106.854,-112.12,-124.638,-113.715,-99.256,-111.3166
35000,-130.298,-105.564,-110.578,-116.895,-74.682,-107.6034
36000,-92.617,-119.31,-95.236,-145.092,-109.122,-112.27539999999999
37000,-95.045,-84.928,-82.99,-88.339,-100.361,-90.3326
38000,-121.615,-111.274,-110.554,-67.314,-125.804,-107.31219999999999
39000,-70.027,-108.563,-106.303,-113.695,-60.883,-91.8942
40000,-113.11,-125.345,-107.461,-78.191,-136.55,-112.13139999999999
41000,-137.118,-91.396,-96.608,-89.951,-84.87,-99.98859999999999
42000,-80.044,-101.858,-98.495,-82.715,-100.503,-92.72299999999998
43000,-130.784,-110.623,-98.658,-101.982,-109.145,-110.2384
44000,-69.849,-96.633,-111.597,-72.057,-86.284,-87.284
45000,-93.104,-98.715,-85.543,-89.19,-58.308,-84.97200000000001
46000,-101.207,-68.088,-95.471,-92.597,-97.444,-90.9614
47000,-133.284,-78.257,-160.675,-79.23,-78.769,-106.043
48000,-130.007,-109.212,-137.081,-93.238,-105.306,-114.96879999999999
49000,-82.541,-103.119,-115.452,-85.606,-61.543,-89.6522
50000,-106.765,-66.316,-92.505,-93.245,-64.063,-84.5788
