train_step,avg_return_0,avg_return_1,avg_return_2,avg_return_3,avg_return_4,avg_of_avg_returns
200,-370.738,-313.352,-396.733,-317.476,-354.674,-350.5946
400,-356.209,-325.243,-369.187,-344.946,-340.437,-347.20439999999996
600,-303.787,-312.299,-284.39,-311.747,-358.194,-314.0834
800,-342.037,-336.154,-348.687,-290.93,-369.99,-337.55960000000005
1000,-349.424,-387.845,-352.744,-305.976,-324.119,-344.02160000000003
1200,-322.326,-361.823,-288.038,-351.771,-311.432,-327.07800000000003
1400,-333.65,-289.273,-334.875,-312.163,-353.886,-324.7694
1600,-269.671,-346.458,-324.597,-303.956,-333.618,-315.65999999999997
1800,-342.354,-326.546,-333.849,-299.598,-320.774,-324.62420000000003
2000,-312.942,-300.003,-347.255,-280.937,-300.514,-308.3302
2200,-302.81,-335.171,-298.863,-314.158,-321.139,-314.4282
2400,-276.353,-286.701,-301.393,-320.14,-301.133,-297.144
2600,-305.7,-298.769,-308.497,-236.083,-293.879,-288.58560000000006
2800,-283.523,-301.901,-320.103,-238.824,-292.741,-287.4184
3000,-282.008,-331.311,-270.943,-227.817,-256.381,-273.692
3200,-271.504,-202.789,-332.755,-213.898,-271.853,-258.5598
3400,-241.862,-290.641,-220.013,-216.041,-253.93,-244.49740000000003
3600,-252.052,-241.071,-280.329,-235.738,-229.466,-247.7312
3800,-217.178,-235.294,-241.847,-181.017,-290.283,-233.12380000000002
4000,-217.815,-191.773,-278.65,-215.075,-246.114,-229.88539999999998
4200,-224.745,-190.005,-273.595,-193.704,-276.341,-231.67799999999997
4400,-180.171,-159.304,-203.926,-211.621,-286.864,-208.3772
4600,-208.959,-140.589,-245.707,-141.862,-233.697,-194.1628
4800,-211.512,-153.673,-236.894,-187.871,-248.388,-207.6676
5000,-191.226,-154.768,-196.272,-145.749,-257.158,-189.0346
5200,-165.204,-144.547,-203.417,-190.583,-255.326,-191.8154
5400,-188.417,-140.612,-197.306,-178.336,-236.388,-188.2118
5600,-174.094,-116.784,-155.407,-138.783,-279.343,-172.8822
5800,-187.551,-120.486,-163.719,-137.77,-308.865,-183.6782
6000,-169.172,-130.177,-135.722,-153.895,-332.927,-184.3786
6200,-148.057,-100.652,-126.227,-124.468,-298.735,-159.62780000000004
6400,-169.433,-106.73,-101.562,-107.107,-296.75,-156.3164
6600,-184.663,-134.639,-104.259,-94.579,-305.856,-164.79919999999998
6800,-197.228,-102.908,-118.245,-142.212,-303.842,-172.887
7000,-194.491,-71.857,-116.29,-137.115,-326.063,-169.16320000000002
7200,-141.46,-128.345,-116.032,-135.587,-317.929,-167.8706
7400,-158.672,-118.536,-108.022,-127.434,-315.327,-165.5982
7600,-153.93,-123.582,-116.087,-122.259,-310.251,-165.22179999999997
7800,-170.601,-94.892,-111.664,-147.457,-289.634,-162.8496
8000,-170.308,-128.481,-101.247,-113.468,-311.392,-164.9792
8200,-163.398,-134.289,-97.243,-91.389,-321.436,-161.551
8400,-189.236,-128.469,-119.426,-125.911,-334.776,-179.5636
8600,-170.223,-103.053,-106.434,-113.329,-318.564,-162.3206
8800,-202.326,-136.674,-84.475,-119.331,-326.228,-173.8068
9000,-167.065,-90.615,-100.537,-108.905,-333.617,-160.14780000000002
9200,-180.123,-161.975,-91.521,-118.497,-327.118,-175.84679999999997
9400,-240.423,-114.548,-102.193,-132.118,-281.922,-174.24079999999998
9600,-200.644,-126.275,-103.211,-114.454,-298.396,-168.596
9800,-224.53,-87.254,-105.524,-148.368,-327.273,-178.5898
10000,-170.646,-109.934,-90.887,-137.635,-300.837,-161.9878
