train_step,avg_return_0,avg_return_1,avg_return_2,avg_return_3,avg_return_4,avg_of_avg_returns
200,-405.845,-380.511,-410.158,-354.583,-321.465,-374.5124
400,-346.247,-349.129,-420.581,-301.698,-358.397,-355.21039999999994
600,-362.78,-348.973,-398.588,-363.592,-372.928,-369.37219999999996
800,-339.936,-341.071,-399.44,-320.658,-351.569,-350.5348
1000,-308.295,-351.02,-373.904,-312.06,-358.744,-340.80460000000005
1200,-299.517,-407.395,-371.879,-336.503,-336.985,-350.4558
1400,-307.26,-343.737,-354.63,-331.414,-363.331,-340.0744000000001
1600,-336.636,-368.484,-324.634,-284.361,-294.387,-321.70039999999995
1800,-324.239,-346.742,-344.054,-289.592,-309.783,-322.88199999999995
2000,-274.44,-305.916,-352.06,-277.343,-317.05,-305.3618
2200,-321.137,-326.64,-305.229,-337.065,-283.017,-314.61760000000004
2400,-332.208,-288.107,-239.786,-322.925,-279.935,-292.5922
2600,-270.366,-322.891,-291.044,-288.385,-252.584,-285.05400000000003
2800,-326.154,-275.061,-289.296,-257.645,-277.42,-285.1152
3000,-289.265,-310.395,-186.257,-291.018,-221.77,-259.741
3200,-244.673,-302.882,-195.095,-259.49,-281.576,-256.7432
3400,-257.221,-273.218,-178.155,-271.585,-245.892,-245.21420000000003
3600,-241.871,-275.77,-175.054,-228.4,-243.597,-232.9384
3800,-250.851,-256.286,-171.15,-255.38,-162.838,-219.30100000000002
4000,-196.069,-265.842,-146.727,-220.54,-173.015,-200.43859999999998
4200,-233.787,-187.495,-116.295,-236.659,-201.44,-195.1352
4400,-245.653,-204.814,-126.38,-233.777,-159.451,-194.01500000000001
4600,-240.043,-215.568,-148.859,-224.603,-157.874,-197.38940000000002
4800,-243.374,-187.238,-106.583,-229.906,-128.044,-179.02899999999997
5000,-189.56,-158.024,-110.075,-250.437,-161.408,-173.9008
5200,-193.419,-195.915,-131.06,-214.016,-122.282,-171.3384
5400,-213.008,-152.871,-122.714,-217.679,-138.964,-169.04720000000003
5600,-189.475,-166.822,-136.013,-191.983,-97.805,-156.41960000000003
5800,-147.683,-137.796,-123.47,-198.108,-143.472,-150.1058
6000,-174.338,-141.08,-111.704,-196.125,-127.609,-150.17120000000003
6200,-168.046,-140.479,-120.097,-195.882,-120.885,-149.07779999999997
6400,-148.909,-119.187,-100.515,-175.297,-130.999,-134.9814
6600,-151.866,-118.724,-117.263,-164.15,-95.121,-129.4248
6800,-140.261,-141.208,-115.784,-157.229,-112.497,-133.39579999999998
7000,-137.303,-110.165,-113.289,-181.728,-101.365,-128.77
7200,-150.511,-127.79,-106.981,-182.872,-96.375,-132.9058
7400,-144.739,-107.643,-98.854,-148.147,-109.538,-121.78419999999998
7600,-127.21,-112.776,-84.665,-185.378,-93.369,-120.67960000000001
7800,-123.142,-102.207,-107.437,-161.275,-148.073,-128.42680000000001
8000,-161.433,-108.611,-104.044,-137.485,-150.201,-132.3548
8200,-110.057,-126.546,-89.367,-145.738,-111.126,-116.56680000000001
8400,-89.127,-91.072,-127.022,-151.701,-124.131,-116.6106
8600,-127.094,-130.919,-121.58,-179.193,-80.258,-127.80880000000002
8800,-112.442,-115.595,-122.151,-222.808,-116.412,-137.8816
9000,-134.178,-114.394,-104.947,-150.625,-103.776,-121.58399999999999
9200,-112.808,-85.215,-128.518,-165.845,-111.463,-120.7698
9400,-141.724,-107.858,-116.044,-188.091,-102.647,-131.27280000000002
9600,-178.629,-89.228,-101.452,-218.967,-113.093,-140.2738
9800,-139.461,-113.961,-94.429,-252.877,-97.718,-139.6892
10000,-136.862,-103.697,-79.931,-237.191,-107.863,-133.10880000000003
