train_step,avg_return_0,avg_return_1,avg_return_2,avg_return_3,avg_return_4,avg_of_avg_returns
200,-411.497,-205.625,-100.713,-707.059,-690.522,-423.08320000000003
400,-403.389,-219.783,-156.578,-142.144,-696.627,-323.7042
600,-405.918,-222.385,-145.113,-70.256,-497.515,-268.2374
800,-412.727,-200.982,-109.207,-131.24,-501.529,-271.137
1000,-398.001,-199.62,-87.724,-108.694,-487.823,-256.3724
1200,-413.466,-227.233,-135.324,-152.588,-491.042,-283.9306
1400,-429.372,-228.451,-183.125,-147.082,-225.754,-242.75679999999997
1600,-399.571,-220.299,-103.681,-168.17,-204.573,-219.2588
1800,-408.536,-199.139,-158.992,-92.313,-218.106,-215.41719999999995
2000,-407.752,-232.721,-181.593,-107.386,-188.248,-223.53999999999996
2200,-409.763,-229.178,-166.791,-105.541,-196.855,-221.6256
2400,-411.986,-219.643,-130.339,-165.675,-161.748,-217.87820000000002
2600,-304.27,-226.153,-138.96,-139.865,-137.862,-189.422
2800,-176.426,-215.665,-167.256,-166.08,-187.316,-182.54860000000002
3000,-381.217,-231.021,-103.252,-110.845,-156.829,-196.6328
3200,-402.509,-268.177,-168.092,-106.636,-184.541,-225.99099999999999
3400,-346.655,-182.028,-164.788,-144.143,-167.584,-201.0396
3600,-366.893,-187.65,-142.177,-146.513,-119.244,-192.49540000000002
3800,-335.303,-180.989,-132.793,-137.387,-117.296,-180.7536
4000,-351.229,-190.122,-136.257,-121.846,-133.283,-186.54739999999998
4200,-405.654,-162.414,-127.61,-137.937,-166.183,-199.9596
4400,-395.903,-187.179,-158.57,-98.964,-131.45,-194.41320000000002
4600,-393.607,-152.064,-222.097,-140.953,-164.858,-214.7158
4800,-364.188,-181.838,-216.506,-91.741,-148.268,-200.5082
5000,-362.417,-164.808,-139.667,-182.295,-140.155,-197.86839999999998
5200,-368.334,-187.886,-169.244,-187.225,-164.289,-215.3956
5400,-401.285,-176.825,-165.449,-99.643,-100.158,-188.672
5600,-403.217,-192.103,-168.083,-129.603,-143.167,-207.23459999999994
5800,-364.424,-172.183,-188.323,-130.327,-145.601,-200.17159999999998
6000,-417.679,-185.687,-185.2,-140.332,-182.125,-222.20460000000003
6200,-375.106,-172.658,-189.342,-131.531,-147.126,-203.15259999999998
6400,-368.559,-189.233,-184.97,-132.126,-138.27,-202.6316
6600,-355.542,-205.815,-173.08,-125.049,-142.686,-200.4344
6800,-399.31,-176.745,-200.237,-135.007,-112.531,-204.766
7000,-390.769,-198.493,-174.444,-125.909,-142.407,-206.40439999999998
7200,-420.455,-176.753,-191.275,-156.693,-157.462,-220.52759999999998
7400,-410.384,-195.026,-171.249,-155.075,-197.389,-225.8246
7600,-383.344,-201.566,-179.592,-119.552,-142.914,-205.39359999999996
7800,-373.379,-181.729,-162.753,-103.734,-138.813,-192.08160000000004
8000,-378.042,-174.297,-160.759,-121.175,-188.419,-204.53839999999997
8200,-380.719,-195.004,-173.707,-130.453,-165.712,-209.11899999999997
8400,-371.263,-201.37,-168.418,-146.585,-133.042,-204.1356
8600,-352.673,-159.346,-183.913,-144.076,-138.615,-195.7246
8800,-403.54,-162.168,-179.873,-137.237,-116.231,-199.80980000000002
9000,-399.137,-166.274,-120.388,-132.127,-141.156,-191.81640000000002
9200,-434.262,-192.449,-119.64,-106.426,-119.251,-194.4056
9400,-155.031,-187.784,-161.052,-136.454,-254.31,-178.92619999999997
9600,-110.407,-173.342,-137.639,-167.798,-253.814,-168.6
9800,-114.463,-200.89,-146.267,-161.891,-264.801,-177.6624
10000,-132.31,-174.973,-169.14,-122.895,-244.067,-168.677
