train_step,avg_return_0,avg_return_1,avg_return_2,avg_return_3,avg_return_4,avg_of_avg_returns
1000,-369.803,-318.373,-360.714,-328.419,-257.217,-326.9052
2000,-126.897,-491.049,-357.251,-223.368,-319.278,-303.5686
3000,-303.824,-346.265,-293.382,-459.529,-529.453,-386.4906
4000,-429.149,-503.287,-138.68,-355.332,-357.252,-356.73999999999995
5000,-280.153,-492.004,-381.245,-321.75,-318.347,-358.6998
6000,-327.489,-285.655,-550.0,-219.014,-415.054,-359.4424
7000,-254.086,-522.45,-229.076,-272.607,-319.651,-319.574
8000,-158.036,-318.785,-172.511,-232.891,-124.976,-201.4398
9000,-280.88,-289.387,-315.345,-380.77,-190.526,-291.38160000000005
10000,-232.849,-449.281,-436.692,-391.706,-383.926,-378.8908
11000,-258.846,-225.757,-378.792,-471.721,-288.066,-324.6364
12000,-417.157,-266.547,-344.758,-309.333,-119.79,-291.517
13000,-147.323,-359.513,-210.345,-276.708,-285.7,-255.91780000000003
14000,-299.11,-460.29,-288.157,-355.892,-148.357,-310.3612
15000,-237.141,-414.132,-534.004,-295.083,-245.278,-345.12760000000003
16000,-181.769,-172.557,-500.966,-454.229,-210.627,-304.02959999999996
17000,-409.669,-266.118,-475.043,-285.202,-176.427,-322.49179999999996
18000,-185.359,-208.758,-441.767,-114.817,-256.18,-241.3762
19000,-427.695,-380.477,-414.657,-304.884,-216.696,-348.8818
20000,-422.059,-289.334,-663.545,-392.341,-265.792,-406.6142
21000,-262.553,-364.257,-204.502,-411.53,-331.556,-314.8796
22000,-257.162,-362.59,-379.947,-240.476,-323.559,-312.7468
23000,-341.567,-229.367,-322.999,-355.651,-160.598,-282.0364
24000,-256.447,-413.832,-384.842,-221.121,-166.265,-288.5014
25000,-206.491,-218.313,-265.029,-198.096,-149.865,-207.55879999999996
26000,-412.611,-409.782,-426.903,-318.513,-147.898,-343.1414
27000,-111.821,-248.469,-281.934,-109.949,-137.64,-177.96259999999998
28000,-153.328,-341.415,-499.875,-337.266,-119.975,-290.3718
29000,-290.2,-190.3,-357.472,-398.774,-126.685,-272.6862
30000,-221.841,-331.981,-255.721,-349.078,-134.71,-258.6662
31000,-151.154,-439.522,-416.064,-370.526,-172.706,-309.9944
32000,-192.186,-321.483,-420.824,-250.761,-232.259,-283.5026
33000,-252.081,-369.398,-187.011,-116.485,-126.203,-210.23560000000003
34000,-189.955,-147.982,-408.074,-111.244,-155.46,-202.543
35000,-109.842,-477.051,-440.214,-186.392,-156.193,-273.9384
36000,-203.001,-396.373,-336.47,-456.936,-216.475,-321.851
37000,-313.754,-217.848,-316.902,-338.34,-181.698,-273.70840000000004
38000,-253.609,-374.129,-190.264,-252.358,-144.29,-242.93
39000,-182.237,-403.675,-394.944,-302.33,-170.052,-290.64759999999995
40000,-370.592,-499.92,-360.256,-276.716,-244.116,-350.32
41000,-227.804,-468.767,-153.546,-194.946,-216.71,-252.35459999999998
42000,-429.045,-451.38,-236.91,-231.328,-211.913,-312.1152
43000,-116.579,-436.757,-231.353,-306.803,-284.183,-275.13500000000005
44000,-246.506,-406.41,-187.266,-308.898,-156.78,-261.17199999999997
45000,-148.405,-292.035,-346.859,-139.808,-134.407,-212.3028
46000,-253.548,-370.676,-386.948,-388.361,-118.258,-303.5582
47000,-239.088,-175.328,-289.778,-206.837,-100.732,-202.3526
48000,-161.69,-136.971,-147.131,-264.836,-84.491,-159.0238
49000,-287.895,-478.223,-385.223,-185.701,-107.983,-289.005
50000,-236.948,-184.86,-235.407,-198.78,-123.232,-195.84539999999998
