train_step,avg_return_0,avg_return_1,avg_return_2,avg_return_3,avg_return_4,avg_of_avg_returns
0,-556.746,-497.383,-532.259,-224.071,-494.105,-460.91279999999995
200,-375.566,-174.297,-412.995,-351.205,-312.021,-325.2168
400,-513.541,-416.755,-532.959,-301.838,-506.539,-454.32640000000004
600,-532.011,-289.208,-235.616,-406.718,-281.383,-348.98720000000003
800,-454.63,-252.921,-315.725,-306.048,-104.264,-286.7176
1000,-438.457,-326.418,-224.375,-366.91,-383.74,-347.98
1200,-344.891,-399.617,-249.146,-301.091,-218.872,-302.72339999999997
1400,-494.299,-398.564,-373.574,-218.026,-371.247,-371.14200000000005
1600,-505.091,-370.197,-244.489,-302.558,-426.9,-369.84700000000004
1800,-462.181,-340.878,-369.351,-298.263,-152.448,-324.6242
2000,-349.459,-427.683,-279.903,-431.545,-381.817,-374.08140000000003
2200,-626.252,-463.168,-499.47,-283.518,-428.067,-460.0950000000001
2400,-392.84,-619.583,-394.539,-367.87,-191.852,-393.3368
2600,-289.903,-112.861,-291.808,-316.976,-432.677,-288.84499999999997
2800,-436.233,-276.377,-323.118,-324.796,-386.845,-349.47380000000004
3000,-439.419,-291.208,-368.555,-363.194,-366.954,-365.866
3200,-459.762,-431.26,-245.714,-134.626,-399.506,-334.17359999999996
3400,-160.84,-482.484,-350.382,-306.231,-356.577,-331.3028
3600,-401.761,-261.407,-124.54,-270.608,-161.85,-244.0332
3800,-207.639,-458.136,-437.244,-302.081,-179.474,-316.91480000000007
4000,-328.773,-452.277,-521.616,-430.521,-210.579,-388.7532
4200,-368.379,-336.039,-292.673,-319.354,-273.206,-317.93019999999996
4400,-420.776,-516.843,-284.274,-372.624,-259.241,-370.7516
4600,-450.809,-499.19,-128.927,-129.295,-206.752,-282.9946
4800,-209.451,-168.646,-248.38,-295.736,-168.72,-218.1866
5000,-547.262,-416.597,-396.68,-303.108,-163.358,-365.40099999999995
5200,-286.518,-271.184,-163.993,-336.667,-310.599,-273.7922
5400,-510.527,-360.139,-292.808,-292.661,-169.863,-325.19960000000003
5600,-591.226,-146.015,-125.117,-389.851,-194.942,-289.43019999999996
5800,-508.555,-436.246,-177.057,-382.709,-113.099,-323.53319999999997
6000,-270.601,-374.11,-228.104,-342.449,-210.63,-285.1788
6200,-510.378,-449.992,-432.22,-160.755,-225.527,-355.77440000000007
6400,-472.507,-366.985,-427.875,-407.58,-201.748,-375.339
6600,-319.732,-437.417,-444.906,-250.809,-285.08,-347.5888
6800,-568.375,-248.831,-388.591,-407.401,-179.137,-358.467
7000,-442.071,-256.86,-319.459,-174.956,-337.614,-306.192
7200,-346.821,-178.113,-283.428,-269.306,-348.152,-285.164
7400,-370.649,-302.657,-154.452,-270.041,-367.828,-293.1254
7600,-357.393,-209.298,-331.374,-124.385,-240.2,-252.53000000000003
7800,-474.996,-191.212,-178.91,-570.604,-111.382,-305.4208
8000,-469.184,-284.059,-419.527,-135.355,-323.665,-326.358
8200,-209.5,-393.172,-490.697,-193.647,-269.578,-311.3188
8400,-332.941,-248.508,-290.845,-140.885,-185.191,-239.67399999999998
8600,-334.098,-266.958,-431.909,-220.506,-223.618,-295.41780000000006
8800,-210.937,-241.77,-293.547,-171.627,-443.094,-272.19500000000005
9000,-379.249,-273.096,-301.068,-378.122,-261.29,-318.565
9200,-274.763,-308.066,-254.051,-386.262,-393.138,-323.256
9400,-388.096,-393.399,-444.068,-122.451,-564.463,-382.4954
9600,-200.121,-265.2,-621.19,-106.473,-142.328,-267.06239999999997
9800,-397.612,-249.431,-360.872,-321.841,-136.904,-293.332
