train_step,avg_return_0,avg_return_1,avg_return_2,avg_return_3,avg_return_4,avg_of_avg_returns
1000,-516.325,-401.51,-537.198,-447.742,-412.162,-462.9874
2000,-447.486,-361.304,-291.941,-502.513,-408.086,-402.26599999999996
3000,-134.276,-238.322,-461.943,-356.037,-436.119,-325.3394
4000,-270.184,-410.504,-415.774,-474.086,-342.293,-382.5682
5000,-278.543,-466.741,-289.367,-398.995,-380.066,-362.74240000000003
6000,-313.321,-316.199,-293.227,-368.501,-224.979,-303.2454
7000,-247.825,-353.375,-486.362,-312.004,-327.568,-345.42680000000007
8000,-322.049,-316.347,-396.53,-112.44,-413.315,-312.13620000000003
9000,-285.397,-283.464,-357.719,-564.572,-569.581,-412.14660000000003
10000,-209.764,-254.468,-231.437,-380.344,-262.712,-267.745
11000,-311.867,-299.313,-244.867,-234.968,-187.07,-255.61700000000002
12000,-370.653,-256.649,-290.07,-179.933,-88.834,-237.22780000000003
13000,-241.552,-111.817,-372.408,-443.586,-214.283,-276.7292
14000,-187.255,-255.247,-401.234,-331.19,-234.301,-281.8454
15000,-372.515,-194.511,-260.665,-476.222,-116.98,-284.1786
16000,-354.59,-159.491,-341.022,-417.605,-148.107,-284.163
17000,-313.888,-163.499,-334.402,-525.29,-188.863,-305.1884
18000,-595.741,-210.923,-454.005,-238.536,-131.001,-326.0412
19000,-120.754,-293.63,-449.931,-342.321,-126.504,-266.628
20000,-463.757,-184.876,-232.922,-346.647,-168.05,-279.2504
21000,-233.03,-142.162,-409.818,-301.501,-137.042,-244.71059999999997
22000,-536.384,-232.167,-357.722,-359.833,-135.206,-324.2624
23000,-352.721,-254.037,-347.662,-422.437,-384.963,-352.364
24000,-180.024,-206.694,-343.205,-403.995,-160.843,-258.95220000000006
25000,-175.166,-209.595,-327.531,-396.674,-149.972,-251.78759999999997
26000,-185.275,-241.935,-531.518,-477.125,-145.877,-316.346
27000,-210.672,-332.735,-396.626,-257.145,-138.178,-267.0712
28000,-203.534,-117.217,-296.49,-473.126,-149.305,-247.9344
29000,-283.194,-132.768,-314.706,-175.918,-147.45,-210.80720000000002
30000,-374.827,-131.466,-235.496,-233.145,-152.938,-225.57439999999997
31000,-338.985,-95.478,-352.259,-209.16,-196.223,-238.421
32000,-280.545,-94.753,-297.789,-379.466,-154.676,-241.44579999999996
33000,-241.087,-132.423,-277.656,-308.669,-164.648,-224.89659999999998
34000,-191.672,-167.834,-143.922,-298.173,-386.039,-237.52799999999996
35000,-421.064,-175.991,-212.021,-272.877,-130.581,-242.50679999999997
36000,-314.472,-146.298,-447.363,-445.504,-225.331,-315.7936
37000,-350.16,-169.687,-207.115,-310.635,-350.399,-277.5992
38000,-141.08,-155.018,-231.698,-382.883,-129.774,-208.0906
39000,-241.472,-161.626,-348.237,-327.595,-108.243,-237.4346
40000,-348.72,-162.051,-431.778,-263.41,-158.229,-272.8376
41000,-352.752,-164.962,-272.175,-242.907,-135.572,-233.6736
42000,-246.816,-175.953,-358.69,-472.285,-133.0,-277.34880000000004
43000,-128.783,-262.398,-389.013,-302.779,-157.102,-248.01500000000001
44000,-253.367,-216.286,-441.881,-352.231,-163.247,-285.4024
45000,-136.068,-166.574,-213.565,-181.259,-234.425,-186.37820000000002
46000,-212.738,-141.736,-443.657,-303.063,-129.776,-246.19400000000002
47000,-277.154,-181.175,-130.989,-366.245,-275.041,-246.1208
48000,-84.994,-185.861,-225.211,-123.212,-112.486,-146.3528
49000,-220.349,-88.366,-360.598,-208.723,-162.412,-208.08960000000002
50000,-280.006,-120.704,-229.692,-309.135,-169.727,-221.85280000000003
