train_step,avg_return_0,avg_return_1,avg_return_2,avg_return_3,avg_return_4,avg_of_avg_returns
1000,-447.243,-426.691,-461.002,-283.804,-403.528,-404.45359999999994
2000,-463.295,-461.086,-366.53,-199.438,-241.256,-346.321
3000,-454.618,-208.881,-366.046,-173.115,-304.533,-301.43860000000006
4000,-233.477,-418.983,-421.465,-135.284,-292.242,-300.29019999999997
5000,-352.031,-210.639,-445.997,-337.962,-419.481,-353.22200000000004
6000,-315.202,-363.512,-280.585,-311.017,-190.025,-292.06820000000005
7000,-367.29,-248.566,-267.94,-318.785,-384.476,-317.41140000000007
8000,-260.345,-383.318,-389.476,-299.274,-445.952,-355.673
9000,-229.086,-352.043,-338.196,-246.173,-418.076,-316.7148
10000,-225.427,-147.015,-177.72,-313.527,-184.366,-209.61100000000002
11000,-180.258,-282.722,-385.921,-351.38,-418.378,-323.73179999999996
12000,-223.846,-507.983,-324.578,-289.996,-275.613,-324.40319999999997
13000,-313.762,-315.599,-359.757,-420.993,-423.144,-366.65099999999995
14000,-370.725,-472.007,-306.779,-276.683,-545.108,-394.2604
15000,-254.518,-232.679,-325.622,-265.069,-437.68,-303.1136
16000,-189.366,-257.912,-323.707,-199.021,-410.636,-276.1284
17000,-267.853,-444.552,-356.06,-240.428,-367.633,-335.3052
18000,-360.941,-537.654,-592.495,-284.202,-221.943,-399.447
19000,-318.637,-327.661,-295.517,-227.5,-293.812,-292.6254
20000,-295.588,-248.512,-364.224,-559.492,-211.857,-335.9346
21000,-319.236,-364.411,-388.782,-365.114,-287.525,-345.01359999999994
22000,-343.139,-525.647,-349.343,-320.569,-311.297,-369.999
23000,-366.124,-343.695,-357.995,-366.601,-179.19,-322.721
24000,-434.783,-224.638,-249.641,-335.924,-356.738,-320.34479999999996
25000,-331.16,-478.865,-452.232,-472.373,-370.243,-420.9746
26000,-268.567,-499.226,-293.58,-180.573,-318.719,-312.13300000000004
27000,-268.719,-488.377,-294.397,-345.516,-446.336,-368.669
28000,-373.144,-372.204,-367.374,-359.302,-254.225,-345.24979999999994
29000,-255.037,-417.455,-328.347,-437.869,-315.581,-350.85780000000005
30000,-522.918,-285.518,-330.24,-449.245,-161.969,-349.97799999999995
31000,-414.704,-299.858,-289.386,-287.462,-350.339,-328.3498
32000,-430.79,-382.409,-519.808,-313.516,-230.142,-375.333
33000,-305.01,-261.111,-339.185,-497.397,-298.331,-340.20680000000004
34000,-393.35,-320.874,-310.368,-435.634,-483.978,-388.84080000000006
35000,-406.188,-234.719,-318.265,-446.112,-367.678,-354.5924
36000,-362.107,-269.095,-488.348,-369.674,-411.049,-380.0546
37000,-194.726,-257.536,-406.854,-317.271,-240.469,-283.3712
38000,-224.103,-224.397,-549.453,-442.872,-382.024,-364.56980000000004
39000,-376.878,-463.569,-458.275,-253.82,-289.92,-368.4924
40000,-418.278,-235.904,-474.036,-458.007,-253.399,-367.92480000000006
41000,-331.151,-408.116,-389.65,-356.743,-409.766,-379.0852
42000,-198.149,-210.038,-437.224,-385.524,-360.17,-318.221
43000,-454.87,-384.954,-419.749,-275.878,-317.864,-370.663
44000,-315.71,-476.333,-348.328,-543.12,-490.808,-434.8598
45000,-448.898,-339.695,-363.262,-415.485,-426.324,-398.73280000000005
46000,-249.147,-418.31,-476.894,-296.137,-416.691,-371.43580000000003
47000,-442.483,-330.029,-271.739,-337.545,-601.157,-396.5906
48000,-290.611,-446.607,-467.013,-286.548,-453.693,-388.8944
49000,-150.391,-325.669,-335.347,-340.546,-407.212,-311.83299999999997
50000,-134.28,-421.634,-372.847,-221.333,-199.215,-269.8618
