train_step,avg_return_0,avg_return_1,avg_return_2,avg_return_3,avg_return_4,avg_of_avg_returns
200,-9.648,-9.504,-24.46,-13.584,-11.226,-13.6844
400,-10.91,-10.37,-12.348,-9.996,-12.952,-11.3152
600,-11.398,-9.375,-11.457,-10.656,-10.637,-10.704600000000001
800,-10.912,-10.904,-11.971,-10.257,-12.506,-11.31
1000,-11.145,-8.816,-13.328,-11.166,-9.612,-10.8134
1200,-10.457,-11.57,-10.312,-10.303,-7.887,-10.105799999999999
1400,-12.444,-9.493,-11.064,-11.308,-11.09,-11.0798
1600,-9.114,-10.671,-11.919,-10.278,-12.428,-10.882
1800,-8.907,-10.613,-9.681,-8.85,-10.828,-9.7758
2000,-8.411,-10.426,-11.314,-11.435,-9.594,-10.236
2200,-9.591,-10.861,-6.588,-8.916,-11.186,-9.4284
2400,-8.649,-10.765,-10.39,-7.653,-12.451,-9.9816
2600,-8.722,-10.031,-9.374,-9.399,-6.625,-8.830200000000001
2800,-8.761,-10.675,-11.218,-10.305,-7.542,-9.7002
3000,-9.755,-10.487,-12.248,-11.125,-8.553,-10.433600000000002
3200,-8.111,-7.987,-9.341,-10.734,-9.835,-9.201600000000001
3400,-8.631,-8.396,-8.517,-10.146,-8.962,-8.9304
3600,-7.397,-8.445,-8.873,-10.546,-7.92,-8.636199999999999
3800,-9.328,-7.835,-10.687,-8.334,-8.807,-8.9982
4000,-9.001,-7.861,-9.217,-9.06,-9.085,-8.844800000000001
4200,-9.509,-9.998,-7.226,-10.236,-7.855,-8.9648
4400,-8.578,-7.434,-10.358,-8.545,-7.289,-8.4408
4600,-7.034,-8.835,-7.158,-9.71,-7.456,-8.0386
4800,-8.335,-7.35,-9.342,-7.823,-7.23,-8.016
5000,-8.967,-5.773,-6.572,-10.124,-7.144,-7.715999999999999
5200,-8.512,-6.56,-9.002,-9.301,-6.45,-7.965000000000001
5400,-8.68,-7.2,-6.973,-6.962,-7.309,-7.424799999999999
5600,-8.953,-5.955,-9.0,-6.985,-6.674,-7.5134
5800,-7.705,-7.022,-9.289,-6.425,-6.283,-7.344799999999999
6000,-9.997,-7.037,-9.197,-6.305,-6.901,-7.8873999999999995
6200,-8.014,-6.12,-7.409,-9.033,-5.952,-7.3056
6400,-9.661,-7.162,-9.238,-7.302,-7.582,-8.189
6600,-8.331,-6.335,-8.202,-7.458,-8.637,-7.7926
6800,-7.776,-6.227,-7.973,-8.598,-6.723,-7.4594
7000,-8.314,-7.651,-7.209,-10.235,-7.582,-8.1982
7200,-9.027,-6.348,-8.927,-8.727,-6.99,-8.0038
7400,-6.978,-6.877,-9.195,-8.842,-7.352,-7.8488
7600,-9.418,-5.639,-7.411,-11.395,-7.81,-8.3346
7800,-7.132,-7.697,-7.373,-7.042,-8.588,-7.5664
8000,-6.393,-5.369,-9.123,-7.829,-8.07,-7.3568
8200,-7.055,-5.512,-8.08,-8.255,-8.924,-7.5652
8400,-7.398,-6.102,-8.236,-7.785,-6.944,-7.293000000000001
8600,-7.783,-7.181,-7.601,-7.629,-8.18,-7.6748
8800,-6.043,-6.883,-6.226,-7.424,-6.848,-6.6848
9000,-7.059,-5.483,-8.833,-6.824,-9.917,-7.6232
9200,-7.433,-6.789,-8.446,-6.442,-7.532,-7.328399999999999
9400,-7.574,-6.468,-8.582,-7.286,-6.793,-7.3406
9600,-6.556,-4.533,-8.026,-7.074,-7.881,-6.814
9800,-7.749,-7.056,-7.924,-7.345,-8.702,-7.755199999999999
10000,-8.06,-6.103,-8.884,-6.174,-9.291,-7.7024
