train_step,avg_return_0,avg_return_1,avg_return_2,avg_return_3,avg_return_4,avg_of_avg_returns
200,-41.047,-40.666,-44.202,-45.204,-41.949,-42.6136
400,-45.081,-42.734,-45.214,-42.72,-44.217,-43.9932
600,-39.678,-40.647,-35.618,-36.671,-35.02,-37.526799999999994
800,-36.497,-34.389,-37.227,-36.25,-33.214,-35.5154
1000,-35.257,-34.79,-35.475,-34.267,-33.178,-34.593399999999995
1200,-35.224,-32.654,-35.771,-31.794,-33.438,-33.7762
1400,-32.255,-33.752,-32.704,-32.464,-34.914,-33.2178
1600,-32.265,-31.763,-30.229,-32.147,-31.614,-31.6036
1800,-31.026,-32.917,-30.936,-30.645,-30.376,-31.179999999999996
2000,-33.779,-29.993,-28.332,-29.415,-30.447,-30.3932
2200,-29.284,-30.828,-32.112,-29.368,-30.846,-30.487599999999997
2400,-27.969,-29.311,-28.392,-30.121,-29.83,-29.124599999999997
2600,-29.97,-27.497,-28.63,-27.361,-27.147,-28.121
2800,-27.785,-26.716,-29.789,-25.935,-26.825,-27.410000000000004
3000,-26.182,-27.354,-26.86,-26.731,-27.794,-26.984200000000005
3200,-25.741,-24.882,-26.32,-26.081,-26.821,-25.969000000000005
3400,-22.356,-25.347,-26.065,-23.918,-26.115,-24.7602
3600,-23.696,-24.657,-23.048,-24.164,-24.799,-24.0728
3800,-22.954,-23.754,-22.396,-23.404,-27.268,-23.955199999999998
4000,-22.33,-23.473,-22.821,-23.188,-21.78,-22.7184
4200,-23.459,-23.545,-22.045,-21.06,-22.813,-22.584400000000002
4400,-22.204,-21.712,-22.712,-19.964,-21.154,-21.5492
4600,-21.185,-20.328,-20.821,-20.967,-22.656,-21.191399999999998
4800,-21.074,-18.734,-20.662,-20.267,-20.352,-20.217800000000004
5000,-18.679,-20.996,-20.065,-19.627,-20.621,-19.9976
5200,-18.306,-20.545,-18.706,-18.858,-19.84,-19.251
5400,-20.052,-19.035,-19.389,-18.602,-18.44,-19.1036
5600,-18.524,-16.384,-18.423,-18.57,-16.237,-17.6276
5800,-16.984,-17.814,-16.744,-19.041,-17.609,-17.6384
6000,-16.635,-16.504,-16.822,-16.11,-17.859,-16.786
6200,-16.974,-16.596,-15.925,-16.57,-16.399,-16.4928
6400,-15.864,-16.92,-15.34,-15.714,-15.772,-15.922000000000002
6600,-17.689,-15.072,-15.415,-17.408,-16.51,-16.4188
6800,-16.284,-13.878,-14.61,-15.275,-15.09,-15.0274
7000,-13.648,-14.375,-14.001,-14.8,-15.407,-14.4462
7200,-17.797,-13.629,-16.485,-13.485,-15.586,-15.3964
7400,-13.556,-14.547,-13.149,-14.234,-15.809,-14.259
7600,-13.689,-14.649,-12.048,-16.16,-14.104,-14.13
7800,-12.549,-14.649,-13.515,-12.307,-12.765,-13.157
8000,-11.955,-13.596,-12.715,-13.991,-13.598,-13.171000000000001
8200,-11.515,-15.032,-11.896,-13.169,-13.185,-12.959399999999999
8400,-11.539,-12.132,-10.953,-14.748,-14.604,-12.795199999999998
8600,-14.405,-10.714,-14.723,-12.983,-13.972,-13.359399999999999
8800,-14.815,-13.043,-11.588,-11.841,-12.247,-12.7068
9000,-11.856,-12.406,-12.661,-13.123,-12.444,-12.498000000000001
9200,-14.437,-12.424,-10.94,-12.322,-12.274,-12.479399999999998
9400,-9.907,-12.861,-12.574,-11.619,-9.892,-11.3706
9600,-9.932,-11.361,-12.669,-11.791,-11.556,-11.4618
9800,-13.232,-10.888,-11.225,-11.609,-11.959,-11.782599999999999
10000,-10.188,-10.881,-10.957,-12.624,-11.935,-11.317000000000002
