train_step,avg_return_0,avg_return_1,avg_return_2,avg_return_3,avg_return_4,avg_of_avg_returns
200,-40.109,-42.457,-41.17,-46.358,-44.592,-42.9372
400,-42.955,-45.493,-46.157,-42.459,-43.448,-44.1024
600,-39.994,-40.435,-41.177,-42.079,-42.34,-41.205
800,-35.76,-39.903,-39.505,-36.968,-37.088,-37.844800000000006
1000,-34.381,-35.477,-35.417,-31.814,-34.358,-34.2894
1200,-32.134,-33.144,-33.336,-35.108,-33.469,-33.438199999999995
1400,-33.229,-33.626,-33.983,-33.673,-32.947,-33.4916
1600,-33.442,-30.336,-30.797,-35.818,-33.994,-32.8774
1800,-32.826,-30.62,-30.962,-29.778,-32.508,-31.338800000000003
2000,-30.336,-29.849,-29.744,-32.396,-29.261,-30.317200000000003
2200,-30.232,-26.88,-30.337,-28.22,-28.925,-28.918799999999997
2400,-29.432,-29.714,-29.646,-27.858,-26.218,-28.5736
2600,-28.757,-28.866,-28.337,-28.474,-29.292,-28.7452
2800,-27.881,-28.461,-28.798,-26.971,-26.869,-27.796000000000003
3000,-27.046,-26.857,-27.336,-28.234,-27.2,-27.334600000000002
3200,-25.379,-27.258,-25.936,-25.062,-24.853,-25.6976
3400,-24.705,-26.324,-23.494,-24.488,-22.39,-24.2802
3600,-26.042,-24.821,-24.536,-24.091,-23.454,-24.588800000000003
3800,-23.671,-25.177,-22.54,-22.681,-22.399,-23.2936
4000,-23.68,-24.503,-22.613,-23.079,-23.987,-23.5724
4200,-20.894,-21.749,-20.07,-21.505,-21.299,-21.1034
4400,-22.578,-21.83,-21.433,-21.902,-20.57,-21.662600000000005
4600,-20.974,-21.465,-20.999,-21.018,-20.743,-21.0398
4800,-19.5,-20.357,-21.027,-20.383,-21.153,-20.483999999999998
5000,-20.957,-19.135,-18.445,-17.792,-18.68,-19.001800000000003
5200,-19.533,-20.654,-19.215,-19.546,-19.92,-19.773600000000002
5400,-19.66,-19.638,-17.105,-19.361,-18.949,-18.942600000000002
5600,-18.487,-19.542,-14.573,-18.943,-17.949,-17.8988
5800,-17.96,-18.445,-17.098,-17.129,-16.54,-17.4344
6000,-19.682,-17.167,-16.77,-16.235,-17.553,-17.4814
6200,-16.538,-16.297,-15.994,-16.897,-17.408,-16.6268
6400,-15.299,-16.606,-16.004,-15.551,-18.302,-16.3524
6600,-16.068,-16.487,-16.17,-17.47,-17.414,-16.721799999999998
6800,-15.052,-15.293,-15.499,-14.37,-15.233,-15.089400000000001
7000,-14.601,-14.947,-14.123,-16.957,-15.657,-15.257
7200,-16.765,-15.092,-15.986,-14.196,-14.184,-15.2446
7400,-14.208,-14.594,-15.924,-15.912,-14.09,-14.945599999999999
7600,-15.768,-13.856,-14.144,-15.564,-17.253,-15.317000000000002
7800,-12.269,-13.327,-13.341,-14.982,-13.325,-13.4488
8000,-13.066,-14.109,-13.985,-12.124,-12.495,-13.1558
8200,-12.05,-13.604,-12.462,-15.698,-14.671,-13.697
8400,-12.89,-11.092,-10.99,-13.798,-12.821,-12.318200000000001
8600,-13.179,-12.362,-13.809,-13.56,-13.394,-13.2608
8800,-11.611,-13.177,-13.896,-14.696,-11.41,-12.957999999999998
9000,-11.136,-13.476,-11.413,-11.972,-12.461,-12.091600000000001
9200,-12.826,-13.843,-13.246,-14.457,-13.657,-13.605799999999999
9400,-10.686,-12.583,-12.676,-12.399,-12.406,-12.15
9600,-12.676,-11.722,-10.874,-13.183,-13.033,-12.2976
9800,-12.086,-12.37,-13.131,-12.768,-13.827,-12.836400000000001
10000,-12.015,-12.537,-11.451,-12.163,-13.232,-12.279599999999999
