train_step,avg_return_0,avg_return_1,avg_return_2,avg_return_3,avg_return_4,avg_of_avg_returns
200,-10.63,-10.825,-83.987,-42.513,-15.754,-32.7418
400,-13.823,-9.916,-11.651,-13.21,-13.391,-12.3982
600,-12.17,-12.41,-10.845,-11.482,-11.805,-11.7424
800,-10.288,-9.355,-12.572,-10.33,-11.487,-10.8064
1000,-11.244,-11.245,-10.705,-12.412,-10.211,-11.1634
1200,-10.496,-8.388,-13.621,-12.674,-8.622,-10.760200000000001
1400,-8.65,-8.196,-9.072,-12.503,-10.152,-9.7146
1600,-11.493,-10.163,-10.957,-14.503,-12.306,-11.8844
1800,-8.962,-10.482,-9.47,-13.117,-10.179,-10.442000000000002
2000,-12.697,-9.531,-10.138,-12.102,-15.531,-11.9998
2200,-9.901,-7.76,-9.179,-13.025,-10.203,-10.0136
2400,-12.487,-8.612,-9.243,-13.378,-10.809,-10.9058
2600,-10.966,-8.089,-9.772,-12.996,-9.572,-10.279
2800,-12.771,-9.898,-10.414,-12.909,-9.564,-11.1112
3000,-11.386,-9.382,-10.502,-12.297,-16.087,-11.930800000000001
3200,-12.781,-10.188,-7.366,-10.512,-13.47,-10.8634
3400,-10.741,-8.572,-7.547,-12.502,-7.761,-9.424600000000002
3600,-10.808,-6.41,-9.255,-10.33,-11.397,-9.639999999999999
3800,-8.39,-7.053,-9.215,-10.747,-13.596,-9.8002
4000,-10.572,-8.117,-9.581,-12.295,-8.178,-9.7486
4200,-8.123,-9.14,-11.632,-12.273,-9.49,-10.131599999999999
4400,-9.232,-9.142,-10.423,-11.756,-8.885,-9.887599999999999
4600,-8.948,-9.631,-10.793,-10.566,-11.428,-10.2732
4800,-8.529,-11.476,-9.34,-11.977,-10.525,-10.3694
5000,-9.7,-7.188,-10.123,-11.357,-9.538,-9.581199999999999
5200,-9.041,-7.884,-11.698,-10.63,-11.218,-10.0942
5400,-7.83,-9.757,-11.056,-11.637,-11.019,-10.2598
5600,-8.432,-8.896,-11.376,-10.526,-10.96,-10.038
5800,-8.421,-9.717,-12.006,-11.893,-12.836,-10.974599999999999
6000,-7.168,-9.626,-15.129,-12.104,-10.821,-10.9696
6200,-9.96,-9.775,-11.996,-11.247,-12.751,-11.1458
6400,-10.84,-9.127,-13.99,-10.457,-12.146,-11.312000000000001
6600,-8.304,-10.304,-10.719,-10.722,-12.77,-10.5638
6800,-9.011,-9.865,-9.418,-11.739,-11.816,-10.369800000000001
7000,-8.705,-8.588,-11.797,-11.593,-10.497,-10.236
7200,-9.443,-8.866,-13.023,-11.581,-11.478,-10.8782
7400,-8.186,-8.278,-10.679,-11.99,-10.061,-9.8388
7600,-7.028,-10.621,-13.082,-12.675,-10.388,-10.7588
7800,-7.474,-10.765,-11.319,-11.042,-10.896,-10.2992
8000,-9.269,-13.156,-11.981,-11.27,-9.155,-10.9662
8200,-9.287,-13.16,-11.72,-11.454,-9.681,-11.0604
8400,-9.131,-11.896,-9.957,-10.152,-9.08,-10.0432
8600,-7.791,-11.17,-9.239,-13.065,-9.548,-10.162600000000001
8800,-9.797,-11.001,-10.158,-9.256,-9.665,-9.9754
9000,-7.612,-11.252,-9.255,-7.805,-9.188,-9.022400000000001
9200,-12.213,-10.808,-8.464,-9.645,-7.67,-9.76
9400,-9.104,-10.148,-9.547,-10.952,-10.324,-10.014999999999999
9600,-12.565,-10.979,-9.946,-11.239,-9.126,-10.770999999999999
9800,-10.999,-11.379,-10.499,-11.003,-10.309,-10.8378
10000,-10.4,-10.414,-9.185,-9.404,-8.397,-9.56
