train_step,avg_return_0,avg_return_1,avg_return_2,avg_return_3,avg_return_4,avg_of_avg_returns
200,-13.191,-36.678,-11.402,-9.873,-10.423,-16.3134
400,-9.641,-63.825,-11.609,-18.872,-10.803,-22.95
600,-11.515,-15.674,-10.132,-12.428,-24.32,-14.813799999999997
800,-11.602,-10.75,-11.271,-17.494,-27.281,-15.679599999999999
1000,-23.091,-19.358,-18.666,-11.942,-37.122,-22.0358
1200,-12.283,-9.961,-18.913,-9.222,-16.639,-13.4036
1400,-9.951,-11.925,-10.26,-11.762,-13.499,-11.479400000000002
1600,-7.892,-12.054,-11.346,-11.722,-12.514,-11.1056
1800,-17.358,-11.247,-12.718,-11.212,-14.777,-13.462399999999999
2000,-10.986,-13.717,-36.727,-9.238,-16.621,-17.4578
2200,-11.145,-13.18,-14.406,-13.832,-15.859,-13.6844
2400,-13.647,-14.663,-8.499,-13.874,-21.782,-14.493
2600,-13.336,-10.222,-13.516,-10.495,-12.453,-12.004399999999999
2800,-12.646,-12.467,-10.362,-15.964,-12.442,-12.7762
3000,-10.4,-9.348,-11.839,-10.129,-12.9,-10.9232
3200,-12.178,-11.251,-10.358,-11.367,-14.694,-11.969600000000003
3400,-14.796,-11.634,-11.483,-12.884,-12.494,-12.658199999999999
3600,-10.769,-14.185,-9.797,-11.138,-11.959,-11.5696
3800,-10.853,-9.767,-12.995,-12.017,-13.101,-11.746599999999997
4000,-15.875,-12.67,-13.143,-9.296,-10.98,-12.3928
4200,-13.869,-8.935,-13.087,-11.18,-15.156,-12.445400000000001
4400,-11.406,-10.925,-9.897,-13.71,-10.688,-11.3252
4600,-18.129,-13.624,-8.015,-8.285,-12.229,-12.0564
4800,-11.962,-9.822,-10.012,-9.485,-9.706,-10.197399999999998
5000,-13.84,-14.794,-10.055,-10.118,-8.843,-11.530000000000001
5200,-17.887,-10.026,-9.595,-17.932,-11.726,-13.4332
5400,-15.231,-11.418,-15.48,-20.125,-10.393,-14.5294
5600,-10.85,-8.445,-7.719,-9.535,-11.992,-9.708200000000001
5800,-11.256,-11.656,-13.032,-10.988,-10.327,-11.4518
6000,-10.298,-10.79,-11.781,-9.722,-11.643,-10.8468
6200,-8.037,-14.134,-9.006,-11.533,-9.121,-10.366200000000001
6400,-15.766,-12.274,-10.769,-9.053,-14.436,-12.459599999999998
6600,-12.379,-17.242,-8.451,-12.686,-7.748,-11.7012
6800,-25.561,-14.242,-8.831,-8.503,-10.03,-13.4334
7000,-11.765,-14.354,-9.0,-18.379,-12.486,-13.196800000000001
7200,-15.904,-11.989,-10.152,-48.076,-14.925,-20.209200000000003
7400,-9.108,-24.001,-22.16,-11.297,-8.589,-15.031
7600,-13.069,-14.079,-8.373,-10.357,-11.406,-11.4568
7800,-11.671,-14.524,-8.407,-10.026,-16.382,-12.202000000000002
8000,-12.763,-11.056,-11.486,-9.909,-9.551,-10.953
8200,-14.778,-14.968,-12.435,-8.132,-10.708,-12.2042
8400,-12.491,-11.418,-12.309,-10.415,-10.998,-11.5262
8600,-12.035,-10.738,-9.201,-18.954,-11.136,-12.412799999999999
8800,-8.669,-12.089,-7.225,-14.201,-10.365,-10.509800000000002
9000,-11.701,-8.944,-9.686,-10.866,-10.269,-10.2932
9200,-12.541,-19.302,-10.992,-9.806,-11.087,-12.7456
9400,-12.891,-10.751,-7.96,-8.72,-10.023,-10.068999999999999
9600,-8.877,-13.507,-15.277,-8.149,-9.177,-10.9974
9800,-9.447,-10.183,-10.942,-9.341,-13.785,-10.7396
10000,-10.23,-11.002,-9.618,-12.914,-12.09,-11.1708
