train_step,avg_return_0,avg_return_1,avg_return_2,avg_return_3,avg_return_4,avg_of_avg_returns
1000,-11.351,-19.605,-10.916,-12.537,-30.127,-16.9072
2000,-15.835,-10.91,-11.971,-19.69,-10.551,-13.791400000000001
3000,-15.225,-8.754,-13.951,-10.489,-11.066,-11.897
4000,-11.567,-7.168,-11.363,-11.666,-36.871,-15.726999999999999
5000,-16.269,-12.99,-13.927,-14.151,-13.182,-14.103800000000001
6000,-23.073,-14.929,-11.124,-11.589,-11.725,-14.488
7000,-12.134,-11.08,-11.465,-10.402,-9.677,-10.951600000000001
8000,-16.14,-15.115,-10.001,-11.602,-9.231,-12.417800000000002
9000,-12.817,-19.197,-9.45,-10.075,-10.164,-12.3406
10000,-11.374,-11.027,-10.162,-16.9,-22.134,-14.319400000000002
11000,-9.475,-16.873,-10.806,-11.938,-14.49,-12.7164
12000,-10.806,-10.229,-9.129,-10.837,-13.226,-10.845399999999998
13000,-11.648,-12.771,-24.419,-8.9,-11.316,-13.8108
14000,-21.524,-13.507,-9.024,-7.858,-12.958,-12.9742
15000,-11.418,-13.004,-12.663,-10.104,-14.499,-12.337599999999998
16000,-11.513,-12.223,-12.927,-15.693,-14.032,-13.277599999999998
17000,-9.793,-13.538,-12.815,-12.784,-21.676,-14.121199999999998
18000,-10.222,-20.513,-12.504,-14.656,-9.418,-13.462599999999998
19000,-10.54,-12.963,-11.558,-9.825,-12.545,-11.4862
20000,-12.758,-12.667,-8.005,-9.334,-11.193,-10.7914
21000,-8.501,-14.02,-8.285,-12.576,-12.54,-11.1844
22000,-8.335,-12.21,-8.477,-26.982,-14.027,-14.006200000000002
23000,-9.256,-10.993,-18.299,-10.336,-15.646,-12.906
24000,-10.637,-13.252,-8.852,-17.038,-13.17,-12.5898
25000,-9.125,-11.359,-10.619,-10.094,-14.725,-11.1844
26000,-8.224,-12.696,-13.607,-13.25,-12.703,-12.096
27000,-10.719,-11.309,-9.905,-11.999,-14.033,-11.593
28000,-17.22,-13.236,-15.744,-8.87,-10.388,-13.0916
29000,-12.537,-21.863,-17.014,-10.613,-11.246,-14.654599999999999
30000,-9.832,-14.207,-57.245,-14.42,-9.438,-21.028399999999998
31000,-10.458,-14.773,-11.563,-11.83,-14.148,-12.554400000000001
32000,-11.638,-15.228,-10.59,-9.785,-13.305,-12.1092
33000,-10.648,-10.625,-9.35,-9.882,-9.78,-10.056999999999999
34000,-12.017,-13.155,-19.871,-9.829,-11.534,-13.281199999999998
35000,-9.783,-17.741,-12.353,-13.601,-9.807,-12.657
36000,-10.045,-13.311,-12.328,-12.371,-11.338,-11.8786
37000,-14.999,-13.636,-14.92,-9.308,-18.676,-14.3078
38000,-11.434,-10.654,-13.676,-12.486,-15.114,-12.6728
39000,-11.758,-11.135,-10.919,-9.172,-10.738,-10.744399999999999
40000,-10.782,-13.757,-7.657,-13.797,-15.194,-12.2374
41000,-16.008,-9.928,-8.951,-15.362,-9.147,-11.8792
42000,-14.165,-11.715,-21.124,-10.454,-8.668,-13.225200000000001
43000,-10.592,-11.635,-10.594,-17.634,-14.194,-12.9298
44000,-10.748,-12.157,-11.405,-12.971,-15.035,-12.4632
45000,-13.54,-11.269,-10.33,-14.492,-12.234,-12.373000000000001
46000,-9.471,-10.82,-13.994,-12.649,-10.727,-11.5322
47000,-13.377,-10.388,-10.642,-13.081,-12.712,-12.040000000000001
48000,-12.826,-11.452,-13.441,-16.856,-9.276,-12.770199999999999
49000,-13.662,-9.104,-17.092,-11.913,-9.286,-12.211400000000001
50000,-11.012,-10.383,-23.377,-14.0,-12.604,-14.275200000000002
