train_step,avg_return_0,avg_return_1,avg_return_2,avg_return_3,avg_return_4,avg_of_avg_returns
200,-27.719,-11.633,-9.333,-13.815,-14.675,-15.434999999999999
400,-22.016,-12.648,-12.098,-10.077,-10.781,-13.524000000000001
600,-24.372,-12.016,-12.274,-34.982,-13.15,-19.358800000000002
800,-11.45,-14.687,-13.746,-12.644,-8.63,-12.2314
1000,-16.172,-9.564,-12.005,-10.875,-11.849,-12.093
1200,-11.84,-13.47,-10.292,-12.313,-9.524,-11.487800000000002
1400,-13.255,-11.927,-13.347,-12.002,-9.769,-12.06
1600,-11.877,-9.192,-10.782,-9.044,-11.884,-10.555800000000001
1800,-12.762,-18.136,-13.581,-10.703,-10.892,-13.2148
2000,-9.638,-13.29,-10.612,-8.512,-11.454,-10.7012
2200,-12.216,-11.392,-11.937,-8.916,-12.642,-11.420599999999999
2400,-12.873,-61.688,-10.568,-12.953,-10.76,-21.768400000000003
2600,-14.423,-9.749,-14.156,-11.747,-10.006,-12.016200000000001
2800,-12.6,-11.979,-11.467,-13.682,-11.66,-12.277600000000001
3000,-11.007,-13.141,-15.024,-16.419,-8.657,-12.849599999999999
3200,-12.182,-9.808,-13.161,-10.953,-14.235,-12.0678
3400,-10.966,-8.647,-12.372,-13.267,-13.567,-11.7638
3600,-13.533,-12.564,-13.998,-10.752,-12.203,-12.61
3800,-12.667,-12.208,-10.65,-10.773,-10.003,-11.260200000000001
4000,-10.557,-9.88,-8.707,-12.572,-29.938,-14.3308
4200,-10.889,-11.483,-11.503,-10.302,-17.509,-12.3372
4400,-11.42,-8.984,-10.494,-12.409,-17.174,-12.0962
4600,-10.994,-10.296,-12.229,-10.17,-14.793,-11.6964
4800,-9.019,-8.739,-12.461,-10.546,-9.927,-10.1384
5000,-9.395,-11.917,-11.528,-14.974,-11.228,-11.808399999999999
5200,-12.527,-8.874,-13.118,-9.288,-20.426,-12.8466
5400,-10.42,-10.841,-11.339,-11.528,-9.525,-10.730599999999999
5600,-13.432,-10.19,-11.57,-12.026,-9.647,-11.373000000000001
5800,-41.29,-13.954,-10.101,-12.036,-8.254,-17.127000000000002
6000,-12.496,-11.172,-11.34,-8.146,-6.368,-9.904399999999999
6200,-11.874,-14.536,-18.885,-9.626,-8.214,-12.626999999999999
6400,-19.215,-14.003,-10.963,-9.475,-8.641,-12.4594
6600,-10.13,-14.254,-10.216,-13.595,-10.118,-11.662600000000001
6800,-11.339,-11.568,-8.776,-9.296,-8.973,-9.9904
7000,-10.735,-9.171,-12.753,-12.01,-9.354,-10.804599999999999
7200,-12.002,-10.09,-8.596,-11.77,-12.981,-11.0878
7400,-12.123,-9.704,-13.164,-9.624,-11.963,-11.3156
7600,-10.157,-11.978,-9.939,-11.055,-10.781,-10.782
7800,-12.046,-8.911,-11.253,-10.096,-12.5,-10.9612
8000,-8.814,-11.337,-21.413,-11.224,-10.22,-12.6016
8200,-9.706,-10.69,-17.235,-13.958,-8.942,-12.1062
8400,-11.81,-6.822,-11.975,-16.304,-10.374,-11.457
8600,-10.681,-8.674,-11.159,-11.186,-10.571,-10.454199999999998
8800,-10.511,-9.573,-9.919,-9.917,-10.785,-10.141
9000,-10.541,-13.785,-11.542,-12.587,-9.442,-11.5794
9200,-7.992,-12.903,-16.818,-9.402,-12.226,-11.8682
9400,-8.653,-10.456,-13.919,-12.435,-9.149,-10.922400000000001
9600,-10.854,-11.193,-12.552,-11.551,-9.398,-11.1096
9800,-10.547,-13.477,-9.057,-12.038,-11.547,-11.3332
10000,-11.231,-12.451,-10.74,-11.369,-16.835,-12.525200000000002
