train_step,avg_return_0,avg_return_1,avg_return_2,avg_return_3,avg_return_4,avg_of_avg_returns
200,-43.698,-13.517,-61.802,-27.283,-30.853,-35.430600000000005
400,-13.642,-13.6,-22.749,-35.907,-36.639,-24.5074
600,-23.465,-13.787,-37.92,-45.108,-12.676,-26.591199999999997
800,-16.892,-10.025,-13.551,-11.714,-19.4,-14.316399999999998
1000,-74.118,-14.128,-15.401,-34.563,-10.569,-29.755799999999994
1200,-18.985,-11.472,-11.372,-8.339,-12.555,-12.544599999999999
1400,-31.494,-12.212,-15.321,-31.257,-17.576,-21.572000000000003
1600,-19.077,-13.081,-11.656,-14.681,-9.12,-13.523
1800,-27.109,-11.412,-13.685,-18.213,-11.347,-16.3532
2000,-8.973,-13.485,-10.306,-21.83,-31.276,-17.174
2200,-18.386,-22.745,-13.112,-12.057,-14.407,-16.141399999999997
2400,-14.771,-11.634,-10.455,-14.723,-15.769,-13.470400000000001
2600,-28.437,-18.454,-13.521,-12.684,-13.613,-17.3418
2800,-13.867,-10.834,-20.836,-15.535,-14.978,-15.209999999999999
3000,-13.679,-11.766,-13.75,-16.589,-10.82,-13.3208
3200,-26.181,-13.315,-11.772,-25.634,-12.332,-17.8468
3400,-14.489,-14.659,-26.705,-12.312,-11.725,-15.978
3600,-27.108,-11.993,-11.124,-19.558,-9.724,-15.9014
3800,-14.5,-10.812,-14.299,-11.679,-15.998,-13.4576
4000,-10.554,-15.575,-9.36,-13.567,-9.703,-11.7518
4200,-11.863,-14.265,-8.841,-21.316,-11.406,-13.5382
4400,-12.883,-14.563,-17.851,-15.446,-13.629,-14.8744
4600,-19.96,-14.093,-15.376,-23.228,-10.068,-16.544999999999998
4800,-18.673,-23.358,-9.102,-9.69,-9.745,-14.1136
5000,-10.784,-14.033,-10.462,-20.102,-13.546,-13.7854
5200,-16.018,-13.178,-9.179,-14.136,-12.42,-12.9862
5400,-11.753,-19.392,-10.284,-12.928,-12.821,-13.435599999999999
5600,-24.311,-16.099,-10.411,-15.247,-11.728,-15.559199999999999
5800,-17.577,-19.41,-11.615,-17.323,-11.472,-15.479400000000002
6000,-10.256,-12.709,-10.313,-18.694,-14.154,-13.225199999999997
6200,-15.798,-11.505,-10.682,-13.217,-11.605,-12.5614
6400,-8.708,-17.051,-9.732,-11.709,-12.525,-11.945
6600,-10.686,-15.12,-10.12,-13.694,-10.256,-11.9752
6800,-11.447,-10.645,-18.662,-9.862,-14.522,-13.027600000000001
7000,-11.141,-11.948,-11.923,-11.489,-14.685,-12.237200000000001
7200,-17.952,-11.962,-7.595,-16.583,-10.018,-12.822
7400,-25.341,-13.64,-9.67,-10.932,-15.07,-14.930600000000002
7600,-17.054,-15.755,-10.695,-12.409,-12.11,-13.6046
7800,-10.601,-15.833,-13.417,-13.746,-12.087,-13.1368
8000,-12.593,-20.378,-14.497,-14.652,-13.281,-15.080200000000001
8200,-35.377,-8.989,-20.868,-9.585,-10.923,-17.1484
8400,-26.149,-12.301,-17.393,-16.468,-11.916,-16.8454
8600,-11.603,-10.926,-12.355,-15.287,-9.695,-11.9732
8800,-16.69,-9.552,-12.402,-11.792,-12.974,-12.681999999999999
9000,-13.168,-14.43,-8.373,-22.953,-23.483,-16.4814
9200,-12.618,-17.887,-9.668,-15.63,-14.902,-14.141
9400,-10.557,-9.37,-13.842,-13.018,-10.361,-11.429599999999999
9600,-13.309,-14.185,-9.566,-16.672,-14.267,-13.599799999999998
9800,-22.565,-13.494,-11.377,-14.191,-11.479,-14.621199999999998
10000,-27.863,-16.852,-17.647,-9.838,-13.915,-17.223000000000003
