train_step,avg_return_0,avg_return_1,avg_return_2,avg_return_3,avg_return_4,avg_of_avg_returns
2,-99.589,-14.248,-68.344,-61.15,-105.937,-69.8536
4,-79.613,-27.443,-28.556,-45.3,-59.191,-48.020599999999995
6,-35.966,-14.267,-20.765,-9.539,-19.961,-20.099600000000002
8,-13.09,-14.134,-10.325,-8.39,-33.405,-15.868799999999998
10,-11.039,-13.159,-11.694,-9.773,-16.717,-12.476400000000002
12,-11.603,-13.374,-13.656,-12.1,-13.044,-12.7554
14,-12.743,-13.797,-15.095,-9.621,-14.066,-13.064400000000001
16,-9.555,-14.927,-11.072,-12.808,-14.19,-12.5104
18,-12.654,-15.028,-12.216,-7.2,-12.252,-11.870000000000001
20,-13.344,-12.57,-10.42,-10.512,-11.818,-11.732800000000001
22,-12.641,-12.659,-10.213,-12.242,-13.141,-12.179199999999998
24,-13.507,-11.826,-13.015,-10.928,-9.958,-11.846799999999998
26,-11.816,-13.164,-14.584,-13.324,-8.63,-12.3036
28,-10.172,-14.004,-14.07,-9.874,-9.957,-11.615400000000001
30,-11.639,-10.058,-11.325,-11.838,-9.727,-10.9174
32,-13.141,-9.944,-10.691,-11.349,-13.44,-11.713
34,-13.479,-9.85,-10.57,-12.439,-11.108,-11.4892
36,-9.352,-12.648,-12.342,-9.818,-10.739,-10.979800000000001
38,-11.917,-12.52,-11.538,-11.357,-10.741,-11.6146
40,-9.331,-10.819,-10.766,-13.709,-11.142,-11.1534
42,-12.318,-10.365,-12.198,-12.593,-11.154,-11.7256
44,-11.734,-14.089,-9.96,-12.441,-12.421,-12.129000000000001
46,-12.277,-12.796,-12.924,-13.088,-11.874,-12.591800000000001
48,-8.938,-15.498,-13.126,-10.418,-12.381,-12.072199999999999
50,-14.236,-8.462,-12.697,-11.363,-10.96,-11.5436
52,-13.197,-11.054,-10.039,-10.862,-11.017,-11.233799999999999
54,-10.709,-12.894,-12.139,-9.854,-13.917,-11.902600000000001
56,-12.142,-13.311,-12.268,-11.672,-11.309,-12.1404
58,-11.411,-8.586,-9.459,-16.528,-12.736,-11.744
60,-9.424,-10.258,-12.926,-11.497,-13.424,-11.505799999999999
62,-11.988,-12.941,-12.212,-11.909,-11.4,-12.09
64,-9.831,-11.409,-13.315,-12.032,-11.306,-11.5786
66,-11.206,-13.724,-13.118,-11.807,-9.994,-11.969800000000001
68,-11.221,-11.344,-12.29,-9.645,-11.624,-11.2248
70,-9.941,-11.748,-9.606,-12.348,-11.965,-11.1216
72,-8.137,-10.573,-10.6,-10.603,-13.405,-10.6636
74,-12.857,-11.323,-19.862,-10.194,-11.826,-13.212400000000002
76,-10.85,-10.642,-50.645,-9.556,-12.068,-18.7522
78,-13.807,-11.05,-62.028,-11.956,-13.153,-22.3988
80,-12.747,-13.467,-40.015,-12.612,-11.708,-18.1098
82,-14.78,-13.538,-56.332,-12.567,-13.942,-22.231800000000003
84,-12.092,-12.494,-49.228,-10.169,-13.686,-19.533799999999996
86,-10.562,-14.431,-44.82,-14.424,-11.929,-19.2332
88,-18.803,-12.969,-14.025,-9.318,-13.914,-13.8058
90,-37.085,-10.812,-11.915,-11.685,-11.893,-16.678
92,-47.161,-11.66,-12.14,-12.238,-11.287,-18.8972
94,-30.709,-10.994,-14.039,-11.26,-13.149,-16.0302
96,-13.104,-12.169,-11.6,-9.89,-11.034,-11.5594
98,-12.557,-12.432,-9.7,-10.66,-16.297,-12.3292
100,-11.867,-11.116,-12.196,-11.17,-12.05,-11.6798
