train_step,avg_return_0,avg_return_1,avg_return_2,avg_return_3,avg_return_4,avg_of_avg_returns
20,-9.015,-11.059,-11.874,-10.893,-11.864,-10.940999999999999
40,-12.514,-8.204,-13.781,-11.225,-15.156,-12.176
60,-14.52,-8.464,-11.761,-11.895,-12.371,-11.802200000000001
80,-13.469,-9.237,-13.905,-11.854,-15.237,-12.7404
100,-13.891,-13.747,-12.448,-10.427,-12.674,-12.6374
120,-12.174,-11.022,-13.201,-12.509,-10.464,-11.873999999999999
140,-13.184,-11.613,-13.714,-13.098,-11.621,-12.645999999999999
160,-10.869,-11.783,-11.329,-11.457,-61.118,-21.311200000000003
180,-11.859,-10.949,-14.263,-12.165,-10.699,-11.986999999999998
200,-11.715,-9.882,-11.834,-10.215,-12.168,-11.1628
220,-12.103,-9.269,-10.168,-12.184,-11.703,-11.085399999999998
240,-14.386,-13.262,-12.429,-11.333,-21.829,-14.6478
260,-10.54,-11.696,-9.805,-13.026,-14.774,-11.9682
280,-11.878,-58.385,-13.291,-10.701,-13.487,-21.548399999999997
300,-11.759,-10.764,-10.559,-21.776,-13.959,-13.7634
320,-8.714,-12.041,-13.432,-11.914,-13.74,-11.968200000000001
340,-58.232,-11.801,-13.182,-11.754,-10.894,-21.172600000000003
360,-11.744,-12.291,-11.186,-11.585,-18.715,-13.1042
380,-10.932,-10.885,-11.591,-9.875,-19.381,-12.5328
400,-11.01,-13.68,-10.409,-33.082,-10.786,-15.7934
420,-11.16,-11.785,-10.586,-10.663,-13.498,-11.5384
440,-10.149,-12.985,-26.053,-11.907,-14.921,-15.202999999999998
460,-13.209,-8.736,-12.173,-41.054,-11.585,-17.3514
480,-15.566,-11.575,-9.83,-9.088,-9.437,-11.0992
500,-9.909,-14.39,-11.963,-10.908,-11.996,-11.833200000000001
520,-12.322,-9.951,-9.105,-16.528,-18.522,-13.285599999999999
540,-16.147,-15.148,-22.086,-12.764,-10.162,-15.2614
560,-11.18,-11.2,-13.388,-14.043,-11.902,-12.342600000000001
580,-14.974,-11.353,-9.433,-10.749,-16.224,-12.546600000000002
600,-12.744,-10.643,-9.9,-11.139,-14.332,-11.7516
620,-13.267,-10.642,-13.399,-10.649,-57.364,-21.0642
640,-12.417,-13.812,-11.039,-11.77,-15.104,-12.828399999999998
660,-17.297,-11.648,-14.713,-15.23,-13.028,-14.383200000000002
680,-15.216,-22.001,-9.558,-11.727,-12.752,-14.250799999999998
700,-14.689,-15.834,-10.244,-60.067,-14.211,-23.009
720,-18.691,-87.218,-15.562,-12.352,-12.465,-29.257600000000004
740,-12.298,-12.6,-13.618,-10.112,-14.096,-12.5448
760,-14.534,-11.468,-12.04,-15.261,-13.486,-13.357800000000001
780,-13.8,-11.847,-11.638,-14.241,-11.385,-12.582199999999998
800,-13.778,-43.689,-14.133,-10.62,-10.251,-18.4942
820,-15.605,-18.345,-9.381,-10.611,-16.708,-14.13
840,-14.312,-17.082,-10.777,-13.23,-12.368,-13.553799999999999
860,-10.081,-12.941,-9.864,-12.017,-15.809,-12.142399999999999
880,-16.281,-13.088,-11.327,-48.008,-10.177,-19.7762
900,-13.374,-19.393,-10.417,-9.581,-11.428,-12.8386
920,-12.348,-12.735,-11.66,-13.153,-21.756,-14.330399999999997
940,-11.59,-15.092,-9.986,-12.986,-11.643,-12.259400000000003
960,-51.845,-12.265,-10.25,-17.401,-9.541,-20.260399999999997
980,-9.087,-12.491,-20.208,-11.699,-10.86,-12.869
1000,-26.175,-56.813,-13.515,-12.871,-13.342,-24.5432
