train_step,avg_return_0,avg_return_1,avg_return_2,avg_return_3,avg_return_4,avg_of_avg_returns
200,-30.282,-34.827,-27.757,-11.525,-19.907,-24.8596
400,-33.45,-42.884,-15.091,-12.092,-13.46,-23.395400000000002
600,-16.447,-102.051,-13.662,-12.351,-33.284,-35.559
800,-40.947,-44.029,-50.524,-30.987,-24.263,-38.15
1000,-12.98,-28.928,-12.418,-17.452,-21.339,-18.6234
1200,-32.406,-105.119,-16.68,-12.968,-16.355,-36.7056
1400,-12.47,-41.004,-12.197,-18.735,-30.693,-23.019799999999996
1600,-13.29,-12.481,-14.995,-45.796,-27.225,-22.7574
1800,-11.604,-82.597,-14.825,-26.377,-31.251,-33.330799999999996
2000,-13.345,-14.213,-12.176,-17.397,-62.049,-23.836000000000002
2200,-40.649,-17.188,-21.431,-14.414,-11.3,-20.9964
2400,-22.258,-35.04,-12.017,-11.062,-14.465,-18.9684
2600,-26.561,-28.043,-17.031,-72.869,-28.258,-34.5524
2800,-93.385,-19.925,-12.023,-11.5,-29.343,-33.2352
3000,-12.434,-13.325,-14.101,-30.038,-18.198,-17.6192
3200,-11.091,-36.84,-14.014,-19.023,-13.764,-18.9464
3400,-16.856,-10.446,-40.006,-27.355,-19.206,-22.7738
3600,-11.041,-18.978,-13.419,-22.199,-23.462,-17.8198
3800,-14.684,-67.418,-34.703,-31.788,-27.611,-35.2408
4000,-12.82,-13.524,-13.214,-46.639,-33.336,-23.9066
4200,-14.262,-9.605,-31.048,-17.888,-43.999,-23.3604
4400,-7.992,-16.278,-10.929,-24.09,-14.223,-14.7024
4600,-35.906,-15.348,-13.178,-18.019,-16.104,-19.711
4800,-21.202,-14.896,-20.462,-71.378,-23.094,-30.206400000000002
5000,-11.242,-29.858,-12.094,-59.517,-9.384,-24.419000000000004
5200,-10.483,-29.144,-10.674,-10.972,-35.395,-19.3336
5400,-10.14,-18.329,-23.516,-25.529,-21.913,-19.885399999999997
5600,-28.612,-16.786,-22.874,-26.814,-32.004,-25.417999999999996
5800,-22.738,-10.112,-17.598,-27.495,-21.274,-19.8434
6000,-15.231,-9.91,-12.703,-64.92,-38.42,-28.2368
6200,-12.421,-20.602,-10.8,-13.674,-34.525,-18.4044
6400,-24.101,-23.941,-13.24,-17.439,-41.295,-24.0032
6600,-29.204,-15.421,-23.155,-22.653,-30.598,-24.2062
6800,-15.862,-24.435,-54.714,-17.036,-19.568,-26.323
7000,-23.004,-11.454,-23.907,-11.659,-32.832,-20.571199999999997
7200,-17.612,-55.831,-18.778,-8.461,-61.148,-32.366
7400,-13.419,-29.876,-9.854,-12.256,-10.678,-15.2166
7600,-42.053,-71.605,-28.313,-12.857,-16.245,-34.214600000000004
7800,-16.864,-22.954,-14.702,-9.011,-16.58,-16.022199999999998
8000,-15.231,-54.168,-18.189,-13.362,-14.803,-23.150599999999997
8200,-14.912,-20.747,-18.562,-32.139,-13.514,-19.974800000000002
8400,-22.132,-36.048,-12.029,-11.404,-33.711,-23.064799999999998
8600,-30.506,-24.414,-13.848,-19.569,-15.335,-20.7344
8800,-23.759,-79.873,-10.202,-19.723,-9.968,-28.705000000000002
9000,-12.531,-10.475,-15.032,-27.616,-13.042,-15.7392
9200,-16.925,-10.962,-57.325,-13.8,-17.08,-23.2184
9400,-14.906,-12.91,-14.912,-12.235,-48.551,-20.702800000000003
9600,-34.581,-14.926,-21.715,-12.209,-14.066,-19.4994
9800,-12.792,-15.713,-13.363,-8.749,-16.815,-13.4864
10000,-24.776,-23.208,-16.012,-13.093,-12.413,-17.900399999999998
