train_step,avg_return_0,avg_return_1,avg_return_2,avg_return_3,avg_return_4,avg_of_avg_returns
1000,-15.562,-22.199,-16.402,-16.042,-12.026,-16.4462
2000,-16.716,-33.243,-16.509,-18.973,-33.437,-23.7756
3000,-17.439,-75.034,-16.656,-23.412,-12.767,-29.061600000000006
4000,-16.436,-32.181,-16.381,-37.671,-27.154,-25.964599999999997
5000,-17.152,-50.757,-13.689,-63.807,-17.499,-32.580799999999996
6000,-19.801,-36.681,-101.524,-37.221,-13.858,-41.817
7000,-18.742,-61.611,-60.594,-38.978,-10.952,-38.1754
8000,-14.775,-26.618,-39.19,-23.023,-17.599,-24.241
9000,-16.419,-26.419,-21.847,-25.813,-31.634,-24.4264
10000,-16.242,-76.322,-78.766,-106.409,-34.85,-62.51780000000001
11000,-16.547,-56.84,-52.532,-77.979,-58.245,-52.428599999999996
12000,-12.313,-50.66,-70.116,-24.549,-63.466,-44.220800000000004
13000,-16.663,-35.344,-82.304,-71.265,-93.455,-59.806200000000004
14000,-18.092,-61.834,-93.962,-68.287,-78.486,-64.1322
15000,-15.603,-40.295,-95.259,-32.768,-60.854,-48.955799999999996
16000,-14.88,-26.135,-65.796,-63.57,-35.31,-41.1382
17000,-15.781,-89.631,-50.681,-56.688,-67.675,-56.0912
18000,-18.479,-85.581,-51.512,-47.247,-41.053,-48.7744
19000,-12.47,-84.791,-28.318,-66.99,-92.691,-57.052
20000,-16.503,-83.673,-42.985,-48.373,-68.754,-52.0576
21000,-13.544,-95.306,-63.688,-64.961,-49.661,-57.432
22000,-13.971,-52.064,-39.619,-53.982,-74.02,-46.7312
23000,-12.278,-81.319,-69.424,-77.792,-17.661,-51.69480000000001
24000,-14.903,-99.243,-70.264,-40.703,-38.617,-52.746
25000,-19.494,-60.437,-33.469,-89.762,-68.351,-54.302600000000005
26000,-14.979,-38.964,-60.875,-73.286,-61.55,-49.9308
27000,-14.732,-59.97,-67.269,-99.227,-52.914,-58.8224
28000,-11.927,-43.133,-31.459,-62.952,-57.179,-41.33
29000,-8.037,-29.045,-48.079,-103.378,-12.076,-40.123
30000,-96.126,-32.478,-20.828,-105.436,-77.396,-66.4528
31000,-65.483,-43.103,-33.943,-86.805,-37.363,-53.3394
32000,-63.124,-59.084,-70.356,-70.167,-52.274,-63.001
33000,-23.878,-49.64,-73.674,-66.365,-57.72,-54.25540000000001
34000,-56.802,-79.965,-60.35,-74.996,-61.229,-66.66839999999999
35000,-33.043,-42.844,-62.736,-62.063,-62.523,-52.6418
36000,-43.944,-42.878,-32.589,-99.687,-39.345,-51.688599999999994
37000,-61.086,-52.753,-42.505,-82.151,-42.06,-56.111000000000004
38000,-50.802,-56.659,-8.486,-40.124,-43.744,-39.963
39000,-54.119,-38.852,-63.65,-64.561,-41.39,-52.5144
40000,-43.443,-48.323,-28.353,-59.927,-28.053,-41.6198
41000,-52.756,-43.017,-37.512,-59.395,-42.968,-47.1296
42000,-52.413,-32.984,-71.016,-51.411,-64.236,-54.412
43000,-20.586,-59.579,-63.401,-63.515,-55.829,-52.58200000000001
44000,-21.398,-57.298,-57.335,-46.482,-62.915,-49.0856
45000,-47.408,-21.469,-52.806,-49.997,-73.844,-49.1048
46000,-22.739,-96.331,-67.617,-98.96,-68.568,-70.84299999999999
47000,-24.711,-82.55,-43.536,-71.675,-57.226,-55.9396
48000,-31.847,-65.114,-44.138,-71.284,-58.815,-54.23960000000001
49000,-38.383,-45.714,-49.171,-51.753,-56.21,-48.2462
50000,-32.668,-35.517,-60.503,-39.432,-62.865,-46.197
