train_step,avg_return_0,avg_return_1,avg_return_2,avg_return_3,avg_return_4,avg_of_avg_returns
2,-24.849,-54.213,-61.231,-12.887,-61.764,-42.988800000000005
4,-17.646,-20.921,-60.803,-12.001,-61.214,-34.517
6,-15.293,-18.07,-60.178,-11.331,-14.069,-23.7882
8,-11.943,-13.173,-60.601,-14.849,-20.926,-24.2984
10,-12.452,-13.37,-61.423,-11.899,-28.97,-25.6228
12,-11.628,-9.907,-61.304,-12.045,-52.078,-29.3924
14,-12.06,-10.463,-47.193,-8.846,-34.007,-22.513799999999996
16,-11.253,-11.134,-45.185,-10.198,-15.011,-18.5562
18,-15.691,-13.961,-15.671,-11.38,-12.955,-13.9316
20,-17.464,-14.761,-12.702,-11.899,-14.706,-14.3064
22,-18.097,-18.892,-10.328,-13.966,-10.573,-14.371200000000002
24,-34.831,-25.337,-12.33,-13.129,-10.113,-19.148000000000003
26,-28.568,-24.15,-21.331,-12.071,-11.039,-19.431800000000003
28,-11.79,-19.395,-33.345,-11.28,-10.995,-17.361
30,-12.547,-22.901,-24.782,-13.614,-8.129,-16.394600000000004
32,-12.085,-45.375,-12.711,-10.999,-11.542,-18.5424
34,-10.273,-24.305,-10.472,-15.051,-9.408,-13.9018
36,-13.561,-9.049,-10.803,-12.143,-10.996,-11.3104
38,-37.323,-13.166,-47.872,-9.978,-31.205,-27.908799999999996
40,-51.366,-8.625,-53.553,-12.442,-54.37,-36.0712
42,-47.561,-10.121,-55.478,-9.785,-40.728,-32.7346
44,-44.894,-10.145,-62.222,-12.349,-11.811,-28.2842
46,-46.572,-12.92,-24.325,-12.746,-10.647,-21.442
48,-52.884,-9.711,-25.618,-13.215,-13.537,-22.993000000000002
50,-57.446,-11.63,-51.463,-11.9,-10.008,-28.4894
52,-59.126,-11.654,-61.236,-11.446,-12.218,-31.135999999999996
54,-68.538,-12.214,-88.998,-13.669,-14.359,-39.555600000000005
56,-59.349,-11.911,-109.404,-10.688,-12.145,-40.6994
58,-54.626,-10.583,-90.786,-13.35,-11.29,-36.126999999999995
60,-55.661,-11.732,-92.392,-13.08,-11.059,-36.784800000000004
62,-55.038,-12.351,-99.444,-12.174,-11.131,-38.0276
64,-36.132,-11.707,-65.026,-9.805,-10.785,-26.690999999999995
66,-50.333,-14.088,-62.816,-9.698,-12.541,-29.8952
68,-55.031,-12.807,-50.856,-10.16,-14.101,-28.590999999999998
70,-55.922,-10.717,-16.428,-13.589,-55.061,-30.343399999999995
72,-43.392,-11.825,-12.258,-10.218,-59.223,-27.3832
74,-25.169,-13.34,-12.45,-13.99,-62.091,-25.407999999999998
76,-21.283,-9.684,-11.515,-12.442,-62.342,-23.4532
78,-24.873,-23.222,-12.742,-12.853,-61.706,-27.079200000000004
80,-17.556,-96.305,-9.889,-9.545,-62.292,-39.117399999999996
82,-11.572,-110.623,-11.91,-12.228,-20.311,-33.32880000000001
84,-10.476,-110.649,-11.738,-13.161,-12.533,-31.711399999999998
86,-13.646,-69.817,-11.576,-9.931,-10.786,-23.151199999999996
88,-69.865,-61.739,-11.022,-11.204,-13.034,-33.3728
90,-98.2,-61.846,-9.847,-10.851,-10.631,-38.275
92,-107.645,-12.293,-11.83,-12.415,-13.046,-31.4458
94,-107.41,-12.334,-9.77,-11.556,-11.097,-30.433400000000006
96,-99.011,-13.233,-12.738,-12.278,-12.866,-30.025199999999995
98,-47.702,-9.211,-13.523,-10.514,-11.489,-18.4878
100,-18.048,-12.537,-10.275,-12.854,-11.846,-13.112
