train_step,avg_return_0,avg_return_1,avg_return_2,avg_return_3,avg_return_4,avg_of_avg_returns
200,-12.346,-7.937,-13.675,-13.519,-11.369,-11.7692
400,-10.929,-10.478,-11.935,-12.433,-12.203,-11.5956
600,-22.926,-11.276,-11.196,-11.658,-10.744,-13.559999999999999
800,-35.756,-22.016,-12.658,-9.777,-16.556,-19.3526
1000,-11.873,-19.478,-46.392,-31.993,-46.798,-31.3068
1200,-10.142,-19.552,-100.139,-13.47,-11.647,-30.99
1400,-61.357,-35.925,-27.38,-14.484,-16.392,-31.107599999999998
1600,-18.919,-13.576,-9.99,-12.543,-10.464,-13.098400000000002
1800,-25.345,-21.175,-60.845,-15.406,-26.712,-29.8966
2000,-37.691,-19.941,-13.192,-28.718,-53.833,-30.675
2200,-10.001,-18.154,-42.306,-14.202,-12.036,-19.3398
2400,-26.289,-13.566,-22.824,-16.931,-13.337,-18.5894
2600,-12.626,-12.719,-46.498,-14.163,-11.146,-19.4304
2800,-18.283,-16.824,-83.763,-59.15,-17.801,-39.1642
3000,-21.788,-11.605,-22.776,-61.731,-43.002,-32.180400000000006
3200,-15.709,-11.352,-34.665,-96.903,-16.309,-34.9876
3400,-18.357,-11.982,-15.773,-60.823,-15.898,-24.5666
3600,-25.698,-15.94,-11.58,-60.513,-16.141,-25.974399999999996
3800,-19.101,-19.28,-17.891,-12.756,-14.931,-16.7918
4000,-11.752,-18.298,-9.327,-60.245,-10.551,-22.034599999999998
4200,-20.19,-12.742,-14.614,-61.918,-14.29,-24.750799999999998
4400,-25.574,-12.499,-13.158,-61.356,-12.317,-24.9808
4600,-21.304,-16.359,-11.1,-59.981,-11.389,-24.0266
4800,-11.826,-14.416,-14.962,-100.06,-11.237,-30.5002
5000,-20.963,-14.425,-11.476,-58.914,-11.568,-23.4692
5200,-11.406,-16.958,-10.755,-60.24,-11.844,-22.2406
5400,-19.477,-14.952,-12.527,-61.305,-11.864,-24.025
5600,-13.14,-11.16,-11.275,-61.072,-11.885,-21.706400000000002
5800,-17.277,-12.252,-11.395,-61.046,-9.017,-22.1974
6000,-19.696,-18.464,-12.399,-96.409,-12.509,-31.895400000000006
6200,-19.979,-15.861,-12.138,-61.924,-11.454,-24.2712
6400,-17.59,-12.794,-13.602,-66.11,-12.428,-24.5048
6600,-16.057,-14.2,-11.359,-101.498,-11.493,-30.9214
6800,-21.185,-15.615,-10.731,-102.501,-11.341,-32.27460000000001
7000,-10.844,-12.325,-11.808,-59.608,-12.659,-21.4488
7200,-12.511,-12.275,-12.164,-10.254,-10.018,-11.4444
7400,-8.68,-11.771,-9.927,-102.708,-12.788,-29.174800000000005
7600,-10.593,-18.039,-11.482,-63.533,-11.18,-22.9654
7800,-10.311,-29.731,-8.961,-71.74,-11.849,-26.518399999999996
8000,-12.006,-11.328,-11.158,-64.187,-9.932,-21.7222
8200,-13.61,-11.571,-11.186,-84.683,-11.877,-26.585400000000003
8400,-11.097,-14.332,-29.371,-65.713,-12.725,-26.6476
8600,-9.71,-15.282,-44.191,-72.894,-12.444,-30.904199999999996
8800,-12.382,-14.668,-12.039,-69.318,-11.175,-23.9164
9000,-11.224,-20.784,-14.297,-60.476,-9.525,-23.2612
9200,-9.351,-12.673,-22.798,-67.529,-12.429,-24.956
9400,-10.309,-19.118,-15.267,-71.257,-12.391,-25.668400000000002
9600,-25.316,-13.14,-9.848,-73.982,-10.827,-26.6226
9800,-20.548,-13.045,-22.552,-70.729,-13.729,-28.120600000000003
10000,-13.169,-10.515,-12.726,-23.042,-13.445,-14.579400000000001
