train_step,avg_return_0,avg_return_1,avg_return_2,avg_return_3,avg_return_4,avg_of_avg_returns
1000,-22.099,-24.62,-26.451,-12.74,-22.636,-21.7092
2000,-20.827,-23.958,-12.623,-24.793,-33.626,-23.165399999999998
3000,-20.292,-11.563,-17.986,-23.355,-17.653,-18.169800000000002
4000,-11.293,-14.481,-12.34,-15.02,-11.712,-12.9692
5000,-29.04,-9.114,-18.011,-20.188,-10.524,-17.3754
6000,-31.916,-12.03,-39.328,-16.396,-12.704,-22.4748
7000,-12.348,-13.595,-11.353,-21.069,-10.811,-13.835199999999997
8000,-12.603,-14.806,-10.493,-18.124,-14.777,-14.160599999999999
9000,-18.514,-19.836,-12.348,-11.36,-17.456,-15.9028
10000,-13.597,-11.721,-14.999,-18.602,-20.229,-15.8296
11000,-18.402,-12.23,-26.381,-16.826,-23.458,-19.4594
12000,-12.66,-18.338,-58.501,-15.466,-13.003,-23.5936
13000,-12.735,-26.014,-37.302,-14.467,-14.617,-21.026999999999997
14000,-20.042,-62.581,-71.513,-18.191,-17.933,-38.05200000000001
15000,-21.783,-30.59,-67.579,-14.625,-14.179,-29.7512
16000,-25.236,-67.101,-40.011,-12.144,-11.547,-31.207800000000002
17000,-12.273,-73.65,-46.228,-24.032,-24.776,-36.19180000000001
18000,-15.229,-91.972,-40.262,-12.949,-12.741,-34.6306
19000,-19.834,-80.639,-108.462,-15.773,-14.793,-47.9002
20000,-21.464,-76.512,-57.769,-13.25,-12.327,-36.2644
21000,-14.257,-86.37,-100.864,-24.512,-10.83,-47.366600000000005
22000,-22.658,-73.371,-67.011,-17.367,-11.063,-38.294
23000,-46.531,-92.958,-61.721,-16.283,-9.528,-45.404199999999996
24000,-62.236,-62.242,-61.159,-17.655,-10.578,-42.774
25000,-26.585,-65.342,-44.206,-12.073,-16.933,-33.0278
26000,-30.519,-67.569,-53.571,-12.312,-25.481,-37.8904
27000,-68.323,-35.22,-73.625,-22.735,-30.939,-46.168400000000005
28000,-67.583,-62.957,-39.294,-15.39,-71.268,-51.298399999999994
29000,-49.531,-54.797,-24.803,-23.693,-72.492,-45.06320000000001
30000,-25.417,-86.918,-35.836,-69.226,-71.46,-57.77139999999999
31000,-17.677,-59.332,-45.222,-70.102,-69.35,-52.3366
32000,-49.65,-83.645,-27.72,-52.013,-54.144,-53.4344
33000,-51.164,-65.133,-63.473,-62.499,-64.355,-61.324799999999996
34000,-42.563,-71.19,-75.247,-35.588,-40.742,-53.065999999999995
35000,-41.131,-71.084,-95.357,-39.188,-53.049,-59.9618
36000,-38.067,-25.851,-16.197,-33.667,-51.534,-33.0632
37000,-40.525,-70.438,-26.599,-21.746,-61.566,-44.1748
38000,-48.097,-50.492,-52.693,-38.053,-62.766,-50.420199999999994
39000,-53.751,-40.01,-60.766,-50.388,-49.216,-50.8262
40000,-39.231,-64.674,-84.222,-50.503,-60.676,-59.8612
41000,-24.468,-73.824,-48.298,-29.383,-70.666,-49.3278
42000,-32.976,-42.593,-10.575,-41.015,-64.721,-38.376
43000,-36.617,-40.103,-24.464,-42.308,-62.288,-41.15599999999999
44000,-42.429,-23.525,-59.909,-56.191,-46.891,-45.789
45000,-43.424,-48.615,-96.218,-64.973,-79.627,-66.57140000000001
46000,-10.909,-46.434,-47.512,-65.682,-51.901,-44.4876
47000,-19.62,-57.194,-39.88,-70.895,-44.561,-46.43
48000,-35.738,-36.502,-40.399,-50.227,-35.754,-39.724000000000004
49000,-26.016,-53.544,-98.774,-64.145,-48.513,-58.19839999999999
50000,-46.104,-40.466,-94.591,-78.728,-41.327,-60.2432
