train_step,avg_return_0,avg_return_1,avg_return_2,avg_return_3,avg_return_4,avg_of_avg_returns
0,-269.687,-269.419,-462.663,-338.561,-520.965,-372.259
200,-428.888,-387.686,-293.191,-427.971,-327.741,-373.0954
400,-359.414,-289.133,-427.654,-393.428,-352.669,-364.45959999999997
600,-558.281,-350.44,-455.424,-199.673,-351.547,-383.073
800,-418.436,-289.983,-339.63,-502.587,-236.168,-357.36080000000004
1000,-523.3,-335.364,-356.236,-283.667,-425.504,-384.81419999999997
1200,-275.446,-421.043,-487.322,-316.148,-382.85,-376.56180000000006
1400,-261.438,-509.362,-285.875,-315.812,-179.764,-310.45020000000005
1600,-192.341,-296.685,-373.776,-550.021,-301.904,-342.94539999999995
1800,-182.388,-340.071,-407.594,-328.598,-347.519,-321.23400000000004
2000,-225.516,-273.487,-393.577,-365.51,-518.442,-355.30640000000005
2200,-309.082,-171.77,-593.418,-357.037,-275.388,-341.339
2400,-305.324,-459.367,-305.168,-530.111,-187.563,-357.5066
2600,-110.179,-517.111,-397.952,-248.242,-348.635,-324.42379999999997
2800,-487.55,-291.231,-373.572,-305.888,-573.629,-406.37399999999997
3000,-374.223,-309.006,-342.931,-273.537,-337.903,-327.52000000000004
3200,-187.57,-451.183,-351.985,-338.062,-390.317,-343.8234
3400,-374.572,-342.156,-475.962,-332.87,-410.197,-387.1514
3600,-509.785,-145.813,-383.98,-334.75,-418.991,-358.6638
3800,-199.348,-206.0,-427.454,-481.234,-367.512,-336.3096
4000,-283.062,-556.848,-275.462,-298.614,-252.344,-333.26599999999996
4200,-184.866,-501.994,-465.371,-427.193,-416.249,-399.1346
4400,-425.548,-335.058,-313.257,-402.416,-353.862,-366.0282
4600,-351.611,-436.82,-399.554,-501.381,-341.224,-406.118
4800,-190.363,-110.308,-471.437,-515.182,-370.597,-331.5774
5000,-157.728,-508.628,-292.521,-455.885,-313.005,-345.55339999999995
5200,-484.526,-358.101,-393.995,-313.038,-503.564,-410.6447999999999
5400,-378.672,-481.004,-358.072,-465.965,-301.754,-397.09340000000003
5600,-200.06,-230.68,-264.902,-544.5,-340.555,-316.1394
5800,-500.967,-356.715,-254.326,-425.394,-301.838,-367.848
6000,-261.456,-361.727,-325.018,-383.44,-289.72,-324.2722
6200,-481.518,-363.93,-374.868,-243.442,-321.924,-357.1364
6400,-600.539,-355.265,-281.117,-304.896,-548.011,-417.9656
6600,-346.972,-510.163,-355.823,-165.533,-266.844,-329.067
6800,-174.16,-260.95,-531.052,-236.448,-144.732,-269.46840000000003
7000,-417.231,-156.278,-455.08,-347.283,-214.938,-318.162
7200,-100.002,-361.274,-229.895,-286.904,-260.986,-247.81220000000002
7400,-348.041,-337.508,-261.648,-637.382,-368.923,-390.7004
7600,-545.393,-353.224,-455.66,-215.414,-117.309,-337.4
7800,-367.811,-391.187,-218.393,-187.924,-122.593,-257.58160000000004
8000,-400.239,-334.307,-444.912,-499.782,-312.74,-398.396
8200,-352.376,-410.878,-261.8,-198.458,-222.6,-289.2224
8400,-412.316,-553.497,-425.531,-506.148,-538.518,-487.20199999999994
8600,-380.242,-410.717,-377.078,-613.076,-399.675,-436.1576
8800,-202.494,-421.949,-330.04,-233.58,-267.818,-291.1762
9000,-322.573,-141.661,-229.108,-161.907,-475.543,-266.1584
9200,-476.031,-454.61,-195.057,-244.232,-344.447,-342.8754
9400,-147.765,-168.131,-488.804,-442.994,-465.256,-342.59
9600,-285.287,-388.367,-225.312,-187.07,-530.427,-323.29260000000005
9800,-298.136,-475.174,-307.323,-396.653,-269.341,-349.3254
