train_step,avg_return_0,avg_return_1,avg_return_2,avg_return_3,avg_return_4,avg_of_avg_returns
0,-105.361,-15.595,-10.521,-63.989,-80.869,-55.26700000000001
200,-9.602,-8.329,-13.459,-13.953,-12.309,-11.5304
400,-9.245,-9.76,-12.137,-17.979,-10.588,-11.941799999999999
600,-30.134,-8.953,-11.098,-14.619,-22.502,-17.461199999999998
800,-10.293,-14.033,-31.339,-12.804,-50.884,-23.8706
1000,-15.802,-11.259,-15.683,-12.35,-10.453,-13.109399999999999
1200,-20.562,-13.656,-14.652,-11.813,-10.592,-14.255
1400,-18.165,-9.481,-11.492,-12.403,-10.608,-12.4298
1600,-11.738,-10.383,-13.045,-11.869,-12.095,-11.825999999999999
1800,-36.606,-11.832,-17.131,-13.195,-11.509,-18.0546
2000,-13.923,-11.02,-11.687,-12.042,-9.431,-11.6206
2200,-14.405,-12.919,-15.678,-11.614,-11.475,-13.2182
2400,-14.265,-11.685,-15.606,-10.003,-8.883,-12.088400000000002
2600,-11.114,-11.305,-13.984,-10.304,-11.664,-11.6742
2800,-13.136,-13.562,-17.078,-13.479,-9.069,-13.2648
3000,-12.866,-11.352,-16.119,-13.381,-10.3,-12.8036
3200,-13.572,-9.713,-15.381,-11.057,-12.026,-12.349799999999998
3400,-11.085,-13.014,-17.038,-13.11,-12.068,-13.263
3600,-12.76,-13.759,-17.764,-10.97,-15.912,-14.233
3800,-15.132,-11.372,-16.516,-8.468,-13.383,-12.9742
4000,-12.396,-10.331,-14.434,-12.215,-14.698,-12.814800000000002
4200,-11.22,-13.044,-17.891,-12.488,-11.98,-13.3246
4400,-11.007,-12.385,-17.023,-9.34,-12.961,-12.543199999999999
4600,-13.867,-9.884,-16.5,-12.69,-11.687,-12.9256
4800,-8.1,-12.132,-17.849,-12.785,-11.315,-12.4362
5000,-13.756,-9.792,-14.699,-11.911,-9.075,-11.8466
5200,-11.575,-12.459,-16.423,-10.985,-13.441,-12.9766
5400,-13.607,-11.979,-16.643,-11.422,-11.966,-13.123399999999998
5600,-12.12,-10.185,-11.078,-12.89,-13.348,-11.924199999999999
5800,-12.085,-12.069,-19.594,-10.459,-13.191,-13.479600000000001
6000,-11.074,-12.469,-15.75,-8.457,-11.047,-11.7594
6200,-14.453,-11.654,-15.687,-13.147,-12.531,-13.494399999999999
6400,-11.149,-11.41,-13.144,-14.445,-12.751,-12.579799999999999
6600,-9.944,-14.295,-10.59,-9.178,-11.029,-11.007200000000001
6800,-11.197,-9.538,-17.565,-13.605,-11.574,-12.6958
7000,-12.577,-12.609,-10.907,-15.716,-10.784,-12.518600000000001
7200,-13.776,-10.501,-16.719,-9.428,-13.504,-12.7856
7400,-10.103,-12.236,-11.906,-12.544,-10.79,-11.5158
7600,-12.622,-9.886,-19.329,-14.581,-11.715,-13.626600000000002
7800,-11.019,-12.525,-13.375,-11.62,-10.054,-11.718599999999999
8000,-10.873,-12.766,-13.234,-9.152,-18.523,-12.909600000000001
8200,-13.271,-11.964,-13.361,-9.071,-11.65,-11.8634
8400,-12.664,-11.466,-13.327,-10.178,-11.863,-11.899600000000001
8600,-11.861,-10.617,-19.422,-13.944,-11.596,-13.488000000000003
8800,-13.502,-10.185,-11.507,-11.004,-10.707,-11.381
9000,-12.0,-13.423,-14.514,-9.268,-10.799,-12.0008
9200,-9.394,-9.738,-11.917,-13.546,-13.176,-11.5542
9400,-11.525,-10.193,-15.982,-11.409,-10.53,-11.927800000000001
9600,-9.431,-8.427,-11.862,-9.134,-12.343,-10.2394
9800,-11.197,-10.588,-9.681,-10.69,-11.882,-10.807599999999997
