train_step,avg_return_0,avg_return_1,avg_return_2,avg_return_3,avg_return_4,avg_of_avg_returns
0,-399.064,-466.376,-453.283,-373.419,-633.425,-465.1134
200,-425.854,-443.324,-391.876,-337.956,-343.037,-388.40940000000006
400,-337.103,-512.426,-478.129,-454.74,-220.222,-400.524
600,-329.735,-532.844,-465.869,-358.453,-374.939,-412.36800000000005
800,-310.41,-358.184,-415.321,-490.581,-340.578,-383.01480000000004
1000,-401.03,-365.237,-278.29,-398.84,-309.464,-350.57219999999995
1200,-282.062,-413.971,-468.299,-361.855,-328.583,-370.954
1400,-388.519,-283.651,-344.49,-459.718,-360.69,-367.41360000000003
1600,-181.01,-211.286,-143.139,-469.809,-376.857,-276.42019999999997
1800,-260.485,-304.34,-377.306,-409.105,-323.819,-335.011
2000,-220.752,-396.061,-416.987,-342.543,-365.094,-348.2874
2200,-467.505,-150.541,-470.528,-342.808,-431.409,-372.55820000000006
2400,-398.988,-240.921,-315.841,-339.58,-431.599,-345.38579999999996
2600,-387.111,-221.478,-208.46,-371.846,-284.62,-294.703
2800,-494.744,-481.337,-377.237,-348.135,-304.702,-401.231
3000,-312.289,-538.314,-317.17,-336.61,-222.276,-345.3318
3200,-329.197,-557.946,-297.086,-395.399,-443.8,-404.6856
3400,-193.44,-478.795,-210.789,-362.302,-480.971,-345.2594
3600,-347.89,-489.564,-373.466,-398.254,-343.471,-390.529
3800,-446.513,-488.295,-199.133,-516.075,-377.328,-405.4688
4000,-196.195,-484.324,-437.546,-524.046,-151.919,-358.80600000000004
4200,-344.996,-444.81,-339.046,-497.149,-413.949,-407.99000000000007
4400,-198.01,-561.076,-441.71,-542.635,-365.627,-421.8116
4600,-352.929,-524.203,-303.333,-335.496,-175.879,-338.36799999999994
4800,-430.237,-581.712,-401.124,-341.82,-643.122,-479.60299999999995
5000,-505.594,-343.943,-374.278,-435.371,-306.874,-393.21200000000005
5200,-196.237,-399.671,-248.721,-350.149,-401.937,-319.343
5400,-406.251,-356.156,-295.797,-213.498,-161.41,-286.6224
5600,-281.517,-409.591,-272.874,-204.402,-317.138,-297.1044
5800,-389.956,-351.857,-375.628,-220.277,-187.413,-305.0262
6000,-280.838,-561.951,-578.823,-216.13,-198.137,-367.17580000000004
6200,-386.218,-344.632,-583.365,-200.263,-284.106,-359.71680000000003
6400,-452.763,-350.675,-205.882,-199.594,-144.405,-270.6638
6600,-412.647,-234.542,-182.048,-209.802,-184.898,-244.7874
6800,-429.459,-340.251,-217.597,-215.722,-140.623,-268.73040000000003
7000,-396.763,-172.591,-206.095,-213.437,-217.315,-241.24020000000002
7200,-410.062,-246.012,-394.255,-230.016,-286.621,-313.3932000000001
7400,-445.796,-232.172,-436.36,-227.448,-134.77,-295.30920000000003
7600,-454.102,-194.581,-416.162,-216.172,-234.115,-303.0264
7800,-264.396,-282.104,-277.676,-220.336,-174.051,-243.71259999999998
8000,-278.239,-275.834,-191.617,-237.034,-176.078,-231.76039999999998
8200,-330.053,-272.794,-219.822,-208.193,-221.447,-250.46180000000004
8400,-388.718,-236.652,-269.422,-228.418,-242.446,-273.1312
8600,-586.05,-254.425,-306.708,-219.096,-127.825,-298.8208
8800,-350.285,-244.866,-494.79,-214.665,-201.651,-301.2514
9000,-620.35,-260.075,-258.473,-211.304,-260.577,-322.1558
9200,-357.253,-271.952,-327.317,-227.694,-233.161,-283.4754
9400,-255.853,-245.856,-308.109,-229.656,-196.058,-247.10639999999998
9600,-501.391,-269.993,-246.781,-222.698,-217.137,-291.6
9800,-337.025,-242.045,-277.332,-222.616,-279.379,-271.6794
