train_step,avg_return_0,avg_return_1,avg_return_2,avg_return_3,avg_return_4,avg_of_avg_returns
200,-329.83,-526.66,-342.185,-277.279,-434.252,-382.0412
400,-463.683,-402.232,-466.688,-239.068,-450.629,-404.46000000000004
600,-474.81,-354.625,-429.497,-237.947,-370.989,-373.5736
800,-258.008,-494.873,-462.688,-124.468,-252.32,-318.4714
1000,-460.236,-440.104,-336.747,-365.104,-178.915,-356.2212
1200,-441.968,-344.756,-353.486,-250.069,-475.247,-373.1052
1400,-414.837,-212.889,-516.255,-514.193,-255.131,-382.661
1600,-376.231,-280.134,-574.407,-492.012,-255.05,-395.56679999999994
1800,-548.599,-368.025,-244.012,-482.688,-423.016,-413.26800000000003
2000,-275.912,-269.793,-314.186,-375.298,-350.566,-317.15099999999995
2200,-495.708,-256.715,-598.687,-632.715,-493.42,-495.44900000000007
2400,-199.619,-192.851,-292.328,-415.437,-570.959,-334.23879999999997
2600,-292.0,-405.194,-339.919,-288.715,-361.548,-337.4752
2800,-487.183,-265.801,-507.033,-253.639,-261.871,-355.10540000000003
3000,-142.648,-144.773,-373.65,-195.294,-278.168,-226.90659999999997
3200,-288.21,-381.35,-310.289,-292.952,-206.919,-295.944
3400,-440.671,-158.8,-454.271,-319.799,-228.874,-320.483
3600,-511.872,-371.516,-528.749,-332.061,-272.709,-403.38140000000004
3800,-479.06,-196.605,-337.279,-304.916,-264.775,-316.52699999999993
4000,-386.306,-317.672,-497.642,-306.98,-191.364,-339.99280000000005
4200,-527.541,-223.961,-500.794,-380.21,-205.699,-367.641
4400,-382.6,-262.834,-267.725,-364.669,-271.927,-309.951
4600,-385.143,-293.919,-261.137,-337.797,-313.127,-318.22459999999995
4800,-449.478,-337.453,-364.636,-240.525,-404.375,-359.2934
5000,-312.585,-109.747,-501.38,-294.543,-489.753,-341.6016
5200,-481.984,-426.102,-303.982,-210.009,-344.954,-353.4062
5400,-445.806,-372.463,-355.685,-200.523,-458.654,-366.6262
5600,-380.189,-292.944,-335.473,-203.533,-278.137,-298.05519999999996
5800,-383.443,-230.253,-240.691,-230.136,-369.497,-290.804
6000,-426.922,-271.191,-312.832,-257.313,-431.793,-340.0102
6200,-420.853,-289.555,-210.659,-172.388,-513.392,-321.3694
6400,-397.92,-340.951,-213.082,-249.766,-347.942,-309.9322
6600,-295.124,-238.872,-474.53,-169.662,-373.215,-310.2806
6800,-378.291,-304.336,-499.669,-189.555,-393.002,-352.9706
7000,-318.322,-352.979,-452.238,-274.274,-458.093,-371.18120000000005
7200,-316.395,-387.364,-186.035,-155.865,-363.499,-281.83160000000004
7400,-534.874,-364.816,-145.124,-228.12,-588.769,-372.34060000000005
7600,-359.674,-276.617,-349.6,-243.978,-441.304,-334.23459999999994
7800,-331.57,-152.786,-601.523,-266.948,-622.677,-395.1008
8000,-195.323,-187.928,-430.657,-215.45,-556.21,-317.1136
8200,-356.967,-322.928,-380.84,-249.736,-415.432,-345.1806
8400,-295.141,-153.777,-465.206,-331.591,-448.942,-338.93140000000005
8600,-392.744,-308.032,-334.496,-232.345,-498.666,-353.2566
8800,-247.68,-205.651,-401.582,-185.727,-473.635,-302.855
9000,-480.055,-381.569,-209.232,-226.662,-558.238,-371.1512
9200,-347.149,-332.847,-280.37,-192.449,-528.287,-336.22040000000004
9400,-435.933,-165.025,-224.528,-249.686,-562.72,-327.5784
9600,-219.742,-144.241,-457.116,-251.664,-540.552,-322.663
9800,-289.117,-295.4,-401.248,-253.71,-484.094,-344.71380000000005
10000,-323.972,-296.13,-488.053,-223.238,-410.624,-348.40340000000003
